Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2019-12-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-02,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-03,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-04,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-05,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-06,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-07,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-08,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-09,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-10,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-11,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-12,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-13,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-14,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-15,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-16,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-17,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-18,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-19,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-20,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-21,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-22,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-23,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-24,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-25,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-26,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-27,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-28,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-29,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-30,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-02,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-03,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-04,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-05,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-06,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-07,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-08,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-09,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-10,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-11,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-12,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-13,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-14,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-15,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-16,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-17,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-18,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-19,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-20,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-21,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-22,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-23,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-24,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-25,1,1,0,0,,,,0.026000000000000002,0.0,0.0,
2020-02-26,1,0,0,0,,,,0.026000000000000002,0.0,0.0,
2020-02-27,1,0,0,0,,,,0.026000000000000002,0.0,0.0,
2020-02-28,1,0,0,0,,,,0.026000000000000002,0.0,0.0,
2020-02-29,1,0,0,0,,,,0.026000000000000002,0.0,0.0,
2020-03-01,1,0,0,0,,,,0.026000000000000002,0.0,0.0,
2020-03-02,1,0,0,0,,,,0.026000000000000002,0.0,0.0,
2020-03-08,4,3,0,0,,,,0.10300000000000001,0.0,0.0,
2020-03-11,7,3,0,0,,,,0.18,0.0,0.0,
2020-03-15,10,3,0,0,,,,0.257,0.0,0.0,
2020-03-16,16,6,0,0,,,,0.41100000000000003,0.0,0.0,
2020-03-17,21,5,0,0,,,,0.539,0.0,0.0,
2020-03-18,22,1,0,0,,,,0.565,0.0,0.0,
2020-03-19,22,0,0,0,,,,0.565,0.0,0.0,
2020-03-20,22,0,0,0,,,,0.565,0.0,0.0,
2020-03-21,24,2,0,0,,,,0.617,0.0,0.0,
2020-03-22,24,0,0,0,,,,0.617,0.0,0.0,
2020-03-23,34,10,0,0,,,,0.873,0.0,0.0,
2020-03-24,40,6,1,1,,,,1.028,0.026000000000000002,0.026000000000000002,
2020-03-25,42,2,1,0,,,,1.079,0.026000000000000002,0.0,
2020-03-26,75,33,1,0,,,,1.9269999999999998,0.026000000000000002,0.0,
2020-03-27,75,0,1,0,,,,1.9269999999999998,0.026000000000000002,0.0,
2020-03-28,91,16,2,1,,,,2.338,0.051,0.026000000000000002,
2020-03-29,106,15,3,1,,,,2.7230000000000003,0.077,0.026000000000000002,
2020-03-30,114,8,4,1,,,,2.928,0.10300000000000001,0.026000000000000002,
2020-03-31,141,27,4,0,,,,3.622,0.10300000000000001,0.0,
2020-04-01,166,25,4,0,,,,4.263999999999999,0.10300000000000001,0.0,
2020-04-02,192,26,4,0,,,,4.9319999999999995,0.10300000000000001,0.0,
2020-04-03,235,43,4,0,,,,6.037000000000001,0.10300000000000001,0.0,
2020-04-04,235,0,4,0,,,,6.037000000000001,0.10300000000000001,0.0,
2020-04-05,270,35,5,1,,,,6.936,0.128,0.026000000000000002,
