Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-09,Albania,2,2,0,0,,,,0.695,0.0,0.0,,
2020-03-10,Albania,6,4,0,0,,,,2.085,0.0,0.0,,
2020-03-11,Albania,10,4,0,0,,,,3.475,0.0,0.0,,
2020-03-12,Albania,11,1,1,1,,,,3.822,0.34700000000000003,0.34700000000000003,,
2020-03-13,Albania,23,12,1,0,,,,7.992000000000001,0.34700000000000003,0.0,,
2020-03-14,Albania,33,10,1,0,,,,11.467,0.34700000000000003,0.0,,
2020-03-15,Albania,38,5,1,0,,,,13.205,0.34700000000000003,0.0,,
2020-03-16,Albania,42,4,1,0,,,,14.594000000000001,0.34700000000000003,0.0,,
2020-03-17,Albania,51,9,1,0,,,,17.722,0.34700000000000003,0.0,,
2020-03-18,Albania,55,4,1,0,,,,19.112000000000002,0.34700000000000003,0.0,,
2020-03-19,Albania,59,4,2,1,,,,20.502,0.695,0.34700000000000003,,
2020-03-20,Albania,70,11,2,0,,,,24.324,0.695,0.0,,
2020-03-21,Albania,70,0,2,0,,,,24.324,0.695,0.0,,
2020-03-22,Albania,76,6,2,0,,,,26.409000000000002,0.695,0.0,,
2020-03-23,Albania,89,13,2,0,,,,30.926,0.695,0.0,,
2020-03-24,Albania,100,11,4,2,,,,34.749,1.39,0.695,,
2020-03-25,Albania,123,23,5,1,,,,42.74100000000001,1.7369999999999999,0.34700000000000003,,
2020-03-26,Albania,146,23,5,0,,,,50.733000000000004,1.7369999999999999,0.0,,
2020-03-27,Albania,174,28,6,1,,,,60.463,2.085,0.34700000000000003,,
2020-03-28,Albania,186,12,9,3,,,,64.633,3.127,1.042,,
2020-03-29,Albania,197,11,10,1,,,,68.455,3.475,0.34700000000000003,,
2020-03-30,Albania,212,15,10,0,,,,73.667,3.475,0.0,,
2020-03-31,Albania,223,11,12,2,,,,77.49,4.17,0.695,,
2020-04-01,Albania,243,20,15,3,,,,84.44,5.212000000000001,1.042,,
2020-04-02,Albania,259,16,15,0,,,,89.999,5.212000000000001,0.0,,
2020-04-03,Albania,277,18,16,1,,,,96.25399999999999,5.56,0.34700000000000003,,
2020-04-04,Albania,304,27,17,1,,,,105.63600000000001,5.907,0.34700000000000003,,
2020-04-05,Albania,333,29,19,2,,,,115.713,6.602,0.695,,
2020-04-06,Albania,361,28,21,2,,,,125.443,7.297000000000001,0.695,,
2020-04-07,Albania,377,16,22,1,,,,131.003,7.645,0.34700000000000003,,
2020-04-08,Albania,383,6,22,0,,,,133.088,7.645,0.0,,
2020-04-09,Albania,400,17,22,0,,,,138.995,7.645,0.0,,
2020-04-10,Albania,409,9,23,1,,,,142.122,7.992000000000001,0.34700000000000003,,
2020-04-11,Albania,416,7,23,0,,,,144.555,7.992000000000001,0.0,,
2020-04-12,Albania,433,17,23,0,,,,150.46200000000002,7.992000000000001,0.0,,
2020-04-13,Albania,446,13,23,0,,,,154.97899999999998,7.992000000000001,0.0,,
2020-04-14,Albania,467,21,23,0,,,,162.27700000000002,7.992000000000001,0.0,,
2020-04-15,Albania,475,8,24,1,,,,165.05700000000002,8.34,0.34700000000000003,,
2020-04-16,Albania,494,19,25,1,,,,171.65900000000002,8.687000000000001,0.34700000000000003,,
2020-04-17,Albania,518,24,26,1,,,,179.99900000000002,9.035,0.34700000000000003,,
2020-04-18,Albania,539,21,26,0,,,,187.296,9.035,0.0,,
2020-04-19,Albania,548,9,26,0,,,,190.423,9.035,0.0,,
2020-04-20,Albania,562,14,26,0,,,,195.28799999999998,9.035,0.0,,
2020-04-21,Albania,584,22,26,0,,,,202.933,9.035,0.0,,
