Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2019-12-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-02,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-03,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-04,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-05,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-06,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-07,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-08,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-09,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-10,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-11,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-12,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-13,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-14,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-15,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-16,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-17,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-18,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-19,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-20,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-21,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-22,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-23,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-24,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-25,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-26,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-27,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-28,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-29,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-30,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-02,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-03,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-04,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-05,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-06,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-07,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-08,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-09,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-10,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-11,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-12,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-13,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-14,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-15,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-16,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-17,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-18,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-19,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-20,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-21,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-22,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-23,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-24,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-25,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-26,1,1,0,0,,,,0.023,0.0,0.0,
2020-02-27,1,0,0,0,,,,0.023,0.0,0.0,
2020-02-28,1,0,0,0,,,,0.023,0.0,0.0,
2020-02-29,1,0,0,0,,,,0.023,0.0,0.0,
2020-03-01,3,2,0,0,,,,0.068,0.0,0.0,
2020-03-02,3,0,0,0,,,,0.068,0.0,0.0,
2020-03-04,5,2,0,0,,,,0.114,0.0,0.0,
2020-03-05,12,7,0,0,,,,0.27399999999999997,0.0,0.0,
2020-03-06,17,5,0,0,,,,0.38799999999999996,0.0,0.0,
2020-03-09,20,3,0,0,,,,0.456,0.0,0.0,
2020-03-12,20,0,0,0,,,,0.456,0.0,0.0,
2020-03-13,25,5,1,1,,,,0.57,0.023,0.023,
2020-03-14,26,1,2,1,,,,0.593,0.046,0.023,
2020-03-15,37,11,2,0,,,,0.8440000000000001,0.046,0.0,
2020-03-16,48,11,4,2,,,,1.095,0.091,0.046,
2020-03-17,58,10,4,0,,,,1.3230000000000002,0.091,0.0,
2020-03-18,60,2,5,1,,,,1.368,0.114,0.023,
2020-03-19,72,12,6,1,,,,1.642,0.13699999999999998,0.023,
2020-03-20,90,18,7,1,,,,2.052,0.16,0.023,
2020-03-21,102,12,10,3,,,,2.326,0.228,0.068,
2020-03-22,139,37,15,5,,,,3.17,0.342,0.114,
2020-03-23,201,62,17,2,,,,4.584,0.38799999999999996,0.046,
2020-03-24,230,29,17,0,,,,5.245,0.38799999999999996,0.0,
2020-03-25,264,34,19,2,,,,6.02,0.433,0.046,
2020-03-26,302,38,21,2,,,,6.8870000000000005,0.479,0.046,
2020-03-27,367,65,25,4,,,,8.369,0.57,0.091,
2020-03-28,409,42,26,1,,,,9.327,0.593,0.023,
2020-03-29,454,45,29,3,,,,10.353,0.6609999999999999,0.068,
2020-03-30,511,57,31,2,,,,11.652999999999999,0.7070000000000001,0.046,
2020-03-31,584,73,35,4,,,,13.318,0.7979999999999999,0.091,
2020-04-01,716,132,44,9,,,,16.328,1.003,0.205,
2020-04-02,847,131,58,14,,,,19.315,1.3230000000000002,0.319,
2020-04-03,986,139,63,5,,,,22.485,1.4369999999999998,0.114,
