Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2019-12-31,Algeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-01,Algeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-02,Algeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-03,Algeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-04,Algeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-05,Algeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-06,Algeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-07,Algeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-08,Algeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-09,Algeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-10,Algeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-11,Algeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-12,Algeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-13,Algeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-14,Algeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-15,Algeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-16,Algeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-17,Algeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-18,Algeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-19,Algeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-20,Algeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-21,Algeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-22,Algeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-23,Algeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-24,Algeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-25,Algeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-26,Algeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-27,Algeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-28,Algeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-29,Algeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-30,Algeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-31,Algeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-01,Algeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-02,Algeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-03,Algeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-04,Algeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-05,Algeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-06,Algeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-07,Algeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-08,Algeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-09,Algeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-10,Algeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-11,Algeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-12,Algeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-13,Algeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-14,Algeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-15,Algeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-16,Algeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-17,Algeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-18,Algeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-19,Algeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-20,Algeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-21,Algeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-22,Algeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-23,Algeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-24,Algeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-25,Algeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-26,Algeria,1,1,0,0,,,,0.023,0.0,0.0,,
2020-02-27,Algeria,1,0,0,0,,,,0.023,0.0,0.0,,
2020-02-28,Algeria,1,0,0,0,,,,0.023,0.0,0.0,,
2020-02-29,Algeria,1,0,0,0,,,,0.023,0.0,0.0,,
2020-03-01,Algeria,3,2,0,0,,,,0.068,0.0,0.0,,
2020-03-02,Algeria,3,0,0,0,,,,0.068,0.0,0.0,,
2020-03-04,Algeria,5,2,0,0,,,,0.114,0.0,0.0,,
2020-03-05,Algeria,12,7,0,0,,,,0.27399999999999997,0.0,0.0,,
2020-03-06,Algeria,17,5,0,0,,,,0.38799999999999996,0.0,0.0,,
2020-03-09,Algeria,20,3,0,0,,,,0.456,0.0,0.0,,
2020-03-12,Algeria,20,0,0,0,,,,0.456,0.0,0.0,,
2020-03-13,Algeria,25,5,1,1,,,,0.57,0.023,0.023,,
2020-03-14,Algeria,26,1,2,1,,,,0.593,0.046,0.023,,
2020-03-15,Algeria,37,11,2,0,,,,0.8440000000000001,0.046,0.0,,
2020-03-16,Algeria,48,11,4,2,,,,1.095,0.091,0.046,,
2020-03-17,Algeria,58,10,4,0,,,,1.3230000000000002,0.091,0.0,,
2020-03-18,Algeria,60,2,5,1,,,,1.368,0.114,0.023,,
2020-03-19,Algeria,72,12,6,1,,,,1.642,0.13699999999999998,0.023,,
2020-03-20,Algeria,90,18,7,1,,,,2.052,0.16,0.023,,
2020-03-21,Algeria,102,12,10,3,,,,2.326,0.228,0.068,,
2020-03-22,Algeria,139,37,15,5,,,,3.17,0.342,0.114,,
2020-03-23,Algeria,201,62,17,2,,,,4.584,0.38799999999999996,0.046,,
2020-03-24,Algeria,230,29,17,0,,,,5.245,0.38799999999999996,0.0,,
2020-03-25,Algeria,264,34,19,2,,,,6.02,0.433,0.046,,
2020-03-26,Algeria,302,38,21,2,,,,6.8870000000000005,0.479,0.046,,
2020-03-27,Algeria,367,65,25,4,,,,8.369,0.57,0.091,,
2020-03-28,Algeria,409,42,26,1,,,,9.327,0.593,0.023,,
2020-03-29,Algeria,454,45,29,3,,,,10.353,0.6609999999999999,0.068,,
2020-03-30,Algeria,511,57,31,2,,,,11.652999999999999,0.7070000000000001,0.046,,
2020-03-31,Algeria,584,73,35,4,,,,13.318,0.7979999999999999,0.091,,
2020-04-01,Algeria,716,132,44,9,,,,16.328,1.003,0.205,,
2020-04-02,Algeria,847,131,58,14,,,,19.315,1.3230000000000002,0.319,,
2020-04-03,Algeria,986,139,63,5,,,,22.485,1.4369999999999998,0.114,,
2020-04-04,Algeria,1171,185,105,42,,,,26.704,2.394,0.958,,
2020-04-05,Algeria,1251,80,130,25,,,,28.528000000000002,2.965,0.57,,
2020-04-06,Algeria,1320,69,152,22,,,,30.101999999999997,3.466,0.502,,
2020-04-07,Algeria,1423,103,173,21,,,,32.451,3.945,0.479,,
2020-04-08,Algeria,1468,45,193,20,,,,33.477,4.401,0.456,,
2020-04-09,Algeria,1572,104,205,12,,,,35.849000000000004,4.675,0.27399999999999997,,
2020-04-10,Algeria,1666,94,235,30,,,,37.992,5.359,0.684,,
2020-04-11,Algeria,1761,95,256,21,,,,40.159,5.837999999999999,0.479,,
2020-04-12,Algeria,1825,64,275,19,,,,41.618,6.271,0.433,,
2020-04-13,Algeria,1914,89,293,18,,,,43.648,6.682,0.41,,
2020-04-14,Algeria,1983,69,313,20,,,,45.221000000000004,7.138,0.456,,
2020-04-15,Algeria,2070,87,325,12,,,,47.205,7.4110000000000005,0.27399999999999997,,
2020-04-16,Algeria,2160,90,336,11,,,,49.258,7.662000000000001,0.251,,
2020-04-17,Algeria,2268,108,348,12,,,,51.721000000000004,7.936,0.27399999999999997,,
2020-04-18,Algeria,2418,150,364,16,,,,55.141000000000005,8.301,0.365,,
2020-04-19,Algeria,2535,117,367,3,,,,57.809,8.369,0.068,,
2020-04-20,Algeria,2629,94,375,8,,,,59.953,8.552,0.182,,
2020-04-21,Algeria,2718,89,384,9,,,,61.983000000000004,8.757,0.205,,
