Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-03,Andorra,1,1,0,0,,,,12.942,0.0,0.0,,
2020-03-14,Andorra,2,1,0,0,,,,25.885,0.0,0.0,,
2020-03-16,Andorra,5,3,0,0,,,,64.712,0.0,0.0,,
2020-03-17,Andorra,14,9,0,0,,,,181.195,0.0,0.0,,
2020-03-18,Andorra,14,0,0,0,,,,181.195,0.0,0.0,,
2020-03-19,Andorra,53,39,0,0,,,,685.951,0.0,0.0,,
2020-03-20,Andorra,75,22,0,0,,,,970.685,0.0,0.0,,
2020-03-21,Andorra,75,0,0,0,,,,970.685,0.0,0.0,,
2020-03-22,Andorra,88,13,0,0,,,,1138.937,0.0,0.0,,
2020-03-23,Andorra,113,25,0,0,,,,1462.499,0.0,0.0,,
2020-03-24,Andorra,133,20,0,0,,,,1721.349,0.0,0.0,,
2020-03-25,Andorra,164,31,0,0,,,,2122.565,0.0,0.0,,
2020-03-26,Andorra,188,24,0,0,,,,2433.1839999999997,0.0,0.0,,
2020-03-27,Andorra,224,36,3,3,,,,2899.113,38.827,38.827,,
2020-03-28,Andorra,267,43,3,0,,,,3455.64,38.827,0.0,,
2020-03-29,Andorra,308,41,4,1,,,,3986.281,51.77,12.942,,
2020-03-30,Andorra,334,26,6,2,,,,4322.785,77.655,25.885,,
2020-03-31,Andorra,370,36,8,2,,,,4788.714,103.54,25.885,,
2020-04-01,Andorra,376,6,12,4,,,,4866.369000000001,155.31,51.77,,
2020-04-02,Andorra,390,14,14,2,,,,5047.564,181.195,25.885,,
2020-04-03,Andorra,428,38,15,1,,,,5539.3769999999995,194.137,12.942,,
2020-04-04,Andorra,439,11,16,1,,,,5681.745,207.08,12.942,,
2020-04-05,Andorra,466,27,17,1,,,,6031.191,220.02200000000002,12.942,,
2020-04-06,Andorra,501,35,18,1,,,,6484.178000000001,232.96400000000003,12.942,,
2020-04-07,Andorra,526,25,21,3,,,,6807.74,271.79200000000003,38.827,,
2020-04-08,Andorra,545,19,22,1,,,,7053.647,284.73400000000004,12.942,,
2020-04-09,Andorra,564,19,23,1,,,,7299.553000000001,297.677,12.942,,
2020-04-10,Andorra,583,19,25,2,,,,7545.46,323.562,25.885,,
2020-04-11,Andorra,601,18,26,1,,,,7778.425,336.504,12.942,,
2020-04-12,Andorra,622,21,28,2,,,,8050.217,362.389,25.885,,
2020-04-13,Andorra,638,16,29,1,,,,8257.296,375.332,12.942,,
2020-04-14,Andorra,646,8,29,0,,,,8360.836,375.332,0.0,,
2020-04-15,Andorra,659,13,31,2,,,,8529.088,401.217,25.885,,
2020-04-16,Andorra,673,14,33,2,,,,8710.283000000001,427.102,25.885,,
2020-04-17,Andorra,682,9,33,0,,,,8826.765,427.102,0.0,,
2020-04-18,Andorra,696,14,35,2,,,,9007.96,452.986,25.885,,
2020-04-19,Andorra,704,8,35,0,,,,9111.499,452.986,0.0,,
2020-04-20,Andorra,713,9,36,1,,,,9227.982,465.92900000000003,12.942,,
2020-04-21,Andorra,717,4,36,0,,,,9279.752,465.92900000000003,0.0,,
