Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-22,2,2,0,0,,,,0.061,0.0,0.0,
2020-03-23,2,0,0,0,,,,0.061,0.0,0.0,
2020-03-24,2,0,0,0,,,,0.061,0.0,0.0,
2020-03-25,2,0,0,0,,,,0.061,0.0,0.0,
2020-03-26,2,0,0,0,,,,0.061,0.0,0.0,
2020-03-27,3,1,0,0,,,,0.091,0.0,0.0,
2020-03-28,4,1,0,0,,,,0.122,0.0,0.0,
2020-03-29,4,0,0,0,,,,0.122,0.0,0.0,
2020-03-30,7,3,2,2,,,,0.213,0.061,0.061,
2020-03-31,7,0,2,0,,,,0.213,0.061,0.0,
2020-04-01,7,0,2,0,,,,0.213,0.061,0.0,
2020-04-02,8,1,2,0,,,,0.243,0.061,0.0,
2020-04-03,8,0,2,0,,,,0.243,0.061,0.0,
2020-04-04,8,0,2,0,,,,0.243,0.061,0.0,
2020-04-05,10,2,2,0,,,,0.304,0.061,0.0,
2020-04-06,14,4,2,0,,,,0.426,0.061,0.0,
2020-04-07,16,2,2,0,,,,0.48700000000000004,0.061,0.0,
2020-04-08,17,1,2,0,,,,0.517,0.061,0.0,
2020-04-09,19,2,2,0,,,,0.578,0.061,0.0,
2020-04-10,19,0,2,0,,,,0.578,0.061,0.0,
2020-04-11,19,0,2,0,,,,0.578,0.061,0.0,
2020-04-12,19,0,2,0,,,,0.578,0.061,0.0,
2020-04-13,19,0,2,0,,,,0.578,0.061,0.0,
2020-04-14,19,0,2,0,,,,0.578,0.061,0.0,
2020-04-15,19,0,2,0,,,,0.578,0.061,0.0,
2020-04-16,19,0,2,0,,,,0.578,0.061,0.0,
2020-04-17,19,0,2,0,,,,0.578,0.061,0.0,
2020-04-18,19,0,2,0,,,,0.578,0.061,0.0,
2020-04-19,24,5,2,0,,,,0.73,0.061,0.0,
2020-04-20,24,0,2,0,,,,0.73,0.061,0.0,
2020-04-21,24,0,2,0,,,,0.73,0.061,0.0,
2020-04-22,24,0,2,0,,,,0.73,0.061,0.0,
2020-04-23,24,0,2,0,,,,0.73,0.061,0.0,
2020-04-24,25,1,2,0,,,,0.7609999999999999,0.061,0.0,
2020-04-25,25,0,2,0,,,,0.7609999999999999,0.061,0.0,
2020-04-26,25,0,2,0,,,,0.7609999999999999,0.061,0.0,
2020-04-27,26,1,2,0,,,,0.7909999999999999,0.061,0.0,
2020-04-28,27,1,2,0,,,,0.8220000000000001,0.061,0.0,
2020-04-29,27,0,2,0,,,,0.8220000000000001,0.061,0.0,
