Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-22,Angola,2,2,0,0,,,,0.061,0.0,0.0,,
2020-03-23,Angola,2,0,0,0,,,,0.061,0.0,0.0,,
2020-03-24,Angola,2,0,0,0,,,,0.061,0.0,0.0,,
2020-03-25,Angola,2,0,0,0,,,,0.061,0.0,0.0,,
2020-03-26,Angola,2,0,0,0,,,,0.061,0.0,0.0,,
2020-03-27,Angola,3,1,0,0,,,,0.091,0.0,0.0,,
2020-03-28,Angola,4,1,0,0,,,,0.122,0.0,0.0,,
2020-03-29,Angola,4,0,0,0,,,,0.122,0.0,0.0,,
2020-03-30,Angola,7,3,2,2,,,,0.213,0.061,0.061,,
2020-03-31,Angola,7,0,2,0,,,,0.213,0.061,0.0,,
2020-04-01,Angola,7,0,2,0,,,,0.213,0.061,0.0,,
2020-04-02,Angola,8,1,2,0,,,,0.243,0.061,0.0,,
2020-04-03,Angola,8,0,2,0,,,,0.243,0.061,0.0,,
2020-04-04,Angola,8,0,2,0,,,,0.243,0.061,0.0,,
2020-04-05,Angola,10,2,2,0,,,,0.304,0.061,0.0,,
2020-04-06,Angola,14,4,2,0,,,,0.426,0.061,0.0,,
2020-04-07,Angola,16,2,2,0,,,,0.48700000000000004,0.061,0.0,,
2020-04-08,Angola,17,1,2,0,,,,0.517,0.061,0.0,,
2020-04-09,Angola,19,2,2,0,,,,0.578,0.061,0.0,,
2020-04-10,Angola,19,0,2,0,,,,0.578,0.061,0.0,,
2020-04-11,Angola,19,0,2,0,,,,0.578,0.061,0.0,,
2020-04-12,Angola,19,0,2,0,,,,0.578,0.061,0.0,,
2020-04-13,Angola,19,0,2,0,,,,0.578,0.061,0.0,,
2020-04-14,Angola,19,0,2,0,,,,0.578,0.061,0.0,,
2020-04-15,Angola,19,0,2,0,,,,0.578,0.061,0.0,,
2020-04-16,Angola,19,0,2,0,,,,0.578,0.061,0.0,,
2020-04-17,Angola,19,0,2,0,,,,0.578,0.061,0.0,,
2020-04-18,Angola,19,0,2,0,,,,0.578,0.061,0.0,,
2020-04-19,Angola,24,5,2,0,,,,0.73,0.061,0.0,,
2020-04-20,Angola,24,0,2,0,,,,0.73,0.061,0.0,,
2020-04-21,Angola,24,0,2,0,,,,0.73,0.061,0.0,,
