Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-27,Anguilla,2,2,0,0,,,,133.316,0.0,0.0,,
2020-03-28,Anguilla,2,0,0,0,,,,133.316,0.0,0.0,,
2020-03-29,Anguilla,2,0,0,0,,,,133.316,0.0,0.0,,
2020-03-30,Anguilla,2,0,0,0,,,,133.316,0.0,0.0,,
2020-03-31,Anguilla,2,0,0,0,,,,133.316,0.0,0.0,,
2020-04-01,Anguilla,2,0,0,0,,,,133.316,0.0,0.0,,
2020-04-02,Anguilla,2,0,0,0,,,,133.316,0.0,0.0,,
2020-04-03,Anguilla,3,1,0,0,,,,199.97299999999998,0.0,0.0,,
2020-04-04,Anguilla,3,0,0,0,,,,199.97299999999998,0.0,0.0,,
2020-04-05,Anguilla,3,0,0,0,,,,199.97299999999998,0.0,0.0,,
2020-04-06,Anguilla,3,0,0,0,,,,199.97299999999998,0.0,0.0,,
2020-04-07,Anguilla,3,0,0,0,,,,199.97299999999998,0.0,0.0,,
2020-04-08,Anguilla,3,0,0,0,,,,199.97299999999998,0.0,0.0,,
2020-04-09,Anguilla,3,0,0,0,,,,199.97299999999998,0.0,0.0,,
2020-04-10,Anguilla,3,0,0,0,,,,199.97299999999998,0.0,0.0,,
2020-04-11,Anguilla,3,0,0,0,,,,199.97299999999998,0.0,0.0,,
2020-04-12,Anguilla,3,0,0,0,,,,199.97299999999998,0.0,0.0,,
2020-04-13,Anguilla,3,0,0,0,,,,199.97299999999998,0.0,0.0,,
2020-04-14,Anguilla,3,0,0,0,,,,199.97299999999998,0.0,0.0,,
2020-04-15,Anguilla,3,0,0,0,,,,199.97299999999998,0.0,0.0,,
2020-04-16,Anguilla,3,0,0,0,,,,199.97299999999998,0.0,0.0,,
2020-04-17,Anguilla,3,0,0,0,,,,199.97299999999998,0.0,0.0,,
2020-04-18,Anguilla,3,0,0,0,,,,199.97299999999998,0.0,0.0,,
2020-04-19,Anguilla,3,0,0,0,,,,199.97299999999998,0.0,0.0,,
2020-04-20,Anguilla,3,0,0,0,,,,199.97299999999998,0.0,0.0,,
2020-04-21,Anguilla,3,0,0,0,,,,199.97299999999998,0.0,0.0,,
