Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-15,1,1,0,0,,,,10.212,0.0,0.0,
2020-03-21,1,0,0,0,,,,10.212,0.0,0.0,
2020-03-22,1,0,0,0,,,,10.212,0.0,0.0,
2020-03-23,1,0,0,0,,,,10.212,0.0,0.0,
2020-03-24,1,0,0,0,,,,10.212,0.0,0.0,
2020-03-25,3,2,0,0,,,,30.635,0.0,0.0,
2020-03-26,3,0,0,0,,,,30.635,0.0,0.0,
2020-03-27,7,4,0,0,,,,71.48100000000001,0.0,0.0,
2020-03-28,7,0,0,0,,,,71.48100000000001,0.0,0.0,
2020-03-29,7,0,0,0,,,,71.48100000000001,0.0,0.0,
2020-03-30,7,0,0,0,,,,71.48100000000001,0.0,0.0,
2020-03-31,7,0,0,0,,,,71.48100000000001,0.0,0.0,
2020-04-01,7,0,0,0,,,,71.48100000000001,0.0,0.0,
2020-04-02,7,0,0,0,,,,71.48100000000001,0.0,0.0,
2020-04-03,9,2,0,0,,,,91.904,0.0,0.0,
2020-04-04,15,6,0,0,,,,153.174,0.0,0.0,
2020-04-05,15,0,0,0,,,,153.174,0.0,0.0,
2020-04-06,15,0,0,0,,,,153.174,0.0,0.0,
2020-04-07,15,0,0,0,,,,153.174,0.0,0.0,
2020-04-08,15,0,0,0,,,,153.174,0.0,0.0,
2020-04-09,15,0,0,0,,,,153.174,0.0,0.0,
2020-04-10,19,4,2,2,,,,194.02,20.423,20.423,
2020-04-11,21,2,2,0,,,,214.44299999999998,20.423,0.0,
2020-04-12,21,0,2,0,,,,214.44299999999998,20.423,0.0,
2020-04-13,21,0,2,0,,,,214.44299999999998,20.423,0.0,
2020-04-14,23,2,2,0,,,,234.86599999999999,20.423,0.0,
2020-04-15,23,0,2,0,,,,234.86599999999999,20.423,0.0,
2020-04-16,23,0,2,0,,,,234.86599999999999,20.423,0.0,
2020-04-17,23,0,2,0,,,,234.86599999999999,20.423,0.0,
2020-04-18,23,0,2,0,,,,234.86599999999999,20.423,0.0,
2020-04-19,23,0,2,0,,,,234.86599999999999,20.423,0.0,
2020-04-20,23,0,2,0,,,,234.86599999999999,20.423,0.0,
2020-04-21,23,0,3,1,,,,234.86599999999999,30.635,10.212,
2020-04-22,24,1,3,0,,,,245.078,30.635,0.0,
2020-04-23,24,0,3,0,,,,245.078,30.635,0.0,
2020-04-24,24,0,3,0,,,,245.078,30.635,0.0,
2020-04-25,24,0,3,0,,,,245.078,30.635,0.0,
2020-04-26,24,0,3,0,,,,245.078,30.635,0.0,
2020-04-27,24,0,3,0,,,,245.078,30.635,0.0,
2020-04-28,24,0,3,0,,,,245.078,30.635,0.0,
2020-04-29,24,0,3,0,,,,245.078,30.635,0.0,
