Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-15,Antigua and Barbuda,1,1,0,0,,,,10.212,0.0,0.0,,
2020-03-21,Antigua and Barbuda,1,0,0,0,,,,10.212,0.0,0.0,,
2020-03-22,Antigua and Barbuda,1,0,0,0,,,,10.212,0.0,0.0,,
2020-03-23,Antigua and Barbuda,1,0,0,0,,,,10.212,0.0,0.0,,
2020-03-24,Antigua and Barbuda,1,0,0,0,,,,10.212,0.0,0.0,,
2020-03-25,Antigua and Barbuda,3,2,0,0,,,,30.635,0.0,0.0,,
2020-03-26,Antigua and Barbuda,3,0,0,0,,,,30.635,0.0,0.0,,
2020-03-27,Antigua and Barbuda,7,4,0,0,,,,71.48100000000001,0.0,0.0,,
2020-03-28,Antigua and Barbuda,7,0,0,0,,,,71.48100000000001,0.0,0.0,,
2020-03-29,Antigua and Barbuda,7,0,0,0,,,,71.48100000000001,0.0,0.0,,
2020-03-30,Antigua and Barbuda,7,0,0,0,,,,71.48100000000001,0.0,0.0,,
2020-03-31,Antigua and Barbuda,7,0,0,0,,,,71.48100000000001,0.0,0.0,,
2020-04-01,Antigua and Barbuda,7,0,0,0,,,,71.48100000000001,0.0,0.0,,
2020-04-02,Antigua and Barbuda,7,0,0,0,,,,71.48100000000001,0.0,0.0,,
2020-04-03,Antigua and Barbuda,9,2,0,0,,,,91.904,0.0,0.0,,
2020-04-04,Antigua and Barbuda,15,6,0,0,,,,153.174,0.0,0.0,,
2020-04-05,Antigua and Barbuda,15,0,0,0,,,,153.174,0.0,0.0,,
2020-04-06,Antigua and Barbuda,15,0,0,0,,,,153.174,0.0,0.0,,
2020-04-07,Antigua and Barbuda,15,0,0,0,,,,153.174,0.0,0.0,,
2020-04-08,Antigua and Barbuda,15,0,0,0,,,,153.174,0.0,0.0,,
2020-04-09,Antigua and Barbuda,15,0,0,0,,,,153.174,0.0,0.0,,
2020-04-10,Antigua and Barbuda,19,4,2,2,,,,194.02,20.423,20.423,,
2020-04-11,Antigua and Barbuda,21,2,2,0,,,,214.44299999999998,20.423,0.0,,
2020-04-12,Antigua and Barbuda,21,0,2,0,,,,214.44299999999998,20.423,0.0,,
2020-04-13,Antigua and Barbuda,21,0,2,0,,,,214.44299999999998,20.423,0.0,,
2020-04-14,Antigua and Barbuda,23,2,2,0,,,,234.86599999999999,20.423,0.0,,
2020-04-15,Antigua and Barbuda,23,0,2,0,,,,234.86599999999999,20.423,0.0,,
2020-04-16,Antigua and Barbuda,23,0,2,0,,,,234.86599999999999,20.423,0.0,,
2020-04-17,Antigua and Barbuda,23,0,2,0,,,,234.86599999999999,20.423,0.0,,
2020-04-18,Antigua and Barbuda,23,0,2,0,,,,234.86599999999999,20.423,0.0,,
2020-04-19,Antigua and Barbuda,23,0,2,0,,,,234.86599999999999,20.423,0.0,,
2020-04-20,Antigua and Barbuda,23,0,2,0,,,,234.86599999999999,20.423,0.0,,
2020-04-21,Antigua and Barbuda,23,0,3,1,,,,234.86599999999999,30.635,10.212,,
