Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2019-12-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-02,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-03,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-04,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-05,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-06,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-07,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-08,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-09,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-10,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-11,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-12,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-13,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-14,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-15,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-16,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-17,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-18,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-19,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-20,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-21,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-22,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-23,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-24,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-25,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-26,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-27,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-28,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-29,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-30,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-02,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-03,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-04,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-05,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-06,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-07,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-08,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-09,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-10,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-11,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-12,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-13,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-14,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-15,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-16,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-17,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-18,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-19,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-20,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-21,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-22,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-23,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-24,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-25,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-26,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-27,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-28,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-29,0,0,0,0,,,,0.0,0.0,0.0,
2020-03-01,1,1,0,0,,,,0.337,0.0,0.0,
2020-03-02,1,0,0,0,,,,0.337,0.0,0.0,
2020-03-12,4,3,0,0,,,,1.35,0.0,0.0,
2020-03-13,6,2,0,0,,,,2.025,0.0,0.0,
2020-03-14,13,7,0,0,,,,4.387,0.0,0.0,
2020-03-15,20,7,0,0,,,,6.749,0.0,0.0,
2020-03-16,30,10,0,0,,,,10.124,0.0,0.0,
2020-03-17,52,22,0,0,,,,17.548,0.0,0.0,
2020-03-18,78,26,0,0,,,,26.323,0.0,0.0,
2020-03-19,115,37,0,0,,,,38.809,0.0,0.0,
2020-03-20,122,7,0,0,,,,41.17100000000001,0.0,0.0,
2020-03-21,136,14,0,0,,,,45.896,0.0,0.0,
2020-03-22,160,24,0,0,,,,53.995,0.0,0.0,
2020-03-23,190,30,0,0,,,,64.119,0.0,0.0,
2020-03-24,194,4,0,0,,,,65.469,0.0,0.0,
2020-03-25,265,71,0,0,,,,89.429,0.0,0.0,
2020-03-26,290,25,0,0,,,,97.866,0.0,0.0,
2020-03-27,329,39,1,1,,,,111.027,0.337,0.337,
2020-03-28,372,43,1,0,,,,125.539,0.337,0.0,
2020-03-29,424,52,3,2,,,,143.08700000000002,1.012,0.675,
2020-03-30,424,0,3,0,,,,143.08700000000002,1.012,0.0,
2020-03-31,482,58,3,0,,,,162.66,1.012,0.0,
2020-04-01,532,50,3,0,,,,179.53400000000002,1.012,0.0,
2020-04-02,571,39,3,0,,,,192.695,1.012,0.0,
2020-04-03,663,92,4,1,,,,223.74200000000002,1.35,0.337,
2020-04-04,736,73,7,3,,,,248.377,2.362,1.012,
2020-04-05,770,34,7,0,,,,259.851,2.362,0.0,
2020-04-06,822,52,7,0,,,,277.4,2.362,0.0,
2020-04-07,833,11,8,1,,,,281.112,2.7,0.337,
2020-04-08,853,20,8,0,,,,287.861,2.7,0.0,
2020-04-09,881,28,9,1,,,,297.31,3.037,0.337,
