Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2019-12-31,Armenia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-01,Armenia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-02,Armenia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-03,Armenia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-04,Armenia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-05,Armenia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-06,Armenia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-07,Armenia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-08,Armenia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-09,Armenia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-10,Armenia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-11,Armenia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-12,Armenia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-13,Armenia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-14,Armenia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-15,Armenia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-16,Armenia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-17,Armenia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-18,Armenia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-19,Armenia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-20,Armenia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-21,Armenia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-22,Armenia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-23,Armenia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-24,Armenia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-25,Armenia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-26,Armenia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-27,Armenia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-28,Armenia,0,0,0,0,,,,0.0,0.0,0.0,,
