Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-13,Aruba,2,2,0,0,,,,18.733,0.0,0.0,,
2020-03-20,Aruba,4,2,0,0,,,,37.465,0.0,0.0,,
2020-03-24,Aruba,12,8,0,0,,,,112.395,0.0,0.0,,
2020-03-25,Aruba,17,5,0,0,,,,159.227,0.0,0.0,,
2020-03-26,Aruba,19,2,0,0,,,,177.959,0.0,0.0,,
2020-03-27,Aruba,28,9,0,0,,,,262.256,0.0,0.0,,
2020-03-28,Aruba,28,0,0,0,,,,262.256,0.0,0.0,,
2020-03-29,Aruba,28,0,0,0,,,,262.256,0.0,0.0,,
2020-03-30,Aruba,50,22,0,0,,,,468.314,0.0,0.0,,
2020-04-01,Aruba,55,5,0,0,,,,515.145,0.0,0.0,,
2020-04-02,Aruba,55,0,0,0,,,,515.145,0.0,0.0,,
2020-04-03,Aruba,60,5,0,0,,,,561.977,0.0,0.0,,
2020-04-04,Aruba,62,2,0,0,,,,580.7090000000001,0.0,0.0,,
2020-04-05,Aruba,64,2,0,0,,,,599.442,0.0,0.0,,
2020-04-06,Aruba,64,0,0,0,,,,599.442,0.0,0.0,,
2020-04-07,Aruba,71,7,0,0,,,,665.0060000000001,0.0,0.0,,
2020-04-08,Aruba,74,3,0,0,,,,693.105,0.0,0.0,,
2020-04-09,Aruba,77,3,0,0,,,,721.203,0.0,0.0,,
2020-04-10,Aruba,82,5,0,0,,,,768.035,0.0,0.0,,
2020-04-11,Aruba,86,4,0,0,,,,805.5,0.0,0.0,,
2020-04-12,Aruba,92,6,0,0,,,,861.698,0.0,0.0,,
2020-04-13,Aruba,92,0,0,0,,,,861.698,0.0,0.0,,
2020-04-14,Aruba,92,0,0,0,,,,861.698,0.0,0.0,,
2020-04-15,Aruba,92,0,0,0,,,,861.698,0.0,0.0,,
2020-04-16,Aruba,93,1,1,1,,,,871.064,9.366,9.366,,
2020-04-17,Aruba,95,2,1,0,,,,889.796,9.366,0.0,,
2020-04-18,Aruba,96,1,2,1,,,,899.163,18.733,9.366,,
2020-04-19,Aruba,96,0,2,0,,,,899.163,18.733,0.0,,
2020-04-20,Aruba,97,1,2,0,,,,908.529,18.733,0.0,,
2020-04-21,Aruba,97,0,2,0,,,,908.529,18.733,0.0,,
