Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2019-12-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-02,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-03,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-04,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-05,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-06,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-07,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-08,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-09,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-10,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-11,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-12,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-13,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-14,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-15,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-16,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-17,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-18,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-19,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-20,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-21,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-22,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-23,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-24,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-25,1,1,0,0,,,,0.039,0.0,0.0,
2020-01-26,4,3,0,0,,,,0.157,0.0,0.0,
2020-01-27,4,0,0,0,,,,0.157,0.0,0.0,
2020-01-28,4,0,0,0,,,,0.157,0.0,0.0,
2020-01-29,4,0,0,0,,,,0.157,0.0,0.0,
2020-01-30,6,2,0,0,,,,0.235,0.0,0.0,
2020-01-31,7,1,0,0,,,,0.275,0.0,0.0,
2020-02-01,9,2,0,0,,,,0.353,0.0,0.0,
2020-02-02,11,2,0,0,,,,0.431,0.0,0.0,
2020-02-03,11,0,0,0,,,,0.431,0.0,0.0,
2020-02-04,11,0,0,0,,,,0.431,0.0,0.0,
2020-02-05,12,1,0,0,,,,0.47100000000000003,0.0,0.0,
2020-02-06,13,1,0,0,,,,0.51,0.0,0.0,
2020-02-07,14,1,0,0,,,,0.5489999999999999,0.0,0.0,
2020-02-08,14,0,0,0,,,,0.5489999999999999,0.0,0.0,
2020-02-09,14,0,0,0,,,,0.5489999999999999,0.0,0.0,
2020-02-10,14,0,0,0,,,,0.5489999999999999,0.0,0.0,
2020-02-11,14,0,0,0,,,,0.5489999999999999,0.0,0.0,
2020-02-12,14,0,0,0,,,,0.5489999999999999,0.0,0.0,
2020-02-13,14,0,0,0,,,,0.5489999999999999,0.0,0.0,
2020-02-14,15,1,0,0,,,,0.588,0.0,0.0,
2020-02-15,15,0,0,0,,,,0.588,0.0,0.0,
2020-02-16,15,0,0,0,,,,0.588,0.0,0.0,
2020-02-17,15,0,0,0,,,,0.588,0.0,0.0,
2020-02-18,15,0,0,0,,,,0.588,0.0,0.0,
2020-02-19,15,0,0,0,,,,0.588,0.0,0.0,
2020-02-20,15,0,0,0,,,,0.588,0.0,0.0,
2020-02-21,17,2,0,0,,,,0.667,0.0,0.0,
2020-02-22,21,4,0,0,,,,0.8240000000000001,0.0,0.0,
2020-02-23,22,1,0,0,,,,0.863,0.0,0.0,
2020-02-24,22,0,0,0,,,,0.863,0.0,0.0,
2020-02-25,22,0,0,0,,,,0.863,0.0,0.0,
2020-02-26,22,0,0,0,,,,0.863,0.0,0.0,
2020-02-27,23,1,0,0,,,,0.902,0.0,0.0,
2020-02-28,23,0,0,0,,,,0.902,0.0,0.0,
2020-02-29,25,2,0,0,,,,0.98,0.0,0.0,
2020-03-01,26,1,1,1,,,,1.02,0.039,0.039,
2020-03-02,29,3,1,0,,,,1.137,0.039,0.0,
2020-03-03,33,4,1,0,,,,1.294,0.039,0.0,
2020-03-04,41,8,1,0,,,,1.608,0.039,0.0,
2020-03-05,52,11,2,1,,,,2.039,0.078,0.039,
2020-03-06,59,7,2,0,,,,2.314,0.078,0.0,
2020-03-07,63,4,2,0,,,,2.471,0.078,0.0,
2020-03-08,74,11,3,1,,,,2.9019999999999997,0.11800000000000001,0.039,
2020-03-09,80,6,3,0,,,,3.137,0.11800000000000001,0.0,
2020-03-10,100,20,3,0,,,,3.9219999999999997,0.11800000000000001,0.0,
2020-03-11,112,12,3,0,,,,4.3919999999999995,0.11800000000000001,0.0,
2020-03-12,126,14,3,0,,,,4.941,0.11800000000000001,0.0,
2020-03-13,156,30,3,0,,,,6.117999999999999,0.11800000000000001,0.0,
2020-03-14,197,41,3,0,,,,7.726,0.11800000000000001,0.0,
2020-03-15,249,52,3,0,,,,9.765,0.11800000000000001,0.0,
2020-03-16,298,49,5,2,,,,11.686,0.196,0.078,
2020-03-17,375,77,5,0,,,,14.706,0.196,0.0,
2020-03-18,454,79,5,0,,,,17.804000000000002,0.196,0.0,
2020-03-19,565,111,6,1,,,,22.156999999999996,0.235,0.039,
2020-03-20,709,144,6,0,,,,27.804000000000002,0.235,0.0,
2020-03-21,874,165,7,1,,,,34.275,0.275,0.039,
2020-03-22,1098,224,7,0,,,,43.059,0.275,0.0,143056.0
2020-03-23,1709,611,7,0,,,,67.02,0.275,0.0,
2020-03-24,1823,114,7,0,,,,71.491,0.275,0.0,
2020-03-25,2423,600,8,1,,,,95.02,0.314,0.039,
2020-03-26,2799,376,11,3,,,,109.765,0.431,0.11800000000000001,
2020-03-27,3166,367,13,2,,,,124.15700000000001,0.51,0.078,
