Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2019-12-31,Australia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-01,Australia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-02,Australia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-03,Australia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-04,Australia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-05,Australia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-06,Australia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-07,Australia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-08,Australia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-09,Australia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-10,Australia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-11,Australia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-12,Australia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-13,Australia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-14,Australia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-15,Australia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-16,Australia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-17,Australia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-18,Australia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-19,Australia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-20,Australia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-21,Australia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-22,Australia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-23,Australia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-24,Australia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-25,Australia,1,1,0,0,,,,0.039,0.0,0.0,,
2020-01-26,Australia,4,3,0,0,,,,0.157,0.0,0.0,,
2020-01-27,Australia,4,0,0,0,,,,0.157,0.0,0.0,,
2020-01-28,Australia,4,0,0,0,,,,0.157,0.0,0.0,,
2020-01-29,Australia,4,0,0,0,,,,0.157,0.0,0.0,,
2020-01-30,Australia,6,2,0,0,,,,0.235,0.0,0.0,54.0,
2020-01-31,Australia,7,1,0,0,,,,0.275,0.0,0.0,71.0,
2020-02-01,Australia,9,2,0,0,,,,0.353,0.0,0.0,90.0,
2020-02-02,Australia,11,2,0,0,,,,0.431,0.0,0.0,105.0,
2020-02-03,Australia,11,0,0,0,,,,0.431,0.0,0.0,138.0,
2020-02-04,Australia,11,0,0,0,,,,0.431,0.0,0.0,174.0,
2020-02-05,Australia,12,1,0,0,,,,0.47100000000000003,0.0,0.0,304.0,
2020-02-06,Australia,13,1,0,0,,,,0.51,0.0,0.0,321.0,
2020-02-07,Australia,14,1,0,0,,,,0.5489999999999999,0.0,0.0,375.0,
2020-02-08,Australia,14,0,0,0,,,,0.5489999999999999,0.0,0.0,544.0,
2020-02-09,Australia,14,0,0,0,,,,0.5489999999999999,0.0,0.0,618.0,
2020-02-10,Australia,14,0,0,0,,,,0.5489999999999999,0.0,0.0,656.0,
2020-02-11,Australia,14,0,0,0,,,,0.5489999999999999,0.0,0.0,707.0,
2020-02-12,Australia,14,0,0,0,,,,0.5489999999999999,0.0,0.0,876.0,
2020-02-13,Australia,14,0,0,0,,,,0.5489999999999999,0.0,0.0,982.0,
2020-02-14,Australia,15,1,0,0,,,,0.588,0.0,0.0,1124.0,
2020-02-15,Australia,15,0,0,0,,,,0.588,0.0,0.0,,
2020-02-16,Australia,15,0,0,0,,,,0.588,0.0,0.0,1307.0,
2020-02-17,Australia,15,0,0,0,,,,0.588,0.0,0.0,1318.0,
2020-02-18,Australia,15,0,0,0,,,,0.588,0.0,0.0,1426.0,
2020-02-19,Australia,15,0,0,0,,,,0.588,0.0,0.0,1700.0,
2020-02-20,Australia,15,0,0,0,,,,0.588,0.0,0.0,1871.0,
2020-02-21,Australia,17,2,0,0,,,,0.667,0.0,0.0,2023.0,
2020-02-22,Australia,21,4,0,0,,,,0.8240000000000001,0.0,0.0,2087.0,
2020-02-23,Australia,22,1,0,0,,,,0.863,0.0,0.0,2234.0,
2020-02-24,Australia,22,0,0,0,,,,0.863,0.0,0.0,2268.0,
2020-02-25,Australia,22,0,0,0,,,,0.863,0.0,0.0,2462.0,
2020-02-26,Australia,22,0,0,0,,,,0.863,0.0,0.0,2647.0,
2020-02-27,Australia,23,1,0,0,,,,0.902,0.0,0.0,,
2020-02-28,Australia,23,0,0,0,,,,0.902,0.0,0.0,2834.0,
2020-02-29,Australia,25,2,0,0,,,,0.98,0.0,0.0,,
2020-03-01,Australia,26,1,1,1,,,,1.02,0.039,0.039,2917.0,
2020-03-02,Australia,29,3,1,0,,,,1.137,0.039,0.0,,
2020-03-03,Australia,33,4,1,0,,,,1.294,0.039,0.0,3036.0,
2020-03-04,Australia,41,8,1,0,,,,1.608,0.039,0.0,,
2020-03-05,Australia,52,11,2,1,,,,2.039,0.078,0.039,3297.0,
2020-03-06,Australia,59,7,2,0,,,,2.314,0.078,0.0,3434.0,
2020-03-07,Australia,63,4,2,0,,,,2.471,0.078,0.0,7889.0,
2020-03-08,Australia,74,11,3,1,,,,2.9019999999999997,0.11800000000000001,0.039,9120.0,
2020-03-09,Australia,80,6,3,0,,,,3.137,0.11800000000000001,0.0,9747.0,
2020-03-10,Australia,100,20,3,0,,,,3.9219999999999997,0.11800000000000001,0.0,11086.0,
2020-03-11,Australia,112,12,3,0,,,,4.3919999999999995,0.11800000000000001,0.0,11146.0,
2020-03-12,Australia,126,14,3,0,,,,4.941,0.11800000000000001,0.0,13047.0,
2020-03-13,Australia,156,30,3,0,,,,6.117999999999999,0.11800000000000001,0.0,18608.0,
2020-03-14,Australia,197,41,3,0,,,,7.726,0.11800000000000001,0.0,23462.0,
2020-03-15,Australia,249,52,3,0,,,,9.765,0.11800000000000001,0.0,25279.0,
2020-03-16,Australia,298,49,5,2,,,,11.686,0.196,0.078,44121.0,
2020-03-17,Australia,375,77,5,0,,,,14.706,0.196,0.0,50408.0,
2020-03-18,Australia,454,79,5,0,,,,17.804000000000002,0.196,0.0,80019.0,
2020-03-19,Australia,565,111,6,1,,,,22.156999999999996,0.235,0.039,106049.0,
2020-03-20,Australia,709,144,6,0,,,,27.804000000000002,0.235,0.0,113069.0,
2020-03-21,Australia,874,165,7,1,,,,34.275,0.275,0.039,122738.0,
2020-03-22,Australia,1098,224,7,0,,,,43.059,0.275,0.0,131500.0,
2020-03-23,Australia,1709,611,7,0,,,,67.02,0.275,0.0,143967.0,
2020-03-24,Australia,1823,114,7,0,,,,71.491,0.275,0.0,156147.0,
2020-03-25,Australia,2423,600,8,1,,,,95.02,0.314,0.039,167448.0,
2020-03-26,Australia,2799,376,11,3,,,,109.765,0.431,0.11800000000000001,178351.0,
2020-03-27,Australia,3166,367,13,2,,,,124.15700000000001,0.51,0.078,189646.0,
2020-03-28,Australia,3378,212,13,0,,,,132.471,0.51,0.0,205303.0,
2020-03-29,Australia,3809,431,14,1,,,,149.373,0.5489999999999999,0.039,227433.0,
2020-03-30,Australia,4093,284,16,2,,,,160.511,0.627,0.078,232269.0,
2020-03-31,Australia,4557,464,19,3,,,,178.707,0.745,0.11800000000000001,243079.0,
2020-04-01,Australia,4707,150,20,1,,,,184.58900000000003,0.784,0.039,256788.0,
2020-04-02,Australia,4976,269,21,1,,,,195.138,0.8240000000000001,0.039,266786.0,
2020-04-03,Australia,5224,248,23,2,,,,204.864,0.902,0.078,277004.0,
2020-04-04,Australia,5548,324,30,7,,,,217.57,1.176,0.275,285477.0,
2020-04-05,Australia,5687,139,34,4,,,,223.021,1.3330000000000002,0.157,293196.0,
2020-04-06,Australia,5744,57,36,2,,,,225.25599999999997,1.412,0.078,302068.0,
2020-04-07,Australia,5844,100,42,6,,,,229.178,1.6469999999999998,0.235,308593.0,
2020-04-08,Australia,5956,112,45,3,,,,233.57,1.765,0.11800000000000001,319874.0,
2020-04-09,Australia,6052,96,50,5,,,,237.334,1.9609999999999999,0.196,330134.0,
2020-04-10,Australia,6152,100,52,2,,,,241.25599999999997,2.039,0.078,338346.0,
2020-04-11,Australia,6238,86,54,2,,,,244.62900000000002,2.1180000000000003,0.078,350704.0,
2020-04-12,Australia,6289,51,57,3,,,,246.62900000000002,2.235,0.11800000000000001,353941.0,
2020-04-13,Australia,6322,33,61,4,,,,247.923,2.392,0.157,362136.0,
2020-04-14,Australia,6366,44,61,0,,,,249.648,2.392,0.0,366493.0,
2020-04-15,Australia,6416,50,61,0,,,,251.609,2.392,0.0,371377.0,
2020-04-16,Australia,6458,42,63,2,,,,253.25599999999997,2.471,0.078,380003.0,
2020-04-17,Australia,6497,39,63,0,,,,254.78599999999997,2.471,0.0,391530.0,
2020-04-18,Australia,6533,36,67,4,,,,256.197,2.627,0.157,406510.0,
2020-04-19,Australia,6586,53,69,2,,,,258.276,2.7060000000000004,0.078,420996.0,
2020-04-20,Australia,6612,26,70,1,,,,259.295,2.745,0.039,431745.0,
2020-04-21,Australia,6625,13,71,1,,,,259.805,2.784,0.039,,
