Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2019-12-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-02,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-03,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-04,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-05,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-06,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-07,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-08,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-09,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-10,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-11,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-12,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-13,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-14,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-15,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-16,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-17,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-18,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-19,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-20,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-21,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-22,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-23,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-24,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-25,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-26,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-27,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-28,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-29,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-30,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-02,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-03,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-04,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-05,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-06,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-07,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-08,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-09,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-10,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-11,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-12,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-13,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-14,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-15,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-16,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-17,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-18,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-19,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-20,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-21,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-22,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-23,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-24,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-25,0,0,0,0,,,,0.0,0.0,0.0,218.0
2020-02-26,2,2,0,0,,,,0.222,0.0,0.0,321.0
2020-02-27,2,0,0,0,,,,0.222,0.0,0.0,447.0
2020-02-28,5,3,0,0,,,,0.555,0.0,0.0,763.0
2020-02-29,7,2,0,0,,,,0.777,0.0,0.0,1649.0
2020-03-01,10,3,0,0,,,,1.11,0.0,0.0,
2020-03-02,14,4,0,0,,,,1.554,0.0,0.0,
2020-03-03,18,4,0,0,,,,1.999,0.0,0.0,2683.0
2020-03-04,24,6,0,0,,,,2.665,0.0,0.0,3138.0
2020-03-05,29,5,0,0,,,,3.22,0.0,0.0,3711.0
2020-03-06,41,12,0,0,,,,4.552,0.0,0.0,4000.0
2020-03-07,74,33,0,0,,,,8.216000000000001,0.0,0.0,4308.0
2020-03-08,99,25,0,0,,,,10.992,0.0,0.0,4509.0
2020-03-09,102,3,0,0,,,,11.325,0.0,0.0,4734.0
2020-03-10,131,29,0,0,,,,14.545,0.0,0.0,5026.0
2020-03-11,182,51,0,0,,,,20.208,0.0,0.0,5362.0
2020-03-12,246,64,0,0,,,,27.314,0.0,0.0,5869.0
2020-03-13,361,115,1,1,,,,40.083,0.111,0.111,6582.0
2020-03-14,504,143,1,0,,,,55.96,0.111,0.0,7467.0
2020-03-15,655,151,1,0,,,,72.726,0.111,0.0,8167.0
2020-03-16,860,205,1,0,,,,95.488,0.111,0.0,8490.0
2020-03-17,1016,156,3,2,,,,112.809,0.33299999999999996,0.222,10278.0
2020-03-18,1332,316,3,0,,,,147.895,0.33299999999999996,0.0,11977.0
2020-03-19,1646,314,4,1,,,,182.75900000000001,0.444,0.111,13724.0
2020-03-20,2196,550,6,2,,,,243.827,0.6659999999999999,0.222,15613.0
2020-03-21,2649,453,6,0,,,,294.124,0.6659999999999999,0.0,18545.0
2020-03-22,3024,375,8,2,,,,335.76099999999997,0.888,0.222,21368.0
2020-03-23,3631,607,16,8,,,,403.158,1.777,0.888,23429.0
2020-03-24,4486,855,25,9,,,,498.09,2.7760000000000002,0.9990000000000001,28391.0
2020-03-25,5282,796,30,5,,,,586.472,3.3310000000000004,0.555,32407.0
2020-03-26,5888,606,34,4,,,,653.757,3.775,0.444,35995.0
