Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2019-12-31,Azerbaijan,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-01,Azerbaijan,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-02,Azerbaijan,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-03,Azerbaijan,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-04,Azerbaijan,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-05,Azerbaijan,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-06,Azerbaijan,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-07,Azerbaijan,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-08,Azerbaijan,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-09,Azerbaijan,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-10,Azerbaijan,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-11,Azerbaijan,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-12,Azerbaijan,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-13,Azerbaijan,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-14,Azerbaijan,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-15,Azerbaijan,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-16,Azerbaijan,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-17,Azerbaijan,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-18,Azerbaijan,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-19,Azerbaijan,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-20,Azerbaijan,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-21,Azerbaijan,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-22,Azerbaijan,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-23,Azerbaijan,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-24,Azerbaijan,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-25,Azerbaijan,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-26,Azerbaijan,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-27,Azerbaijan,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-28,Azerbaijan,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-29,Azerbaijan,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-30,Azerbaijan,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-31,Azerbaijan,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-01,Azerbaijan,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-02,Azerbaijan,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-03,Azerbaijan,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-04,Azerbaijan,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-05,Azerbaijan,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-06,Azerbaijan,0,0,0,0,,,,0.0,0.0,0.0,,
