Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-16,1,1,0,0,,,,2.543,0.0,0.0,
2020-03-17,1,0,0,0,,,,2.543,0.0,0.0,
2020-03-20,3,2,0,0,,,,7.629,0.0,0.0,
2020-03-21,4,1,0,0,,,,10.172,0.0,0.0,
2020-03-22,4,0,0,0,,,,10.172,0.0,0.0,
2020-03-23,4,0,0,0,,,,10.172,0.0,0.0,
2020-03-24,4,0,0,0,,,,10.172,0.0,0.0,
2020-03-25,4,0,0,0,,,,10.172,0.0,0.0,
2020-03-26,5,1,0,0,,,,12.715,0.0,0.0,
2020-03-27,9,4,0,0,,,,22.886,0.0,0.0,
2020-03-28,9,0,0,0,,,,22.886,0.0,0.0,
2020-03-29,11,2,0,0,,,,27.971999999999998,0.0,0.0,
2020-03-30,14,3,0,0,,,,35.601,0.0,0.0,
2020-03-31,14,0,0,0,,,,35.601,0.0,0.0,
2020-04-01,15,1,0,0,,,,38.144,0.0,0.0,
2020-04-02,21,6,1,1,,,,53.401,2.543,2.543,
2020-04-03,24,3,1,0,,,,61.03,2.543,0.0,
2020-04-04,24,0,3,2,,,,61.03,7.629,5.086,
2020-04-05,28,4,4,1,,,,71.202,10.172,2.543,
2020-04-06,29,1,5,1,,,,73.745,12.715,2.543,
2020-04-07,33,4,5,0,,,,83.917,12.715,0.0,
2020-04-08,36,3,6,1,,,,91.545,15.258,2.543,
2020-04-09,40,4,7,1,,,,101.71700000000001,17.8,2.543,
2020-04-10,41,1,8,1,,,,104.26,20.343,2.543,
2020-04-11,42,1,8,0,,,,106.803,20.343,0.0,
2020-04-12,46,4,8,0,,,,116.975,20.343,0.0,
2020-04-13,47,1,8,0,,,,119.51700000000001,20.343,0.0,
2020-04-14,49,2,8,0,,,,124.603,20.343,0.0,
2020-04-15,49,0,8,0,,,,124.603,20.343,0.0,
2020-04-16,53,4,8,0,,,,134.775,20.343,0.0,
2020-04-17,54,1,9,1,,,,137.31799999999998,22.886,2.543,
2020-04-18,55,1,9,0,,,,139.861,22.886,0.0,
2020-04-19,58,3,9,0,,,,147.49,22.886,0.0,
2020-04-20,60,2,9,0,,,,152.575,22.886,0.0,
2020-04-21,64,4,9,0,,,,162.747,22.886,0.0,
2020-04-22,65,1,9,0,,,,165.29,22.886,0.0,
2020-04-23,70,5,9,0,,,,178.005,22.886,0.0,
2020-04-24,72,2,11,2,,,,183.09099999999998,27.971999999999998,5.086,
2020-04-25,73,1,11,0,,,,185.63299999999998,27.971999999999998,0.0,
2020-04-26,78,5,11,0,,,,198.34799999999998,27.971999999999998,0.0,
2020-04-27,80,2,11,0,,,,203.43400000000003,27.971999999999998,0.0,
2020-04-28,80,0,11,0,,,,203.43400000000003,27.971999999999998,0.0,
2020-04-29,80,0,11,0,,,,203.43400000000003,27.971999999999998,0.0,
