Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-16,Bahamas,1,1,0,0,,,,2.543,0.0,0.0,,
2020-03-17,Bahamas,1,0,0,0,,,,2.543,0.0,0.0,,
2020-03-20,Bahamas,3,2,0,0,,,,7.629,0.0,0.0,,
2020-03-21,Bahamas,4,1,0,0,,,,10.172,0.0,0.0,,
2020-03-22,Bahamas,4,0,0,0,,,,10.172,0.0,0.0,,
2020-03-23,Bahamas,4,0,0,0,,,,10.172,0.0,0.0,,
2020-03-24,Bahamas,4,0,0,0,,,,10.172,0.0,0.0,,
2020-03-25,Bahamas,4,0,0,0,,,,10.172,0.0,0.0,,
2020-03-26,Bahamas,5,1,0,0,,,,12.715,0.0,0.0,,
2020-03-27,Bahamas,9,4,0,0,,,,22.886,0.0,0.0,,
2020-03-28,Bahamas,9,0,0,0,,,,22.886,0.0,0.0,,
2020-03-29,Bahamas,11,2,0,0,,,,27.971999999999998,0.0,0.0,,
2020-03-30,Bahamas,14,3,0,0,,,,35.601,0.0,0.0,,
2020-03-31,Bahamas,14,0,0,0,,,,35.601,0.0,0.0,,
2020-04-01,Bahamas,15,1,0,0,,,,38.144,0.0,0.0,,
2020-04-02,Bahamas,21,6,1,1,,,,53.401,2.543,2.543,,
2020-04-03,Bahamas,24,3,1,0,,,,61.03,2.543,0.0,,
2020-04-04,Bahamas,24,0,3,2,,,,61.03,7.629,5.086,,
2020-04-05,Bahamas,28,4,4,1,,,,71.202,10.172,2.543,,
2020-04-06,Bahamas,29,1,5,1,,,,73.745,12.715,2.543,,
2020-04-07,Bahamas,33,4,5,0,,,,83.917,12.715,0.0,,
2020-04-08,Bahamas,36,3,6,1,,,,91.545,15.258,2.543,,
2020-04-09,Bahamas,40,4,7,1,,,,101.71700000000001,17.8,2.543,,
2020-04-10,Bahamas,41,1,8,1,,,,104.26,20.343,2.543,,
2020-04-11,Bahamas,42,1,8,0,,,,106.803,20.343,0.0,,
2020-04-12,Bahamas,46,4,8,0,,,,116.975,20.343,0.0,,
2020-04-13,Bahamas,47,1,8,0,,,,119.51700000000001,20.343,0.0,,
2020-04-14,Bahamas,49,2,8,0,,,,124.603,20.343,0.0,,
2020-04-15,Bahamas,49,0,8,0,,,,124.603,20.343,0.0,,
2020-04-16,Bahamas,53,4,8,0,,,,134.775,20.343,0.0,,
2020-04-17,Bahamas,54,1,9,1,,,,137.31799999999998,22.886,2.543,,
2020-04-18,Bahamas,55,1,9,0,,,,139.861,22.886,0.0,,
2020-04-19,Bahamas,58,3,9,0,,,,147.49,22.886,0.0,,
2020-04-20,Bahamas,60,2,9,0,,,,152.575,22.886,0.0,,
2020-04-21,Bahamas,64,4,9,0,,,,162.747,22.886,0.0,,
