Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2019-12-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-02,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-03,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-04,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-05,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-06,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-07,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-08,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-09,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-10,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-11,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-12,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-13,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-14,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-15,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-16,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-17,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-18,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-19,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-20,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-21,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-22,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-23,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-24,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-25,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-26,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-27,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-28,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-29,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-30,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-02,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-03,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-04,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-05,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-06,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-07,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-08,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-09,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-10,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-11,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-12,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-13,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-14,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-15,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-16,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-17,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-18,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-19,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-20,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-21,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-22,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-23,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-24,1,1,0,0,,,,0.588,0.0,0.0,
2020-02-25,2,1,0,0,,,,1.175,0.0,0.0,
2020-02-26,23,21,0,0,,,,13.517000000000001,0.0,0.0,
2020-02-27,33,10,0,0,,,,19.394000000000002,0.0,0.0,
2020-02-28,33,0,0,0,,,,19.394000000000002,0.0,0.0,
2020-02-29,38,5,0,0,,,,22.331999999999997,0.0,0.0,
2020-03-01,41,3,0,0,,,,24.095,0.0,0.0,
2020-03-02,47,6,0,0,,,,27.621,0.0,0.0,
2020-03-04,49,2,0,0,,,,28.796999999999997,0.0,0.0,
2020-03-05,52,3,0,0,,,,30.56,0.0,0.0,5334.0
2020-03-06,52,0,0,0,,,,30.56,0.0,0.0,
2020-03-07,56,4,0,0,,,,32.911,0.0,0.0,6420.0
2020-03-08,63,7,0,0,,,,37.024,0.0,0.0,
2020-03-09,79,16,0,0,,,,46.427,0.0,0.0,7830.0
2020-03-10,109,30,0,0,,,,64.058,0.0,0.0,8354.0
2020-03-11,110,1,0,0,,,,64.646,0.0,0.0,8810.0
2020-03-12,162,52,0,0,,,,95.205,0.0,0.0,9042.0
2020-03-13,162,0,0,0,,,,95.205,0.0,0.0,
2020-03-14,210,48,0,0,,,,123.414,0.0,0.0,
2020-03-15,211,1,0,0,,,,124.00200000000001,0.0,0.0,
2020-03-16,214,3,0,0,,,,125.765,0.0,0.0,12131.0
2020-03-17,221,7,1,1,,,,129.879,0.588,0.588,13553.0
2020-03-18,237,16,1,0,,,,139.282,0.588,0.0,
2020-03-19,256,19,1,0,,,,150.44799999999998,0.588,0.0,
2020-03-20,269,13,1,0,,,,158.088,0.588,0.0,19098.0
2020-03-21,285,16,1,0,,,,167.49099999999999,0.588,0.0,
2020-03-22,306,21,1,0,,,,179.833,0.588,0.0,
2020-03-23,334,28,2,1,,,,196.28799999999998,1.175,0.588,25169.0
2020-03-24,339,5,2,0,,,,199.226,1.175,0.0,
2020-03-25,390,51,3,1,,,,229.19799999999998,1.7630000000000001,0.588,
2020-03-26,419,29,3,0,,,,246.24099999999999,1.7630000000000001,0.0,29533.0
2020-03-27,458,39,4,1,,,,269.161,2.351,0.588,
2020-03-28,466,8,4,0,,,,273.863,2.351,0.0,
2020-03-29,473,7,4,0,,,,277.976,2.351,0.0,31895.0
