Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2019-12-31,Bahrain,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-01,Bahrain,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-02,Bahrain,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-03,Bahrain,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-04,Bahrain,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-05,Bahrain,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-06,Bahrain,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-07,Bahrain,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-08,Bahrain,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-09,Bahrain,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-10,Bahrain,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-11,Bahrain,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-12,Bahrain,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-13,Bahrain,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-14,Bahrain,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-15,Bahrain,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-16,Bahrain,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-17,Bahrain,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-18,Bahrain,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-19,Bahrain,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-20,Bahrain,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-21,Bahrain,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-22,Bahrain,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-23,Bahrain,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-24,Bahrain,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-25,Bahrain,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-26,Bahrain,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-27,Bahrain,0,0,0,0,,,,0.0,0.0,0.0,,
