Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-04,Bangladesh,0,0,0,0,,,,,,,108.0,
2020-03-05,Bangladesh,0,0,0,0,,,,,,,111.0,
2020-03-07,Bangladesh,0,0,0,0,,,,,,,120.0,
2020-03-08,Bangladesh,0,0,0,0,,,,,,,127.0,
2020-03-09,Bangladesh,3,3,0,0,,,,0.018000000000000002,0.0,0.0,137.0,
2020-03-10,Bangladesh,0,0,0,0,,,,,,,147.0,
2020-03-11,Bangladesh,0,0,0,0,,,,,,,163.0,
2020-03-12,Bangladesh,0,0,0,0,,,,,,,187.0,
2020-03-13,Bangladesh,0,0,0,0,,,,,,,211.0,
2020-03-14,Bangladesh,0,0,0,0,,,,,,,241.0,
2020-03-15,Bangladesh,3,0,0,0,,,,0.018000000000000002,0.0,0.0,268.0,
2020-03-16,Bangladesh,0,0,0,0,,,,,,,293.0,
2020-03-17,Bangladesh,5,2,0,0,,,,0.03,0.0,0.0,342.0,
2020-03-18,Bangladesh,8,3,0,0,,,,0.049,0.0,0.0,381.0,
2020-03-19,Bangladesh,10,2,0,0,,,,0.061,0.0,0.0,427.0,
2020-03-20,Bangladesh,10,0,0,0,,,,0.061,0.0,0.0,463.0,
2020-03-21,Bangladesh,17,7,0,0,,,,0.10300000000000001,0.0,0.0,499.0,
2020-03-22,Bangladesh,24,7,2,2,,,,0.146,0.012,0.012,564.0,
2020-03-23,Bangladesh,27,3,3,1,,,,0.16399999999999998,0.018000000000000002,0.006,620.0,
2020-03-24,Bangladesh,33,6,3,0,,,,0.2,0.018000000000000002,0.0,712.0,
2020-03-25,Bangladesh,39,6,4,1,,,,0.237,0.024,0.006,794.0,
2020-03-26,Bangladesh,39,0,5,1,,,,0.237,0.03,0.006,920.0,
2020-03-27,Bangladesh,48,9,5,0,,,,0.29100000000000004,0.03,0.0,1026.0,
2020-03-28,Bangladesh,48,0,5,0,,,,0.29100000000000004,0.03,0.0,1076.0,
2020-03-29,Bangladesh,48,0,5,0,,,,0.29100000000000004,0.03,0.0,1185.0,
2020-03-30,Bangladesh,49,1,5,0,,,,0.298,0.03,0.0,1338.0,
2020-03-31,Bangladesh,49,0,5,0,,,,0.298,0.03,0.0,1602.0,
2020-04-01,Bangladesh,51,2,5,0,,,,0.31,0.03,0.0,1759.0,
2020-04-02,Bangladesh,54,3,6,1,,,,0.32799999999999996,0.036000000000000004,0.006,1906.0,
2020-04-03,Bangladesh,56,2,6,0,,,,0.34,0.036000000000000004,0.0,2113.0,
2020-04-04,Bangladesh,61,5,6,0,,,,0.37,0.036000000000000004,0.0,2547.0,
2020-04-05,Bangladesh,70,9,8,2,,,,0.425,0.049,0.012,2914.0,
2020-04-06,Bangladesh,88,18,9,1,,,,0.534,0.055,0.006,3610.0,
2020-04-07,Bangladesh,123,35,12,3,,,,0.747,0.073,0.018000000000000002,4402.0,
2020-04-08,Bangladesh,164,41,17,5,,,,0.996,0.10300000000000001,0.03,5383.0,
2020-04-09,Bangladesh,218,54,20,3,,,,1.324,0.121,0.018000000000000002,6480.0,
2020-04-10,Bangladesh,330,112,21,1,,,,2.004,0.128,0.006,7664.0,
2020-04-11,Bangladesh,424,94,27,6,,,,2.575,0.16399999999999998,0.036000000000000004,8313.0,
2020-04-12,Bangladesh,482,58,30,3,,,,2.927,0.182,0.018000000000000002,9653.0,
2020-04-13,Bangladesh,621,139,34,4,,,,3.7710000000000004,0.20600000000000002,0.024,11223.0,
2020-04-14,Bangladesh,803,182,39,5,,,,4.876,0.237,0.03,13128.0,
2020-04-15,Bangladesh,1012,209,46,7,,,,6.145,0.27899999999999997,0.043,14868.0,
2020-04-16,Bangladesh,1231,219,50,4,,,,7.475,0.304,0.024,17003.0,
2020-04-17,Bangladesh,1572,341,60,10,,,,9.545,0.364,0.061,19193.0,
2020-04-18,Bangladesh,1838,266,75,15,,,,11.16,0.455,0.091,21307.0,
2020-04-19,Bangladesh,2144,306,84,9,,,,13.017999999999999,0.51,0.055,23941.0,
2020-04-20,Bangladesh,2456,312,91,7,,,,14.913,0.5529999999999999,0.043,26604.0,
2020-04-21,Bangladesh,2948,492,101,10,,,,17.9,0.613,0.061,29578.0,
