Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-18,1,1,0,0,,,,3.48,0.0,0.0,
2020-03-19,1,0,0,0,,,,3.48,0.0,0.0,
2020-03-20,2,1,0,0,,,,6.96,0.0,0.0,
2020-03-21,6,4,0,0,,,,20.879,0.0,0.0,
2020-03-22,14,8,0,0,,,,48.718,0.0,0.0,
2020-03-23,17,3,0,0,,,,59.157,0.0,0.0,
2020-03-24,17,0,0,0,,,,59.157,0.0,0.0,
2020-03-25,18,1,0,0,,,,62.637,0.0,0.0,
2020-03-26,18,0,0,0,,,,62.637,0.0,0.0,
2020-03-27,24,6,0,0,,,,83.516,0.0,0.0,
2020-03-28,24,0,0,0,,,,83.516,0.0,0.0,
2020-03-29,26,2,0,0,,,,90.475,0.0,0.0,
2020-03-30,33,7,0,0,,,,114.834,0.0,0.0,
2020-03-31,34,1,0,0,,,,118.314,0.0,0.0,
2020-04-01,34,0,0,0,,,,118.314,0.0,0.0,
2020-04-02,45,11,0,0,,,,156.592,0.0,0.0,
2020-04-03,45,0,0,0,,,,156.592,0.0,0.0,
2020-04-04,45,0,0,0,,,,156.592,0.0,0.0,
2020-04-05,51,6,0,0,,,,177.47099999999998,0.0,0.0,
2020-04-06,56,5,1,1,,,,194.87,3.48,3.48,
2020-04-07,60,4,2,1,,,,208.78900000000002,6.96,3.48,
2020-04-08,63,3,3,1,,,,219.229,10.439,3.48,
2020-04-09,63,0,3,0,,,,219.229,10.439,0.0,
2020-04-10,66,3,3,0,,,,229.668,10.439,0.0,
2020-04-11,67,1,4,1,,,,233.148,13.919,3.48,
2020-04-12,68,1,4,0,,,,236.628,13.919,0.0,
2020-04-13,71,3,4,0,,,,247.067,13.919,0.0,
2020-04-14,72,1,4,0,,,,250.547,13.919,0.0,
2020-04-15,73,1,5,1,,,,254.02700000000002,17.399,3.48,
2020-04-16,75,2,5,0,,,,260.987,17.399,0.0,
2020-04-17,75,0,5,0,,,,260.987,17.399,0.0,
2020-04-18,75,0,5,0,,,,260.987,17.399,0.0,
2020-04-19,75,0,5,0,,,,260.987,17.399,0.0,
2020-04-20,75,0,5,0,,,,260.987,17.399,0.0,
2020-04-21,75,0,5,0,,,,260.987,17.399,0.0,
2020-04-22,75,0,5,0,,,,260.987,17.399,0.0,
2020-04-23,76,1,6,1,,,,264.466,20.879,3.48,
2020-04-24,76,0,6,0,,,,264.466,20.879,0.0,
2020-04-25,76,0,6,0,,,,264.466,20.879,0.0,
2020-04-26,79,3,6,0,,,,274.906,20.879,0.0,
2020-04-27,79,0,6,0,,,,274.906,20.879,0.0,
2020-04-28,80,1,6,0,,,,278.38599999999997,20.879,0.0,
2020-04-29,80,0,6,0,,,,278.38599999999997,20.879,0.0,
