Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-18,Barbados,1,1,0,0,,,,3.48,0.0,0.0,,
2020-03-19,Barbados,1,0,0,0,,,,3.48,0.0,0.0,,
2020-03-20,Barbados,2,1,0,0,,,,6.96,0.0,0.0,,
2020-03-21,Barbados,6,4,0,0,,,,20.879,0.0,0.0,,
2020-03-22,Barbados,14,8,0,0,,,,48.718,0.0,0.0,,
2020-03-23,Barbados,17,3,0,0,,,,59.157,0.0,0.0,,
2020-03-24,Barbados,17,0,0,0,,,,59.157,0.0,0.0,,
2020-03-25,Barbados,18,1,0,0,,,,62.637,0.0,0.0,,
2020-03-26,Barbados,18,0,0,0,,,,62.637,0.0,0.0,,
2020-03-27,Barbados,24,6,0,0,,,,83.516,0.0,0.0,,
2020-03-28,Barbados,24,0,0,0,,,,83.516,0.0,0.0,,
2020-03-29,Barbados,26,2,0,0,,,,90.475,0.0,0.0,,
2020-03-30,Barbados,33,7,0,0,,,,114.834,0.0,0.0,,
2020-03-31,Barbados,34,1,0,0,,,,118.314,0.0,0.0,,
2020-04-01,Barbados,34,0,0,0,,,,118.314,0.0,0.0,,
2020-04-02,Barbados,45,11,0,0,,,,156.592,0.0,0.0,,
2020-04-03,Barbados,45,0,0,0,,,,156.592,0.0,0.0,,
2020-04-04,Barbados,45,0,0,0,,,,156.592,0.0,0.0,,
2020-04-05,Barbados,51,6,0,0,,,,177.47099999999998,0.0,0.0,,
2020-04-06,Barbados,56,5,1,1,,,,194.87,3.48,3.48,,
2020-04-07,Barbados,60,4,2,1,,,,208.78900000000002,6.96,3.48,,
2020-04-08,Barbados,63,3,3,1,,,,219.229,10.439,3.48,,
2020-04-09,Barbados,63,0,3,0,,,,219.229,10.439,0.0,,
2020-04-10,Barbados,66,3,3,0,,,,229.668,10.439,0.0,,
2020-04-11,Barbados,67,1,4,1,,,,233.148,13.919,3.48,,
2020-04-12,Barbados,68,1,4,0,,,,236.628,13.919,0.0,,
2020-04-13,Barbados,71,3,4,0,,,,247.067,13.919,0.0,,
2020-04-14,Barbados,72,1,4,0,,,,250.547,13.919,0.0,,
2020-04-15,Barbados,73,1,5,1,,,,254.02700000000002,17.399,3.48,,
2020-04-16,Barbados,75,2,5,0,,,,260.987,17.399,0.0,,
2020-04-17,Barbados,75,0,5,0,,,,260.987,17.399,0.0,,
2020-04-18,Barbados,75,0,5,0,,,,260.987,17.399,0.0,,
2020-04-19,Barbados,75,0,5,0,,,,260.987,17.399,0.0,,
2020-04-20,Barbados,75,0,5,0,,,,260.987,17.399,0.0,,
2020-04-21,Barbados,75,0,5,0,,,,260.987,17.399,0.0,,
