Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2019-12-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-02,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-03,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-04,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-05,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-06,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-07,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-08,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-09,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-10,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-11,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-12,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-13,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-14,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-15,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-16,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-17,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-18,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-19,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-20,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-21,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-22,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-23,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-24,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-25,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-26,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-27,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-28,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-29,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-30,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-02,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-03,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-04,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-05,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-06,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-07,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-08,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-09,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-10,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-11,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-12,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-13,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-14,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-15,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-16,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-17,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-18,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-19,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-20,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-21,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-22,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-23,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-24,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-25,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-26,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-27,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-28,1,1,0,0,,,,0.106,0.0,0.0,
2020-02-29,1,0,0,0,,,,0.106,0.0,0.0,
2020-03-01,1,0,0,0,,,,0.106,0.0,0.0,
2020-03-02,1,0,0,0,,,,0.106,0.0,0.0,
2020-03-03,0,0,0,0,,,,,,,5000.0
2020-03-04,4,3,0,0,,,,0.423,0.0,0.0,
2020-03-05,6,2,0,0,,,,0.635,0.0,0.0,
2020-03-11,9,3,0,0,,,,0.9520000000000001,0.0,0.0,
2020-03-12,12,3,0,0,,,,1.27,0.0,0.0,10500.0
2020-03-13,21,9,0,0,,,,2.222,0.0,0.0,
2020-03-16,27,6,0,0,,,,2.8569999999999998,0.0,0.0,16000.0
2020-03-17,36,9,0,0,,,,3.81,0.0,0.0,
2020-03-18,36,0,0,0,,,,3.81,0.0,0.0,
2020-03-19,46,10,0,0,,,,4.868,0.0,0.0,
2020-03-20,57,11,0,0,,,,6.032,0.0,0.0,19000.0
2020-03-21,57,0,0,0,,,,6.032,0.0,0.0,
2020-03-22,76,19,0,0,,,,8.043,0.0,0.0,
2020-03-23,76,0,0,0,,,,8.043,0.0,0.0,
2020-03-24,81,5,0,0,,,,8.572000000000001,0.0,0.0,
2020-03-25,81,0,0,0,,,,8.572000000000001,0.0,0.0,
2020-03-26,86,5,0,0,,,,9.101,0.0,0.0,
2020-03-27,86,0,0,0,,,,9.101,0.0,0.0,
2020-03-28,94,8,0,0,,,,9.948,0.0,0.0,
2020-03-29,94,0,0,0,,,,9.948,0.0,0.0,
2020-03-30,94,0,0,0,,,,9.948,0.0,0.0,30000.0
2020-03-31,105,11,0,0,,,,11.112,0.0,0.0,31000.0
2020-04-01,152,47,0,0,,,,16.086,0.0,0.0,32000.0
2020-04-02,152,0,0,0,,,,16.086,0.0,0.0,
2020-04-03,254,102,4,4,,,,26.88,0.423,0.423,
2020-04-04,351,97,4,0,,,,37.146,0.423,0.0,
2020-04-05,394,43,5,1,,,,41.696000000000005,0.529,0.106,
2020-04-06,564,170,8,3,,,,59.687,0.847,0.317,40000.0
