Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2019-12-31,Belarus,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-01,Belarus,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-02,Belarus,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-03,Belarus,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-04,Belarus,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-05,Belarus,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-06,Belarus,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-07,Belarus,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-08,Belarus,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-09,Belarus,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-10,Belarus,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-11,Belarus,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-12,Belarus,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-13,Belarus,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-14,Belarus,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-15,Belarus,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-16,Belarus,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-17,Belarus,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-18,Belarus,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-19,Belarus,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-20,Belarus,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-21,Belarus,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-22,Belarus,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-23,Belarus,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-24,Belarus,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-25,Belarus,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-26,Belarus,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-27,Belarus,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-28,Belarus,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-29,Belarus,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-30,Belarus,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-31,Belarus,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-01,Belarus,0,0,0,0,,,,0.0,0.0,0.0,,
