Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2019-12-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-02,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-03,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-04,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-05,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-06,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-07,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-08,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-09,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-10,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-11,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-12,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-13,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-14,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-15,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-16,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-17,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-18,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-19,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-20,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-21,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-22,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-23,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-24,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-25,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-26,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-27,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-28,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-29,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-30,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-02,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-03,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-04,1,1,0,0,,,,0.086,0.0,0.0,
2020-02-05,1,0,0,0,,,,0.086,0.0,0.0,
2020-02-06,1,0,0,0,,,,0.086,0.0,0.0,
2020-02-07,1,0,0,0,,,,0.086,0.0,0.0,
2020-02-08,1,0,0,0,,,,0.086,0.0,0.0,
2020-02-09,1,0,0,0,,,,0.086,0.0,0.0,
2020-02-10,1,0,0,0,,,,0.086,0.0,0.0,
2020-02-11,1,0,0,0,,,,0.086,0.0,0.0,
2020-02-12,1,0,0,0,,,,0.086,0.0,0.0,
2020-02-13,1,0,0,0,,,,0.086,0.0,0.0,
2020-02-14,1,0,0,0,,,,0.086,0.0,0.0,
2020-02-15,1,0,0,0,,,,0.086,0.0,0.0,
2020-02-16,1,0,0,0,,,,0.086,0.0,0.0,
2020-02-17,1,0,0,0,,,,0.086,0.0,0.0,
2020-02-18,1,0,0,0,,,,0.086,0.0,0.0,
2020-02-19,1,0,0,0,,,,0.086,0.0,0.0,
2020-02-20,1,0,0,0,,,,0.086,0.0,0.0,
2020-02-21,1,0,0,0,,,,0.086,0.0,0.0,
2020-02-22,1,0,0,0,,,,0.086,0.0,0.0,
2020-02-23,1,0,0,0,,,,0.086,0.0,0.0,
2020-02-24,1,0,0,0,,,,0.086,0.0,0.0,
2020-02-25,1,0,0,0,,,,0.086,0.0,0.0,
2020-02-26,1,0,0,0,,,,0.086,0.0,0.0,
2020-02-27,1,0,0,0,,,,0.086,0.0,0.0,
2020-02-28,1,0,0,0,,,,0.086,0.0,0.0,
2020-02-29,1,0,0,0,,,,0.086,0.0,0.0,
2020-03-01,1,0,0,0,,,,0.086,0.0,0.0,56.0
2020-03-02,2,1,0,0,,,,0.17300000000000001,0.0,0.0,334.0
2020-03-03,8,6,0,0,,,,0.69,0.0,0.0,818.0
2020-03-04,13,5,0,0,,,,1.122,0.0,0.0,1473.0
2020-03-05,23,10,0,0,,,,1.985,0.0,0.0,2186.0
2020-03-06,50,27,0,0,,,,4.314,0.0,0.0,3220.0
2020-03-07,109,59,0,0,,,,9.405,0.0,0.0,3635.0
2020-03-08,169,60,0,0,,,,14.582,0.0,0.0,4055.0
2020-03-09,200,31,0,0,,,,17.257,0.0,0.0,4593.0
2020-03-10,239,39,0,0,,,,20.622,0.0,0.0,5316.0
2020-03-11,267,28,0,0,,,,23.038,0.0,0.0,6293.0
2020-03-12,314,47,3,3,,,,27.093000000000004,0.259,0.259,7656.0
2020-03-13,399,85,3,0,,,,34.427,0.259,0.0,10001.0
2020-03-14,559,160,3,0,,,,48.233000000000004,0.259,0.0,11958.0
2020-03-15,689,130,4,1,,,,59.45,0.345,0.086,13117.0
2020-03-16,886,197,4,0,,,,76.44800000000001,0.345,0.0,14735.0
2020-03-17,1085,199,5,1,,,,93.618,0.431,0.086,16653.0
2020-03-18,1243,158,5,0,,,,107.251,0.431,0.0,18992.0
2020-03-19,1486,243,14,9,,,,128.218,1.208,0.777,21802.0
2020-03-20,1795,309,21,7,,,,154.88,1.8119999999999998,0.604,24328.0
2020-03-21,2257,462,37,16,,,,194.743,3.193,1.381,26241.0
2020-03-22,2815,558,67,30,,,,242.89,5.781000000000001,2.589,27384.0
2020-03-23,3401,586,75,8,,,,293.452,6.471,0.69,30013.0
2020-03-24,3743,342,88,13,,,,322.962,7.593,1.122,33267.0
2020-03-25,4269,526,122,34,,,,368.347,10.527000000000001,2.9339999999999997,36840.0
2020-03-26,4937,668,178,56,,,,425.985,15.359000000000002,4.832,40271.0
