Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-24,Belize,1,1,0,0,,,,2.515,0.0,0.0,,
2020-03-25,Belize,1,0,0,0,,,,2.515,0.0,0.0,,
2020-03-26,Belize,2,1,0,0,,,,5.03,0.0,0.0,,
2020-03-27,Belize,2,0,0,0,,,,5.03,0.0,0.0,,
2020-03-28,Belize,2,0,0,0,,,,5.03,0.0,0.0,,
2020-03-29,Belize,2,0,0,0,,,,5.03,0.0,0.0,,
2020-03-30,Belize,2,0,0,0,,,,5.03,0.0,0.0,,
2020-03-31,Belize,3,1,0,0,,,,7.545,0.0,0.0,,
2020-04-01,Belize,3,0,0,0,,,,7.545,0.0,0.0,,
2020-04-02,Belize,3,0,0,0,,,,7.545,0.0,0.0,,
2020-04-03,Belize,3,0,0,0,,,,7.545,0.0,0.0,,
2020-04-04,Belize,4,1,0,0,,,,10.06,0.0,0.0,,
2020-04-05,Belize,4,0,0,0,,,,10.06,0.0,0.0,,
2020-04-06,Belize,5,1,1,1,,,,12.575,2.515,2.515,,
2020-04-07,Belize,7,2,1,0,,,,17.605,2.515,0.0,,
2020-04-08,Belize,7,0,1,0,,,,17.605,2.515,0.0,,
2020-04-09,Belize,8,1,1,0,,,,20.12,2.515,0.0,,
2020-04-10,Belize,9,1,1,0,,,,22.635,2.515,0.0,,
2020-04-11,Belize,10,1,2,1,,,,25.15,5.03,2.515,,
2020-04-12,Belize,13,3,2,0,,,,32.694,5.03,0.0,,
2020-04-13,Belize,14,1,2,0,,,,35.209,5.03,0.0,,
2020-04-14,Belize,18,4,2,0,,,,45.269,5.03,0.0,,
2020-04-15,Belize,18,0,2,0,,,,45.269,5.03,0.0,,
2020-04-16,Belize,18,0,2,0,,,,45.269,5.03,0.0,,
2020-04-17,Belize,18,0,2,0,,,,45.269,5.03,0.0,,
2020-04-18,Belize,18,0,2,0,,,,45.269,5.03,0.0,,
2020-04-19,Belize,18,0,2,0,,,,45.269,5.03,0.0,,
2020-04-20,Belize,18,0,2,0,,,,45.269,5.03,0.0,,
2020-04-21,Belize,18,0,2,0,,,,45.269,5.03,0.0,,
