Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-17,Benin,1,1,0,0,,,,0.08199999999999999,0.0,0.0,,
2020-03-18,Benin,1,0,0,0,,,,0.08199999999999999,0.0,0.0,,
2020-03-19,Benin,1,0,0,0,,,,0.08199999999999999,0.0,0.0,,
2020-03-20,Benin,2,1,0,0,,,,0.165,0.0,0.0,,
2020-03-21,Benin,2,0,0,0,,,,0.165,0.0,0.0,,
2020-03-22,Benin,2,0,0,0,,,,0.165,0.0,0.0,,
2020-03-23,Benin,2,0,0,0,,,,0.165,0.0,0.0,,
2020-03-24,Benin,5,3,0,0,,,,0.41200000000000003,0.0,0.0,,
2020-03-25,Benin,5,0,0,0,,,,0.41200000000000003,0.0,0.0,,
2020-03-26,Benin,5,0,0,0,,,,0.41200000000000003,0.0,0.0,,
2020-03-27,Benin,6,1,0,0,,,,0.495,0.0,0.0,,
2020-03-28,Benin,6,0,0,0,,,,0.495,0.0,0.0,,
2020-03-29,Benin,6,0,0,0,,,,0.495,0.0,0.0,,
2020-03-30,Benin,6,0,0,0,,,,0.495,0.0,0.0,,
2020-03-31,Benin,6,0,0,0,,,,0.495,0.0,0.0,,
2020-04-01,Benin,8,2,0,0,,,,0.66,0.0,0.0,,
2020-04-02,Benin,13,5,0,0,,,,1.072,0.0,0.0,,
2020-04-03,Benin,13,0,0,0,,,,1.072,0.0,0.0,,
2020-04-04,Benin,16,3,0,0,,,,1.32,0.0,0.0,,
2020-04-05,Benin,16,0,0,0,,,,1.32,0.0,0.0,,
2020-04-06,Benin,22,6,0,0,,,,1.815,0.0,0.0,,
2020-04-07,Benin,26,4,1,1,,,,2.145,0.08199999999999999,0.08199999999999999,,
2020-04-08,Benin,26,0,1,0,,,,2.145,0.08199999999999999,0.0,,
2020-04-09,Benin,26,0,1,0,,,,2.145,0.08199999999999999,0.0,,
2020-04-10,Benin,30,4,1,0,,,,2.475,0.08199999999999999,0.0,,
2020-04-11,Benin,35,5,1,0,,,,2.887,0.08199999999999999,0.0,,
2020-04-12,Benin,35,0,1,0,,,,2.887,0.08199999999999999,0.0,,
2020-04-13,Benin,35,0,1,0,,,,2.887,0.08199999999999999,0.0,,
2020-04-14,Benin,35,0,1,0,,,,2.887,0.08199999999999999,0.0,,
2020-04-15,Benin,35,0,1,0,,,,2.887,0.08199999999999999,0.0,,
2020-04-16,Benin,35,0,1,0,,,,2.887,0.08199999999999999,0.0,,
2020-04-17,Benin,37,2,1,0,,,,3.052,0.08199999999999999,0.0,,
2020-04-18,Benin,37,0,1,0,,,,3.052,0.08199999999999999,0.0,,
2020-04-19,Benin,37,0,1,0,,,,3.052,0.08199999999999999,0.0,,
2020-04-20,Benin,37,0,1,0,,,,3.052,0.08199999999999999,0.0,,
2020-04-21,Benin,54,17,1,0,,,,4.454,0.08199999999999999,0.0,,
