Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-20,2,2,0,0,,,,32.117,0.0,0.0,
2020-03-21,2,0,0,0,,,,32.117,0.0,0.0,
2020-03-22,2,0,0,0,,,,32.117,0.0,0.0,
2020-03-23,6,4,0,0,,,,96.35,0.0,0.0,
2020-03-24,6,0,0,0,,,,96.35,0.0,0.0,
2020-03-25,6,0,0,0,,,,96.35,0.0,0.0,
2020-03-26,6,0,0,0,,,,96.35,0.0,0.0,
2020-03-27,15,9,0,0,,,,240.875,0.0,0.0,
2020-03-28,17,2,0,0,,,,272.992,0.0,0.0,
2020-03-29,22,5,0,0,,,,353.283,0.0,0.0,
2020-03-30,22,0,0,0,,,,353.283,0.0,0.0,
2020-03-31,27,5,0,0,,,,433.575,0.0,0.0,
2020-04-01,32,5,0,0,,,,513.866,0.0,0.0,
2020-04-02,32,0,0,0,,,,513.866,0.0,0.0,
2020-04-03,35,3,0,0,,,,562.0409999999999,0.0,0.0,
2020-04-04,35,0,0,0,,,,562.0409999999999,0.0,0.0,
2020-04-05,37,2,0,0,,,,594.158,0.0,0.0,
2020-04-06,37,0,0,0,,,,594.158,0.0,0.0,
2020-04-07,39,2,2,2,,,,626.275,32.117,32.117,
2020-04-08,39,0,2,0,,,,626.275,32.117,0.0,
2020-04-09,39,0,3,1,,,,626.275,48.175,16.058,
2020-04-10,48,9,4,1,,,,770.8,64.233,16.058,
2020-04-11,48,0,4,0,,,,770.8,64.233,0.0,
2020-04-12,50,2,4,0,,,,802.916,64.233,0.0,
2020-04-13,57,7,4,0,,,,915.324,64.233,0.0,
2020-04-14,57,0,4,0,,,,915.324,64.233,0.0,
2020-04-15,57,0,5,1,,,,915.324,80.292,16.058,
2020-04-16,81,24,5,0,,,,1300.724,80.292,0.0,
2020-04-17,83,2,5,0,,,,1332.8410000000001,80.292,0.0,
2020-04-18,83,0,5,0,,,,1332.8410000000001,80.292,0.0,
2020-04-19,86,3,5,0,,,,1381.016,80.292,0.0,
2020-04-20,86,0,5,0,,,,1381.016,80.292,0.0,
2020-04-21,86,0,5,0,,,,1381.016,80.292,0.0,
2020-04-22,98,12,5,0,,,,1573.7160000000001,80.292,0.0,
2020-04-23,99,1,5,0,,,,1589.774,80.292,0.0,
2020-04-24,99,0,5,0,,,,1589.774,80.292,0.0,
2020-04-25,99,0,5,0,,,,1589.774,80.292,0.0,
2020-04-26,99,0,5,0,,,,1589.774,80.292,0.0,
2020-04-27,109,10,5,0,,,,1750.3570000000002,80.292,0.0,
2020-04-28,110,1,6,1,,,,1766.4160000000002,96.35,16.058,
2020-04-29,110,0,6,0,,,,1766.4160000000002,96.35,0.0,
