Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-20,Bermuda,2,2,0,0,,,,32.117,0.0,0.0,,
2020-03-21,Bermuda,2,0,0,0,,,,32.117,0.0,0.0,,
2020-03-22,Bermuda,2,0,0,0,,,,32.117,0.0,0.0,,
2020-03-23,Bermuda,6,4,0,0,,,,96.35,0.0,0.0,,
2020-03-24,Bermuda,6,0,0,0,,,,96.35,0.0,0.0,,
2020-03-25,Bermuda,6,0,0,0,,,,96.35,0.0,0.0,,
2020-03-26,Bermuda,6,0,0,0,,,,96.35,0.0,0.0,,
2020-03-27,Bermuda,15,9,0,0,,,,240.875,0.0,0.0,,
2020-03-28,Bermuda,17,2,0,0,,,,272.992,0.0,0.0,,
2020-03-29,Bermuda,22,5,0,0,,,,353.283,0.0,0.0,,
2020-03-30,Bermuda,22,0,0,0,,,,353.283,0.0,0.0,,
2020-03-31,Bermuda,27,5,0,0,,,,433.575,0.0,0.0,,
2020-04-01,Bermuda,32,5,0,0,,,,513.866,0.0,0.0,,
2020-04-02,Bermuda,32,0,0,0,,,,513.866,0.0,0.0,,
2020-04-03,Bermuda,35,3,0,0,,,,562.0409999999999,0.0,0.0,,
2020-04-04,Bermuda,35,0,0,0,,,,562.0409999999999,0.0,0.0,,
2020-04-05,Bermuda,37,2,0,0,,,,594.158,0.0,0.0,,
2020-04-06,Bermuda,37,0,0,0,,,,594.158,0.0,0.0,,
2020-04-07,Bermuda,39,2,2,2,,,,626.275,32.117,32.117,,
2020-04-08,Bermuda,39,0,2,0,,,,626.275,32.117,0.0,,
2020-04-09,Bermuda,39,0,3,1,,,,626.275,48.175,16.058,,
2020-04-10,Bermuda,48,9,4,1,,,,770.8,64.233,16.058,,
2020-04-11,Bermuda,48,0,4,0,,,,770.8,64.233,0.0,,
2020-04-12,Bermuda,50,2,4,0,,,,802.916,64.233,0.0,,
2020-04-13,Bermuda,57,7,4,0,,,,915.324,64.233,0.0,,
2020-04-14,Bermuda,57,0,4,0,,,,915.324,64.233,0.0,,
2020-04-15,Bermuda,57,0,5,1,,,,915.324,80.292,16.058,,
2020-04-16,Bermuda,81,24,5,0,,,,1300.724,80.292,0.0,,
2020-04-17,Bermuda,83,2,5,0,,,,1332.8410000000001,80.292,0.0,,
2020-04-18,Bermuda,83,0,5,0,,,,1332.8410000000001,80.292,0.0,,
2020-04-19,Bermuda,86,3,5,0,,,,1381.016,80.292,0.0,,
2020-04-20,Bermuda,86,0,5,0,,,,1381.016,80.292,0.0,,
2020-04-21,Bermuda,86,0,5,0,,,,1381.016,80.292,0.0,,
