Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-06,1,1,0,0,,,,1.296,0.0,0.0,
2020-03-13,1,0,0,0,,,,1.296,0.0,0.0,
2020-03-15,1,0,0,0,,,,1.296,0.0,0.0,
2020-03-17,1,0,0,0,,,,1.296,0.0,0.0,
2020-03-18,1,0,0,0,,,,1.296,0.0,0.0,
2020-03-19,1,0,0,0,,,,1.296,0.0,0.0,
2020-03-20,1,0,0,0,,,,1.296,0.0,0.0,
2020-03-21,2,1,0,0,,,,2.592,0.0,0.0,
2020-03-22,2,0,0,0,,,,2.592,0.0,0.0,
2020-03-23,2,0,0,0,,,,2.592,0.0,0.0,
2020-03-24,2,0,0,0,,,,2.592,0.0,0.0,
2020-03-25,2,0,0,0,,,,2.592,0.0,0.0,
2020-03-26,3,1,0,0,,,,3.888,0.0,0.0,
2020-03-27,3,0,0,0,,,,3.888,0.0,0.0,
2020-03-28,3,0,0,0,,,,3.888,0.0,0.0,
2020-03-29,4,1,0,0,,,,5.184,0.0,0.0,
2020-03-30,4,0,0,0,,,,5.184,0.0,0.0,
2020-03-31,4,0,0,0,,,,5.184,0.0,0.0,
2020-04-01,4,0,0,0,,,,5.184,0.0,0.0,
2020-04-02,5,1,0,0,,,,6.48,0.0,0.0,
2020-04-03,5,0,0,0,,,,6.48,0.0,0.0,
2020-04-04,5,0,0,0,,,,6.48,0.0,0.0,
2020-04-05,5,0,0,0,,,,6.48,0.0,0.0,
2020-04-06,5,0,0,0,,,,6.48,0.0,0.0,
2020-04-07,5,0,0,0,,,,6.48,0.0,0.0,
2020-04-08,5,0,0,0,,,,6.48,0.0,0.0,
2020-04-09,5,0,0,0,,,,6.48,0.0,0.0,
2020-04-10,5,0,0,0,,,,6.48,0.0,0.0,
2020-04-11,5,0,0,0,,,,6.48,0.0,0.0,
2020-04-12,5,0,0,0,,,,6.48,0.0,0.0,
2020-04-13,5,0,0,0,,,,6.48,0.0,0.0,
2020-04-14,5,0,0,0,,,,6.48,0.0,0.0,
2020-04-15,5,0,0,0,,,,6.48,0.0,0.0,
2020-04-16,5,0,0,0,,,,6.48,0.0,0.0,
2020-04-17,5,0,0,0,,,,6.48,0.0,0.0,
2020-04-18,5,0,0,0,,,,6.48,0.0,0.0,
2020-04-19,5,0,0,0,,,,6.48,0.0,0.0,
2020-04-20,5,0,0,0,,,,6.48,0.0,0.0,
2020-04-21,6,1,0,0,,,,7.776,0.0,0.0,
2020-04-22,6,0,0,0,,,,7.776,0.0,0.0,
2020-04-23,7,1,0,0,,,,9.072000000000001,0.0,0.0,
2020-04-24,7,0,0,0,,,,9.072000000000001,0.0,0.0,
2020-04-25,7,0,0,0,,,,9.072000000000001,0.0,0.0,
2020-04-26,7,0,0,0,,,,9.072000000000001,0.0,0.0,
2020-04-27,7,0,0,0,,,,9.072000000000001,0.0,0.0,
2020-04-28,7,0,0,0,,,,9.072000000000001,0.0,0.0,
2020-04-29,7,0,0,0,,,,9.072000000000001,0.0,0.0,
