Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-06,Bhutan,1,1,0,0,,,,1.296,0.0,0.0,,
2020-03-13,Bhutan,1,0,0,0,,,,1.296,0.0,0.0,,
2020-03-15,Bhutan,1,0,0,0,,,,1.296,0.0,0.0,,
2020-03-17,Bhutan,1,0,0,0,,,,1.296,0.0,0.0,,
2020-03-18,Bhutan,1,0,0,0,,,,1.296,0.0,0.0,,
2020-03-19,Bhutan,1,0,0,0,,,,1.296,0.0,0.0,,
2020-03-20,Bhutan,1,0,0,0,,,,1.296,0.0,0.0,,
2020-03-21,Bhutan,2,1,0,0,,,,2.592,0.0,0.0,,
2020-03-22,Bhutan,2,0,0,0,,,,2.592,0.0,0.0,,
2020-03-23,Bhutan,2,0,0,0,,,,2.592,0.0,0.0,,
2020-03-24,Bhutan,2,0,0,0,,,,2.592,0.0,0.0,,
2020-03-25,Bhutan,2,0,0,0,,,,2.592,0.0,0.0,,
2020-03-26,Bhutan,3,1,0,0,,,,3.888,0.0,0.0,,
2020-03-27,Bhutan,3,0,0,0,,,,3.888,0.0,0.0,,
2020-03-28,Bhutan,3,0,0,0,,,,3.888,0.0,0.0,,
2020-03-29,Bhutan,4,1,0,0,,,,5.184,0.0,0.0,,
2020-03-30,Bhutan,4,0,0,0,,,,5.184,0.0,0.0,,
2020-03-31,Bhutan,4,0,0,0,,,,5.184,0.0,0.0,,
2020-04-01,Bhutan,4,0,0,0,,,,5.184,0.0,0.0,,
2020-04-02,Bhutan,5,1,0,0,,,,6.48,0.0,0.0,,
2020-04-03,Bhutan,5,0,0,0,,,,6.48,0.0,0.0,,
2020-04-04,Bhutan,5,0,0,0,,,,6.48,0.0,0.0,,
2020-04-05,Bhutan,5,0,0,0,,,,6.48,0.0,0.0,,
2020-04-06,Bhutan,5,0,0,0,,,,6.48,0.0,0.0,,
2020-04-07,Bhutan,5,0,0,0,,,,6.48,0.0,0.0,,
2020-04-08,Bhutan,5,0,0,0,,,,6.48,0.0,0.0,,
2020-04-09,Bhutan,5,0,0,0,,,,6.48,0.0,0.0,,
2020-04-10,Bhutan,5,0,0,0,,,,6.48,0.0,0.0,,
2020-04-11,Bhutan,5,0,0,0,,,,6.48,0.0,0.0,,
2020-04-12,Bhutan,5,0,0,0,,,,6.48,0.0,0.0,,
2020-04-13,Bhutan,5,0,0,0,,,,6.48,0.0,0.0,,
2020-04-14,Bhutan,5,0,0,0,,,,6.48,0.0,0.0,,
2020-04-15,Bhutan,5,0,0,0,,,,6.48,0.0,0.0,,
2020-04-16,Bhutan,5,0,0,0,,,,6.48,0.0,0.0,,
2020-04-17,Bhutan,5,0,0,0,,,,6.48,0.0,0.0,,
2020-04-18,Bhutan,5,0,0,0,,,,6.48,0.0,0.0,,
2020-04-19,Bhutan,5,0,0,0,,,,6.48,0.0,0.0,,
2020-04-20,Bhutan,5,0,0,0,,,,6.48,0.0,0.0,,
2020-04-21,Bhutan,6,1,0,0,,,,7.776,0.0,0.0,,
