Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-12,Bolivia,2,2,0,0,,,,0.171,0.0,0.0,,
2020-03-13,Bolivia,3,1,0,0,,,,0.257,0.0,0.0,,
2020-03-14,Bolivia,10,7,0,0,,,,0.857,0.0,0.0,,
2020-03-15,Bolivia,10,0,0,0,,,,0.857,0.0,0.0,,
2020-03-17,Bolivia,11,1,0,0,,,,0.9420000000000001,0.0,0.0,,
2020-03-18,Bolivia,12,1,0,0,,,,1.028,0.0,0.0,,
2020-03-19,Bolivia,12,0,0,0,,,,1.028,0.0,0.0,,
2020-03-20,Bolivia,15,3,0,0,,,,1.285,0.0,0.0,,
2020-03-21,Bolivia,19,4,0,0,,,,1.6280000000000001,0.0,0.0,139.0,
2020-03-22,Bolivia,20,1,0,0,,,,1.713,0.0,0.0,178.0,
2020-03-23,Bolivia,27,7,0,0,,,,2.313,0.0,0.0,273.0,
2020-03-24,Bolivia,28,1,0,0,,,,2.399,0.0,0.0,277.0,
2020-03-25,Bolivia,32,4,0,0,,,,2.741,0.0,0.0,334.0,
2020-03-26,Bolivia,39,7,0,0,,,,3.341,0.0,0.0,442.0,
2020-03-27,Bolivia,61,22,0,0,,,,5.226,0.0,0.0,516.0,
2020-03-28,Bolivia,74,13,0,0,,,,6.3389999999999995,0.0,0.0,559.0,
2020-03-29,Bolivia,81,7,0,0,,,,6.939,0.0,0.0,574.0,
2020-03-30,Bolivia,96,15,3,3,,,,8.224,0.257,0.257,697.0,
2020-03-31,Bolivia,107,11,6,3,,,,9.166,0.514,0.257,779.0,
2020-04-01,Bolivia,115,8,7,1,,,,9.852,0.6,0.086,836.0,
2020-04-02,Bolivia,123,8,8,1,,,,10.537,0.685,0.086,985.0,
2020-04-03,Bolivia,132,9,9,1,,,,11.308,0.7709999999999999,0.086,1118.0,
2020-04-04,Bolivia,139,7,10,1,,,,11.908,0.857,0.086,1136.0,
2020-04-05,Bolivia,157,18,10,0,,,,13.45,0.857,0.0,1441.0,
2020-04-06,Bolivia,183,26,11,1,,,,15.677,0.9420000000000001,0.086,1452.0,
2020-04-07,Bolivia,194,11,14,3,,,,16.62,1.199,0.257,1468.0,
2020-04-08,Bolivia,210,16,15,1,,,,17.99,1.285,0.086,1522.0,
2020-04-09,Bolivia,264,54,18,3,,,,22.616,1.5419999999999998,0.257,1997.0,
2020-04-10,Bolivia,268,4,19,1,,,,22.959,1.6280000000000001,0.086,2185.0,
2020-04-11,Bolivia,276,8,20,1,,,,23.644000000000002,1.713,0.086,2356.0,
2020-04-12,Bolivia,300,24,24,4,,,,25.7,2.056,0.34299999999999997,2528.0,
2020-04-13,Bolivia,330,30,27,3,,,,28.27,2.313,0.257,2693.0,
2020-04-14,Bolivia,354,24,28,1,,,,30.326,2.399,0.086,2919.0,
2020-04-15,Bolivia,397,43,28,0,,,,34.01,2.399,0.0,3230.0,
2020-04-16,Bolivia,441,44,29,1,,,,37.779,2.484,0.086,3419.0,
2020-04-17,Bolivia,465,24,31,2,,,,39.835,2.656,0.171,3573.0,
2020-04-18,Bolivia,493,28,31,0,,,,42.233999999999995,2.656,0.0,3600.0,
2020-04-19,Bolivia,520,27,32,1,,,,44.547,2.741,0.086,4135.0,
2020-04-20,Bolivia,564,44,33,1,,,,48.317,2.827,0.086,4298.0,
2020-04-21,Bolivia,598,34,34,1,,,,51.229,2.9130000000000003,0.086,,
