Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-04-02,Bonaire Sint Eustatius and Saba,2,2,0,0,,,,76.275,0.0,0.0,,
2020-04-03,Bonaire Sint Eustatius and Saba,2,0,0,0,,,,76.275,0.0,0.0,,
2020-04-04,Bonaire Sint Eustatius and Saba,2,0,0,0,,,,76.275,0.0,0.0,,
2020-04-05,Bonaire Sint Eustatius and Saba,2,0,0,0,,,,76.275,0.0,0.0,,
2020-04-06,Bonaire Sint Eustatius and Saba,2,0,0,0,,,,76.275,0.0,0.0,,
2020-04-07,Bonaire Sint Eustatius and Saba,2,0,0,0,,,,76.275,0.0,0.0,,
2020-04-08,Bonaire Sint Eustatius and Saba,2,0,0,0,,,,76.275,0.0,0.0,,
2020-04-09,Bonaire Sint Eustatius and Saba,2,0,0,0,,,,76.275,0.0,0.0,,
2020-04-10,Bonaire Sint Eustatius and Saba,2,0,0,0,,,,76.275,0.0,0.0,,
2020-04-11,Bonaire Sint Eustatius and Saba,2,0,0,0,,,,76.275,0.0,0.0,,
2020-04-12,Bonaire Sint Eustatius and Saba,2,0,0,0,,,,76.275,0.0,0.0,,
2020-04-13,Bonaire Sint Eustatius and Saba,3,1,0,0,,,,114.412,0.0,0.0,,
2020-04-14,Bonaire Sint Eustatius and Saba,4,1,0,0,,,,152.549,0.0,0.0,,
2020-04-15,Bonaire Sint Eustatius and Saba,4,0,0,0,,,,152.549,0.0,0.0,,
2020-04-16,Bonaire Sint Eustatius and Saba,4,0,0,0,,,,152.549,0.0,0.0,,
2020-04-17,Bonaire Sint Eustatius and Saba,4,0,0,0,,,,152.549,0.0,0.0,,
2020-04-18,Bonaire Sint Eustatius and Saba,4,0,0,0,,,,152.549,0.0,0.0,,
2020-04-19,Bonaire Sint Eustatius and Saba,4,0,0,0,,,,152.549,0.0,0.0,,
2020-04-20,Bonaire Sint Eustatius and Saba,5,1,0,0,,,,190.687,0.0,0.0,,
2020-04-21,Bonaire Sint Eustatius and Saba,5,0,0,0,,,,190.687,0.0,0.0,,
