Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-06,2,2,0,0,,,,0.61,0.0,0.0,
2020-03-12,3,1,0,0,,,,0.914,0.0,0.0,
2020-03-13,3,0,0,0,,,,0.914,0.0,0.0,
2020-03-16,18,15,0,0,,,,5.486000000000001,0.0,0.0,
2020-03-17,21,3,0,0,,,,6.401,0.0,0.0,
2020-03-18,21,0,0,0,,,,6.401,0.0,0.0,
2020-03-19,36,15,0,0,,,,10.972999999999999,0.0,0.0,
2020-03-20,44,8,0,0,,,,13.411,0.0,0.0,
2020-03-21,44,0,0,0,,,,13.411,0.0,0.0,
2020-03-22,92,48,1,1,,,,28.041999999999998,0.305,0.305,
2020-03-23,125,33,1,0,,,,38.1,0.305,0.0,
2020-03-24,129,4,1,0,,,,39.319,0.305,0.0,
2020-03-25,162,33,2,1,,,,49.378,0.61,0.305,
2020-03-26,181,19,3,1,,,,55.169,0.914,0.305,
2020-03-27,181,0,3,0,,,,55.169,0.914,0.0,
2020-03-28,229,48,3,0,,,,69.8,0.914,0.0,
2020-03-29,257,28,5,2,,,,78.334,1.524,0.61,
2020-03-30,323,66,6,1,,,,98.45100000000001,1.829,0.305,
2020-03-31,353,30,8,2,,,,107.595,2.438,0.61,
2020-04-01,413,60,12,4,,,,125.883,3.658,1.219,
2020-04-02,464,51,13,1,,,,141.428,3.9619999999999997,0.305,
2020-04-03,532,68,17,4,,,,162.155,5.182,1.219,
2020-04-04,586,54,18,1,,,,178.614,5.486000000000001,0.305,
2020-04-05,632,46,21,3,,,,192.635,6.401,0.914,
2020-04-06,663,31,24,3,,,,202.084,7.315,0.914,
2020-04-07,695,32,28,4,,,,211.838,8.533999999999999,1.219,
2020-04-08,781,86,32,4,,,,238.051,9.754,1.219,
2020-04-09,816,35,35,3,,,,248.71900000000002,10.668,0.914,
2020-04-10,875,59,36,1,,,,266.702,10.972999999999999,0.305,
2020-04-11,901,26,37,1,,,,274.627,11.277999999999999,0.305,
2020-04-12,948,47,37,0,,,,288.953,11.277999999999999,0.0,
2020-04-13,1007,59,38,1,,,,306.936,11.582,0.305,
2020-04-14,1028,21,38,0,,,,313.337,11.582,0.0,
2020-04-15,1073,45,39,1,,,,327.053,11.887,0.305,
2020-04-16,1100,27,40,1,,,,335.283,12.192,0.305,
2020-04-17,1152,52,41,1,,,,351.13199999999995,12.497,0.305,
2020-04-18,1210,58,44,3,,,,368.811,13.411,0.914,
2020-04-19,1254,44,45,1,,,,382.222,13.716,0.305,
2020-04-20,1269,15,46,1,,,,386.79400000000004,14.020999999999999,0.305,
2020-04-21,1300,31,48,2,,,,396.24300000000005,14.630999999999998,0.61,
2020-04-22,1340,40,50,2,,,,408.435,15.24,0.61,
2020-04-23,1367,27,52,2,,,,416.665,15.85,0.61,
2020-04-24,1413,46,53,1,,,,430.686,16.155,0.305,
2020-04-25,1420,7,54,1,,,,432.819,16.459,0.305,
2020-04-26,1485,65,56,2,,,,452.631,17.069000000000003,0.61,
2020-04-27,1516,31,58,2,,,,462.08,17.679000000000002,0.61,
2020-04-28,1564,48,60,2,,,,476.711,18.288,0.61,
2020-04-29,1588,24,62,2,,,,484.026,18.898,0.61,
