Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-06,Bosnia and Herzegovina,2,2,0,0,,,,0.61,0.0,0.0,,
2020-03-12,Bosnia and Herzegovina,3,1,0,0,,,,0.914,0.0,0.0,,
2020-03-13,Bosnia and Herzegovina,3,0,0,0,,,,0.914,0.0,0.0,,
2020-03-16,Bosnia and Herzegovina,18,15,0,0,,,,5.486000000000001,0.0,0.0,,
2020-03-17,Bosnia and Herzegovina,21,3,0,0,,,,6.401,0.0,0.0,,
2020-03-18,Bosnia and Herzegovina,21,0,0,0,,,,6.401,0.0,0.0,,
2020-03-19,Bosnia and Herzegovina,36,15,0,0,,,,10.972999999999999,0.0,0.0,,
2020-03-20,Bosnia and Herzegovina,44,8,0,0,,,,13.411,0.0,0.0,,
2020-03-21,Bosnia and Herzegovina,44,0,0,0,,,,13.411,0.0,0.0,,
2020-03-22,Bosnia and Herzegovina,92,48,1,1,,,,28.041999999999998,0.305,0.305,,
2020-03-23,Bosnia and Herzegovina,125,33,1,0,,,,38.1,0.305,0.0,,
2020-03-24,Bosnia and Herzegovina,129,4,1,0,,,,39.319,0.305,0.0,,
2020-03-25,Bosnia and Herzegovina,162,33,2,1,,,,49.378,0.61,0.305,,
2020-03-26,Bosnia and Herzegovina,181,19,3,1,,,,55.169,0.914,0.305,,
2020-03-27,Bosnia and Herzegovina,181,0,3,0,,,,55.169,0.914,0.0,,
2020-03-28,Bosnia and Herzegovina,229,48,3,0,,,,69.8,0.914,0.0,,
2020-03-29,Bosnia and Herzegovina,257,28,5,2,,,,78.334,1.524,0.61,,
2020-03-30,Bosnia and Herzegovina,323,66,6,1,,,,98.45100000000001,1.829,0.305,,
2020-03-31,Bosnia and Herzegovina,353,30,8,2,,,,107.595,2.438,0.61,,
2020-04-01,Bosnia and Herzegovina,413,60,12,4,,,,125.883,3.658,1.219,,
2020-04-02,Bosnia and Herzegovina,464,51,13,1,,,,141.428,3.9619999999999997,0.305,,
2020-04-03,Bosnia and Herzegovina,532,68,17,4,,,,162.155,5.182,1.219,,
2020-04-04,Bosnia and Herzegovina,586,54,18,1,,,,178.614,5.486000000000001,0.305,,
2020-04-05,Bosnia and Herzegovina,632,46,21,3,,,,192.635,6.401,0.914,,
2020-04-06,Bosnia and Herzegovina,663,31,24,3,,,,202.084,7.315,0.914,,
2020-04-07,Bosnia and Herzegovina,695,32,28,4,,,,211.838,8.533999999999999,1.219,,
2020-04-08,Bosnia and Herzegovina,781,86,32,4,,,,238.051,9.754,1.219,,
2020-04-09,Bosnia and Herzegovina,816,35,35,3,,,,248.71900000000002,10.668,0.914,,
2020-04-10,Bosnia and Herzegovina,875,59,36,1,,,,266.702,10.972999999999999,0.305,,
2020-04-11,Bosnia and Herzegovina,901,26,37,1,,,,274.627,11.277999999999999,0.305,,
2020-04-12,Bosnia and Herzegovina,948,47,37,0,,,,288.953,11.277999999999999,0.0,,
2020-04-13,Bosnia and Herzegovina,1007,59,38,1,,,,306.936,11.582,0.305,,
2020-04-14,Bosnia and Herzegovina,1028,21,38,0,,,,313.337,11.582,0.0,,
2020-04-15,Bosnia and Herzegovina,1073,45,39,1,,,,327.053,11.887,0.305,,
2020-04-16,Bosnia and Herzegovina,1100,27,40,1,,,,335.283,12.192,0.305,,
2020-04-17,Bosnia and Herzegovina,1152,52,41,1,,,,351.13199999999995,12.497,0.305,,
2020-04-18,Bosnia and Herzegovina,1210,58,44,3,,,,368.811,13.411,0.914,,
2020-04-19,Bosnia and Herzegovina,1254,44,45,1,,,,382.222,13.716,0.305,,
2020-04-20,Bosnia and Herzegovina,1269,15,46,1,,,,386.79400000000004,14.020999999999999,0.305,,
2020-04-21,Bosnia and Herzegovina,1485,216,48,2,,,,452.631,14.630999999999998,0.61,,
