Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-04-01,Botswana,3,3,0,0,,,,1.276,0.0,0.0,,
2020-04-02,Botswana,4,1,1,1,,,,1.7009999999999998,0.425,0.425,,
2020-04-03,Botswana,4,0,1,0,,,,1.7009999999999998,0.425,0.0,,
2020-04-04,Botswana,4,0,1,0,,,,1.7009999999999998,0.425,0.0,,
2020-04-05,Botswana,4,0,1,0,,,,1.7009999999999998,0.425,0.0,,
2020-04-06,Botswana,6,2,1,0,,,,2.551,0.425,0.0,,
2020-04-07,Botswana,6,0,1,0,,,,2.551,0.425,0.0,,
2020-04-08,Botswana,6,0,1,0,,,,2.551,0.425,0.0,,
2020-04-09,Botswana,7,1,1,0,,,,2.977,0.425,0.0,,
2020-04-10,Botswana,13,6,1,0,,,,5.528,0.425,0.0,,
2020-04-11,Botswana,13,0,1,0,,,,5.528,0.425,0.0,,
2020-04-12,Botswana,13,0,1,0,,,,5.528,0.425,0.0,,
2020-04-13,Botswana,13,0,1,0,,,,5.528,0.425,0.0,,
2020-04-14,Botswana,13,0,1,0,,,,5.528,0.425,0.0,,
2020-04-15,Botswana,13,0,1,0,,,,5.528,0.425,0.0,,
2020-04-16,Botswana,13,0,1,0,,,,5.528,0.425,0.0,,
2020-04-17,Botswana,15,2,1,0,,,,6.379,0.425,0.0,,
2020-04-18,Botswana,15,0,1,0,,,,6.379,0.425,0.0,,
2020-04-19,Botswana,15,0,1,0,,,,6.379,0.425,0.0,,
2020-04-20,Botswana,20,5,1,0,,,,8.505,0.425,0.0,,
2020-04-21,Botswana,20,0,1,0,,,,8.505,0.425,0.0,,
