Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2019-12-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-02,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-03,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-04,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-05,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-06,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-07,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-08,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-09,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-10,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-11,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-12,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-13,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-14,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-15,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-16,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-17,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-18,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-19,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-20,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-21,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-22,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-23,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-24,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-25,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-26,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-27,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-28,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-29,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-30,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-02,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-03,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-04,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-05,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-06,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-07,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-08,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-09,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-10,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-11,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-12,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-13,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-14,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-15,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-16,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-17,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-18,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-19,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-20,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-21,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-22,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-23,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-24,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-25,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-26,1,1,0,0,,,,0.005,0.0,0.0,
2020-02-27,1,0,0,0,,,,0.005,0.0,0.0,
2020-02-28,1,0,0,0,,,,0.005,0.0,0.0,
2020-02-29,1,0,0,0,,,,0.005,0.0,0.0,
2020-03-01,2,1,0,0,,,,0.009000000000000001,0.0,0.0,
2020-03-02,2,0,0,0,,,,0.009000000000000001,0.0,0.0,
2020-03-03,2,0,0,0,,,,0.009000000000000001,0.0,0.0,
2020-03-04,2,0,0,0,,,,0.009000000000000001,0.0,0.0,
2020-03-05,3,1,0,0,,,,0.013999999999999999,0.0,0.0,
2020-03-06,8,5,0,0,,,,0.038,0.0,0.0,
2020-03-07,13,5,0,0,,,,0.061,0.0,0.0,
2020-03-08,13,0,0,0,,,,0.061,0.0,0.0,
2020-03-09,25,12,0,0,,,,0.11800000000000001,0.0,0.0,
2020-03-10,25,0,0,0,,,,0.11800000000000001,0.0,0.0,
2020-03-11,34,9,0,0,,,,0.16,0.0,0.0,
2020-03-12,52,18,0,0,,,,0.245,0.0,0.0,
2020-03-13,77,25,0,0,,,,0.36200000000000004,0.0,0.0,
2020-03-14,98,21,0,0,,,,0.461,0.0,0.0,
2020-03-15,121,23,0,0,,,,0.569,0.0,0.0,
2020-03-16,200,79,0,0,,,,0.941,0.0,0.0,
2020-03-17,234,34,0,0,,,,1.101,0.0,0.0,
2020-03-18,291,57,1,1,,,,1.369,0.005,0.005,
2020-03-19,428,137,4,3,,,,2.0140000000000002,0.019,0.013999999999999999,
2020-03-20,621,193,6,2,,,,2.9219999999999997,0.027999999999999997,0.009000000000000001,
2020-03-21,904,283,11,5,,,,4.253,0.052000000000000005,0.024,
2020-03-22,1128,224,18,7,,,,5.307,0.085,0.033,
2020-03-23,1546,418,25,7,,,,7.273,0.11800000000000001,0.033,
2020-03-24,1891,345,34,9,,,,8.896,0.16,0.042,
2020-03-25,2201,310,46,12,,,,10.355,0.21600000000000003,0.055999999999999994,
2020-03-26,2433,232,57,11,,,,11.446,0.268,0.052000000000000005,
2020-03-27,2915,482,77,20,,,,13.714,0.36200000000000004,0.094,
2020-03-28,3417,502,92,15,,,,16.076,0.433,0.071,
