Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-27,British Virgin Islands,2,2,0,0,,,,66.14399999999999,0.0,0.0,,
2020-03-28,British Virgin Islands,2,0,0,0,,,,66.14399999999999,0.0,0.0,,
2020-03-29,British Virgin Islands,2,0,0,0,,,,66.14399999999999,0.0,0.0,,
2020-03-30,British Virgin Islands,2,0,0,0,,,,66.14399999999999,0.0,0.0,,
2020-03-31,British Virgin Islands,3,1,0,0,,,,99.21600000000001,0.0,0.0,,
2020-04-01,British Virgin Islands,3,0,0,0,,,,99.21600000000001,0.0,0.0,,
2020-04-02,British Virgin Islands,3,0,0,0,,,,99.21600000000001,0.0,0.0,,
2020-04-03,British Virgin Islands,3,0,0,0,,,,99.21600000000001,0.0,0.0,,
2020-04-04,British Virgin Islands,3,0,0,0,,,,99.21600000000001,0.0,0.0,,
2020-04-05,British Virgin Islands,3,0,0,0,,,,99.21600000000001,0.0,0.0,,
2020-04-06,British Virgin Islands,3,0,0,0,,,,99.21600000000001,0.0,0.0,,
2020-04-07,British Virgin Islands,3,0,0,0,,,,99.21600000000001,0.0,0.0,,
2020-04-08,British Virgin Islands,3,0,0,0,,,,99.21600000000001,0.0,0.0,,
2020-04-09,British Virgin Islands,3,0,0,0,,,,99.21600000000001,0.0,0.0,,
2020-04-10,British Virgin Islands,3,0,0,0,,,,99.21600000000001,0.0,0.0,,
2020-04-11,British Virgin Islands,3,0,0,0,,,,99.21600000000001,0.0,0.0,,
2020-04-12,British Virgin Islands,3,0,0,0,,,,99.21600000000001,0.0,0.0,,
2020-04-13,British Virgin Islands,3,0,0,0,,,,99.21600000000001,0.0,0.0,,
2020-04-14,British Virgin Islands,3,0,0,0,,,,99.21600000000001,0.0,0.0,,
2020-04-15,British Virgin Islands,3,0,0,0,,,,99.21600000000001,0.0,0.0,,
2020-04-16,British Virgin Islands,3,0,0,0,,,,99.21600000000001,0.0,0.0,,
2020-04-17,British Virgin Islands,3,0,0,0,,,,99.21600000000001,0.0,0.0,,
2020-04-18,British Virgin Islands,3,0,0,0,,,,99.21600000000001,0.0,0.0,,
2020-04-19,British Virgin Islands,3,0,0,0,,,,99.21600000000001,0.0,0.0,,
2020-04-20,British Virgin Islands,4,1,1,1,,,,132.28799999999998,33.071999999999996,33.071999999999996,,
2020-04-21,British Virgin Islands,5,1,1,0,,,,165.36,33.071999999999996,0.0,,
