Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-10,1,1,0,0,,,,2.286,0.0,0.0,
2020-03-12,11,10,0,0,,,,25.144000000000002,0.0,0.0,
2020-03-13,25,14,0,0,,,,57.145,0.0,0.0,
2020-03-14,37,12,0,0,,,,84.575,0.0,0.0,
2020-03-15,40,3,0,0,,,,91.432,0.0,0.0,
2020-03-16,50,10,0,0,,,,114.29,0.0,0.0,
2020-03-17,54,4,0,0,,,,123.43299999999999,0.0,0.0,
2020-03-18,56,2,0,0,,,,128.005,0.0,0.0,
2020-03-19,68,12,0,0,,,,155.435,0.0,0.0,
2020-03-20,73,5,0,0,,,,166.864,0.0,0.0,
2020-03-21,78,5,0,0,,,,178.293,0.0,0.0,
2020-03-22,83,5,0,0,,,,189.722,0.0,0.0,
2020-03-23,88,5,0,0,,,,201.15099999999998,0.0,0.0,
2020-03-24,91,3,0,0,,,,208.00799999999998,0.0,0.0,
2020-03-25,104,13,0,0,,,,237.72400000000002,0.0,0.0,
2020-03-26,107,3,0,0,,,,244.581,0.0,0.0,
2020-03-27,114,7,0,0,,,,260.582,0.0,0.0,
2020-03-28,115,1,0,0,,,,262.867,0.0,0.0,
2020-03-29,120,5,1,1,,,,274.296,2.286,2.286,
2020-03-30,126,6,1,0,,,,288.01099999999997,2.286,0.0,
2020-03-31,127,1,1,0,,,,290.297,2.286,0.0,
2020-04-01,129,2,1,0,,,,294.869,2.286,0.0,
2020-04-02,131,2,1,0,,,,299.44,2.286,0.0,
2020-04-03,133,2,1,0,,,,304.012,2.286,0.0,
2020-04-04,133,0,1,0,,,,304.012,2.286,0.0,
2020-04-05,135,2,1,0,,,,308.58299999999997,2.286,0.0,
2020-04-06,135,0,1,0,,,,308.58299999999997,2.286,0.0,
2020-04-07,135,0,1,0,,,,308.58299999999997,2.286,0.0,
2020-04-08,135,0,1,0,,,,308.58299999999997,2.286,0.0,
2020-04-09,135,0,1,0,,,,308.58299999999997,2.286,0.0,
2020-04-10,135,0,1,0,,,,308.58299999999997,2.286,0.0,
2020-04-11,136,1,1,0,,,,310.869,2.286,0.0,
2020-04-12,136,0,1,0,,,,310.869,2.286,0.0,
2020-04-13,136,0,1,0,,,,310.869,2.286,0.0,
2020-04-14,136,0,1,0,,,,310.869,2.286,0.0,
2020-04-15,136,0,1,0,,,,310.869,2.286,0.0,
2020-04-16,136,0,1,0,,,,310.869,2.286,0.0,
2020-04-17,136,0,1,0,,,,310.869,2.286,0.0,
2020-04-18,136,0,1,0,,,,310.869,2.286,0.0,
2020-04-19,137,1,1,0,,,,313.155,2.286,0.0,
2020-04-20,138,1,1,0,,,,315.441,2.286,0.0,
2020-04-21,138,0,1,0,,,,315.441,2.286,0.0,
2020-04-22,138,0,1,0,,,,315.441,2.286,0.0,
2020-04-23,138,0,1,0,,,,315.441,2.286,0.0,
2020-04-24,138,0,1,0,,,,315.441,2.286,0.0,
2020-04-25,138,0,1,0,,,,315.441,2.286,0.0,
2020-04-26,138,0,1,0,,,,315.441,2.286,0.0,
2020-04-27,138,0,1,0,,,,315.441,2.286,0.0,
2020-04-28,138,0,1,0,,,,315.441,2.286,0.0,
2020-04-29,138,0,1,0,,,,315.441,2.286,0.0,
