Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-08,2,2,0,0,,,,0.28800000000000003,0.0,0.0,
2020-03-09,4,2,0,0,,,,0.5760000000000001,0.0,0.0,
2020-03-12,7,3,1,1,,,,1.0070000000000001,0.14400000000000002,0.14400000000000002,
2020-03-13,23,16,1,0,,,,3.31,0.14400000000000002,0.0,
2020-03-14,31,8,1,0,,,,4.461,0.14400000000000002,0.0,
2020-03-15,41,10,2,1,,,,5.901,0.28800000000000003,0.14400000000000002,
2020-03-16,51,10,2,0,,,,7.34,0.28800000000000003,0.0,
2020-03-17,62,11,2,0,,,,8.923,0.28800000000000003,0.0,
2020-03-18,81,19,2,0,,,,11.657,0.28800000000000003,0.0,
2020-03-19,92,11,2,0,,,,13.24,0.28800000000000003,0.0,
2020-03-20,105,13,3,1,,,,15.110999999999999,0.43200000000000005,0.14400000000000002,
2020-03-21,127,22,3,0,,,,18.277,0.43200000000000005,0.0,
2020-03-22,163,36,3,0,,,,23.458000000000002,0.43200000000000005,0.0,
2020-03-23,185,22,3,0,,,,26.625,0.43200000000000005,0.0,
2020-03-24,201,16,3,0,,,,28.927,0.43200000000000005,0.0,
2020-03-25,220,19,3,0,,,,31.662,0.43200000000000005,0.0,
2020-03-26,242,22,3,0,,,,34.828,0.43200000000000005,0.0,
2020-03-27,264,22,3,0,,,,37.994,0.43200000000000005,0.0,
2020-03-28,293,29,3,0,,,,42.168,0.43200000000000005,0.0,
2020-03-29,331,38,7,4,,,,47.637,1.0070000000000001,0.5760000000000001,
2020-03-30,346,15,8,1,,,,49.795,1.151,0.14400000000000002,
2020-03-31,359,13,8,0,,,,51.666000000000004,1.151,0.0,
2020-04-01,399,40,8,0,,,,57.423,1.151,0.0,
2020-04-02,422,23,10,2,,,,60.733000000000004,1.439,0.28800000000000003,
2020-04-03,457,35,10,0,,,,65.77,1.439,0.0,
2020-04-04,485,28,14,4,,,,69.8,2.015,0.5760000000000001,
2020-04-05,503,18,17,3,,,,72.39,2.447,0.43200000000000005,
2020-04-06,531,28,20,3,,,,76.42,2.878,0.43200000000000005,
2020-04-07,549,18,22,2,,,,79.01,3.1660000000000004,0.28800000000000003,
2020-04-08,577,28,23,1,,,,83.04,3.31,0.14400000000000002,
2020-04-09,593,16,24,1,,,,85.34299999999999,3.4539999999999997,0.14400000000000002,
2020-04-10,624,31,24,0,,,,89.804,3.4539999999999997,0.0,
2020-04-11,635,11,25,1,,,,91.387,3.5980000000000003,0.14400000000000002,18502.0
2020-04-12,661,26,28,3,,,,95.12899999999999,4.03,0.43200000000000005,
2020-04-13,675,14,29,1,,,,97.14399999999999,4.1739999999999995,0.14400000000000002,
2020-04-14,685,10,32,3,,,,98.583,4.605,0.43200000000000005,
2020-04-15,713,28,35,3,,,,102.613,5.037,0.43200000000000005,
2020-04-16,747,34,36,1,,,,107.506,5.181,0.14400000000000002,
2020-04-17,800,53,38,2,,,,115.134,5.468999999999999,0.28800000000000003,
2020-04-18,846,46,41,3,,,,121.75399999999999,5.901,0.43200000000000005,
2020-04-19,878,32,41,0,,,,126.359,5.901,0.0,26417.0
2020-04-20,915,37,43,2,,,,131.684,6.188,0.28800000000000003,
2020-04-21,929,14,43,0,,,,133.69899999999998,6.188,0.0,
2020-04-22,975,46,45,2,,,,140.319,6.476,0.28800000000000003,27000.0
2020-04-23,1024,49,49,4,,,,147.371,7.0520000000000005,0.5760000000000001,
2020-04-24,1097,73,52,3,,,,157.877,7.484,0.43200000000000005,
2020-04-25,1188,91,54,2,,,,170.97400000000002,7.772,0.28800000000000003,
2020-04-26,1247,59,55,1,,,,179.465,7.915,0.14400000000000002,
2020-04-27,1300,53,56,1,,,,187.092,8.059,0.14400000000000002,
2020-04-28,1363,63,58,2,,,,196.15900000000002,8.347000000000001,0.28800000000000003,
2020-04-29,1399,36,58,0,,,,201.34,8.347000000000001,0.0,45208.0
