Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-08,Bulgaria,2,2,0,0,,,,0.28800000000000003,0.0,0.0,,
2020-03-09,Bulgaria,4,2,0,0,,,,0.5760000000000001,0.0,0.0,,
2020-03-12,Bulgaria,7,3,1,1,,,,1.0070000000000001,0.14400000000000002,0.14400000000000002,,
2020-03-13,Bulgaria,23,16,1,0,,,,3.31,0.14400000000000002,0.0,,
2020-03-14,Bulgaria,31,8,1,0,,,,4.461,0.14400000000000002,0.0,,
2020-03-15,Bulgaria,41,10,2,1,,,,5.901,0.28800000000000003,0.14400000000000002,,
2020-03-16,Bulgaria,51,10,2,0,,,,7.34,0.28800000000000003,0.0,,
2020-03-17,Bulgaria,62,11,2,0,,,,8.923,0.28800000000000003,0.0,,
2020-03-18,Bulgaria,81,19,2,0,,,,11.657,0.28800000000000003,0.0,,
2020-03-19,Bulgaria,92,11,2,0,,,,13.24,0.28800000000000003,0.0,,
2020-03-20,Bulgaria,105,13,3,1,,,,15.110999999999999,0.43200000000000005,0.14400000000000002,,
2020-03-21,Bulgaria,127,22,3,0,,,,18.277,0.43200000000000005,0.0,,
2020-03-22,Bulgaria,163,36,3,0,,,,23.458000000000002,0.43200000000000005,0.0,,
2020-03-23,Bulgaria,185,22,3,0,,,,26.625,0.43200000000000005,0.0,,
2020-03-24,Bulgaria,201,16,3,0,,,,28.927,0.43200000000000005,0.0,,
2020-03-25,Bulgaria,220,19,3,0,,,,31.662,0.43200000000000005,0.0,,
2020-03-26,Bulgaria,242,22,3,0,,,,34.828,0.43200000000000005,0.0,,
2020-03-27,Bulgaria,264,22,3,0,,,,37.994,0.43200000000000005,0.0,,
2020-03-28,Bulgaria,293,29,3,0,,,,42.168,0.43200000000000005,0.0,,
2020-03-29,Bulgaria,331,38,7,4,,,,47.637,1.0070000000000001,0.5760000000000001,,
2020-03-30,Bulgaria,346,15,8,1,,,,49.795,1.151,0.14400000000000002,,
2020-03-31,Bulgaria,359,13,8,0,,,,51.666000000000004,1.151,0.0,,
2020-04-01,Bulgaria,399,40,8,0,,,,57.423,1.151,0.0,,
2020-04-02,Bulgaria,422,23,10,2,,,,60.733000000000004,1.439,0.28800000000000003,,
2020-04-03,Bulgaria,457,35,10,0,,,,65.77,1.439,0.0,,
2020-04-04,Bulgaria,485,28,14,4,,,,69.8,2.015,0.5760000000000001,,
2020-04-05,Bulgaria,503,18,17,3,,,,72.39,2.447,0.43200000000000005,,
2020-04-06,Bulgaria,531,28,20,3,,,,76.42,2.878,0.43200000000000005,,
2020-04-07,Bulgaria,549,18,22,2,,,,79.01,3.1660000000000004,0.28800000000000003,,
2020-04-08,Bulgaria,577,28,23,1,,,,83.04,3.31,0.14400000000000002,,
2020-04-09,Bulgaria,593,16,24,1,,,,85.34299999999999,3.4539999999999997,0.14400000000000002,,
2020-04-10,Bulgaria,624,31,24,0,,,,89.804,3.4539999999999997,0.0,,
2020-04-11,Bulgaria,635,11,25,1,,,,91.387,3.5980000000000003,0.14400000000000002,,
2020-04-12,Bulgaria,661,26,28,3,,,,95.12899999999999,4.03,0.43200000000000005,,
2020-04-13,Bulgaria,675,14,29,1,,,,97.14399999999999,4.1739999999999995,0.14400000000000002,,
2020-04-14,Bulgaria,685,10,32,3,,,,98.583,4.605,0.43200000000000005,,
2020-04-15,Bulgaria,713,28,35,3,,,,102.613,5.037,0.43200000000000005,,
2020-04-16,Bulgaria,747,34,36,1,,,,107.506,5.181,0.14400000000000002,,
2020-04-17,Bulgaria,800,53,38,2,,,,115.134,5.468999999999999,0.28800000000000003,,
2020-04-18,Bulgaria,846,46,41,3,,,,121.75399999999999,5.901,0.43200000000000005,,
2020-04-19,Bulgaria,878,32,41,0,,,,126.359,5.901,0.0,,
2020-04-20,Bulgaria,915,37,43,2,,,,131.684,6.188,0.28800000000000003,,
2020-04-21,Bulgaria,929,14,43,0,,,,133.69899999999998,6.188,0.0,,
