Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-11,2,2,0,0,,,,0.096,0.0,0.0,
2020-03-12,2,0,0,0,,,,0.096,0.0,0.0,
2020-03-15,3,1,0,0,,,,0.14400000000000002,0.0,0.0,
2020-03-16,3,0,0,0,,,,0.14400000000000002,0.0,0.0,
2020-03-17,20,17,0,0,,,,0.9570000000000001,0.0,0.0,
2020-03-18,20,0,0,0,,,,0.9570000000000001,0.0,0.0,
2020-03-19,26,6,1,1,,,,1.244,0.048,0.048,
2020-03-20,33,7,1,0,,,,1.579,0.048,0.0,
2020-03-21,40,7,1,0,,,,1.9140000000000001,0.048,0.0,
2020-03-22,64,24,3,2,,,,3.062,0.14400000000000002,0.096,
2020-03-23,64,0,3,0,,,,3.062,0.14400000000000002,0.0,
2020-03-24,75,11,3,0,,,,3.588,0.14400000000000002,0.0,
2020-03-25,99,24,3,0,,,,4.736000000000001,0.14400000000000002,0.0,
2020-03-26,114,15,3,0,,,,5.454,0.14400000000000002,0.0,
2020-03-27,146,32,3,0,,,,6.985,0.14400000000000002,0.0,
2020-03-28,146,0,3,0,,,,6.985,0.14400000000000002,0.0,
2020-03-29,180,34,9,6,,,,8.611,0.431,0.287,
2020-03-30,180,0,9,0,,,,8.611,0.431,0.0,
2020-03-31,222,42,12,3,,,,10.62,0.574,0.14400000000000002,
2020-04-01,246,24,12,0,,,,11.767999999999999,0.574,0.0,
2020-04-02,261,15,14,2,,,,12.485999999999999,0.67,0.096,
2020-04-03,288,27,16,2,,,,13.777999999999999,0.765,0.096,
2020-04-04,288,0,16,0,,,,13.777999999999999,0.765,0.0,
2020-04-05,302,14,16,0,,,,14.447000000000001,0.765,0.0,
2020-04-06,345,43,17,1,,,,16.505,0.813,0.048,
2020-04-07,364,19,17,0,,,,17.414,0.813,0.0,
2020-04-08,384,20,19,2,,,,18.37,0.909,0.096,
2020-04-09,414,30,23,4,,,,19.805999999999997,1.1,0.191,
2020-04-10,443,29,24,1,,,,21.193,1.148,0.048,
2020-04-11,448,5,26,2,,,,21.432,1.244,0.096,
2020-04-12,484,36,27,1,,,,23.154,1.2919999999999998,0.048,
2020-04-13,497,13,27,0,,,,23.776,1.2919999999999998,0.0,
2020-04-14,515,18,28,1,,,,24.636999999999997,1.34,0.048,
2020-04-15,528,13,30,2,,,,25.259,1.435,0.096,
2020-04-16,542,14,32,2,,,,25.929000000000002,1.531,0.096,
2020-04-17,543,1,32,0,,,,25.976999999999997,1.531,0.0,
2020-04-18,557,14,35,3,,,,26.647,1.6740000000000002,0.14400000000000002,
2020-04-19,565,8,36,1,,,,27.029,1.722,0.048,
2020-04-20,576,11,36,0,,,,27.555,1.722,0.0,
2020-04-21,581,5,38,2,,,,27.795,1.818,0.096,
2020-04-22,600,19,38,0,,,,28.704,1.818,0.0,
2020-04-23,609,9,39,1,,,,29.134,1.8659999999999999,0.048,
2020-04-24,616,7,41,2,,,,29.469,1.9609999999999999,0.096,
2020-04-25,626,10,41,0,,,,29.947,1.9609999999999999,0.0,
2020-04-26,629,3,41,0,,,,30.090999999999998,1.9609999999999999,0.0,
2020-04-27,632,3,42,1,,,,30.234,2.009,0.048,
2020-04-28,635,3,42,0,,,,30.378,2.009,0.0,
2020-04-29,638,3,42,0,,,,30.522,2.009,0.0,
