Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-11,Burkina Faso,2,2,0,0,,,,0.096,0.0,0.0,,
2020-03-12,Burkina Faso,2,0,0,0,,,,0.096,0.0,0.0,,
2020-03-15,Burkina Faso,3,1,0,0,,,,0.14400000000000002,0.0,0.0,,
2020-03-16,Burkina Faso,3,0,0,0,,,,0.14400000000000002,0.0,0.0,,
2020-03-17,Burkina Faso,20,17,0,0,,,,0.9570000000000001,0.0,0.0,,
2020-03-18,Burkina Faso,20,0,0,0,,,,0.9570000000000001,0.0,0.0,,
2020-03-19,Burkina Faso,26,6,1,1,,,,1.244,0.048,0.048,,
2020-03-20,Burkina Faso,33,7,1,0,,,,1.579,0.048,0.0,,
2020-03-21,Burkina Faso,40,7,1,0,,,,1.9140000000000001,0.048,0.0,,
2020-03-22,Burkina Faso,64,24,3,2,,,,3.062,0.14400000000000002,0.096,,
2020-03-23,Burkina Faso,64,0,3,0,,,,3.062,0.14400000000000002,0.0,,
2020-03-24,Burkina Faso,75,11,3,0,,,,3.588,0.14400000000000002,0.0,,
2020-03-25,Burkina Faso,99,24,3,0,,,,4.736000000000001,0.14400000000000002,0.0,,
2020-03-26,Burkina Faso,114,15,3,0,,,,5.454,0.14400000000000002,0.0,,
2020-03-27,Burkina Faso,146,32,3,0,,,,6.985,0.14400000000000002,0.0,,
2020-03-28,Burkina Faso,146,0,3,0,,,,6.985,0.14400000000000002,0.0,,
2020-03-29,Burkina Faso,180,34,9,6,,,,8.611,0.431,0.287,,
2020-03-30,Burkina Faso,180,0,9,0,,,,8.611,0.431,0.0,,
2020-03-31,Burkina Faso,222,42,12,3,,,,10.62,0.574,0.14400000000000002,,
2020-04-01,Burkina Faso,246,24,12,0,,,,11.767999999999999,0.574,0.0,,
2020-04-02,Burkina Faso,261,15,14,2,,,,12.485999999999999,0.67,0.096,,
2020-04-03,Burkina Faso,288,27,16,2,,,,13.777999999999999,0.765,0.096,,
2020-04-04,Burkina Faso,288,0,16,0,,,,13.777999999999999,0.765,0.0,,
2020-04-05,Burkina Faso,302,14,16,0,,,,14.447000000000001,0.765,0.0,,
2020-04-06,Burkina Faso,345,43,17,1,,,,16.505,0.813,0.048,,
2020-04-07,Burkina Faso,364,19,17,0,,,,17.414,0.813,0.0,,
2020-04-08,Burkina Faso,384,20,19,2,,,,18.37,0.909,0.096,,
2020-04-09,Burkina Faso,414,30,23,4,,,,19.805999999999997,1.1,0.191,,
2020-04-10,Burkina Faso,443,29,24,1,,,,21.193,1.148,0.048,,
2020-04-11,Burkina Faso,448,5,26,2,,,,21.432,1.244,0.096,,
2020-04-12,Burkina Faso,484,36,27,1,,,,23.154,1.2919999999999998,0.048,,
2020-04-13,Burkina Faso,497,13,27,0,,,,23.776,1.2919999999999998,0.0,,
2020-04-14,Burkina Faso,515,18,28,1,,,,24.636999999999997,1.34,0.048,,
2020-04-15,Burkina Faso,528,13,30,2,,,,25.259,1.435,0.096,,
2020-04-16,Burkina Faso,542,14,32,2,,,,25.929000000000002,1.531,0.096,,
2020-04-17,Burkina Faso,543,1,32,0,,,,25.976999999999997,1.531,0.0,,
2020-04-18,Burkina Faso,557,14,35,3,,,,26.647,1.6740000000000002,0.14400000000000002,,
2020-04-19,Burkina Faso,565,8,36,1,,,,27.029,1.722,0.048,,
2020-04-20,Burkina Faso,576,11,36,0,,,,27.555,1.722,0.0,,
2020-04-21,Burkina Faso,581,5,38,2,,,,27.795,1.818,0.096,,
