Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-04-01,2,2,0,0,,,,0.168,0.0,0.0,
2020-04-02,2,0,0,0,,,,0.168,0.0,0.0,
2020-04-03,3,1,0,0,,,,0.252,0.0,0.0,
2020-04-04,3,0,0,0,,,,0.252,0.0,0.0,
2020-04-05,3,0,0,0,,,,0.252,0.0,0.0,
2020-04-06,3,0,0,0,,,,0.252,0.0,0.0,
2020-04-07,3,0,0,0,,,,0.252,0.0,0.0,
2020-04-08,3,0,0,0,,,,0.252,0.0,0.0,
2020-04-09,3,0,0,0,,,,0.252,0.0,0.0,
2020-04-10,3,0,0,0,,,,0.252,0.0,0.0,
2020-04-11,3,0,0,0,,,,0.252,0.0,0.0,
2020-04-12,5,2,0,0,,,,0.42,0.0,0.0,
2020-04-13,5,0,0,0,,,,0.42,0.0,0.0,
2020-04-14,5,0,0,0,,,,0.42,0.0,0.0,
2020-04-15,5,0,1,1,,,,0.42,0.084,0.084,
2020-04-16,5,0,1,0,,,,0.42,0.084,0.0,
2020-04-17,5,0,1,0,,,,0.42,0.084,0.0,
2020-04-18,6,1,1,0,,,,0.505,0.084,0.0,
2020-04-19,6,0,1,0,,,,0.505,0.084,0.0,
2020-04-20,6,0,1,0,,,,0.505,0.084,0.0,
2020-04-21,6,0,1,0,,,,0.505,0.084,0.0,
2020-04-22,6,0,1,0,,,,0.505,0.084,0.0,
2020-04-23,11,5,1,0,,,,0.925,0.084,0.0,
2020-04-24,11,0,1,0,,,,0.925,0.084,0.0,
2020-04-25,12,1,1,0,,,,1.0090000000000001,0.084,0.0,
2020-04-26,15,3,1,0,,,,1.261,0.084,0.0,
2020-04-27,15,0,1,0,,,,1.261,0.084,0.0,
2020-04-28,15,0,1,0,,,,1.261,0.084,0.0,
2020-04-29,15,0,1,0,,,,1.261,0.084,0.0,
