Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-04-01,Burundi,2,2,0,0,,,,0.168,0.0,0.0,,
2020-04-02,Burundi,2,0,0,0,,,,0.168,0.0,0.0,,
2020-04-03,Burundi,3,1,0,0,,,,0.252,0.0,0.0,,
2020-04-04,Burundi,3,0,0,0,,,,0.252,0.0,0.0,,
2020-04-05,Burundi,3,0,0,0,,,,0.252,0.0,0.0,,
2020-04-06,Burundi,3,0,0,0,,,,0.252,0.0,0.0,,
2020-04-07,Burundi,3,0,0,0,,,,0.252,0.0,0.0,,
2020-04-08,Burundi,3,0,0,0,,,,0.252,0.0,0.0,,
2020-04-09,Burundi,3,0,0,0,,,,0.252,0.0,0.0,,
2020-04-10,Burundi,3,0,0,0,,,,0.252,0.0,0.0,,
2020-04-11,Burundi,3,0,0,0,,,,0.252,0.0,0.0,,
2020-04-12,Burundi,5,2,0,0,,,,0.42,0.0,0.0,,
2020-04-13,Burundi,5,0,0,0,,,,0.42,0.0,0.0,,
2020-04-14,Burundi,5,0,0,0,,,,0.42,0.0,0.0,,
2020-04-15,Burundi,5,0,1,1,,,,0.42,0.084,0.084,,
2020-04-16,Burundi,5,0,1,0,,,,0.42,0.084,0.0,,
2020-04-17,Burundi,5,0,1,0,,,,0.42,0.084,0.0,,
2020-04-18,Burundi,6,1,1,0,,,,0.505,0.084,0.0,,
2020-04-19,Burundi,6,0,1,0,,,,0.505,0.084,0.0,,
2020-04-20,Burundi,6,0,1,0,,,,0.505,0.084,0.0,,
2020-04-21,Burundi,6,0,1,0,,,,0.505,0.084,0.0,,
