Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-16,1,1,0,0,,,,0.207,0.0,0.0,
2020-03-17,1,0,0,0,,,,0.207,0.0,0.0,
2020-03-18,1,0,0,0,,,,0.207,0.0,0.0,
2020-03-19,1,0,0,0,,,,0.207,0.0,0.0,
2020-03-20,1,0,0,0,,,,0.207,0.0,0.0,
2020-03-21,1,0,0,0,,,,0.207,0.0,0.0,
2020-03-22,3,2,0,0,,,,0.621,0.0,0.0,
2020-03-23,4,1,0,0,,,,0.828,0.0,0.0,
2020-03-24,4,0,0,0,,,,0.828,0.0,0.0,
2020-03-25,4,0,0,0,,,,0.828,0.0,0.0,
2020-03-26,4,0,0,0,,,,0.828,0.0,0.0,
2020-03-27,5,1,0,0,,,,1.035,0.0,0.0,
2020-03-28,5,0,0,0,,,,1.035,0.0,0.0,
2020-03-29,6,1,0,0,,,,1.242,0.0,0.0,
2020-03-30,6,0,0,0,,,,1.242,0.0,0.0,
2020-03-31,6,0,0,0,,,,1.242,0.0,0.0,
2020-04-01,6,0,0,0,,,,1.242,0.0,0.0,
2020-04-02,8,2,0,0,,,,1.656,0.0,0.0,
2020-04-03,8,0,0,0,,,,1.656,0.0,0.0,
2020-04-04,8,0,0,0,,,,1.656,0.0,0.0,
2020-04-05,9,1,0,0,,,,1.8630000000000002,0.0,0.0,
2020-04-06,9,0,0,0,,,,1.8630000000000002,0.0,0.0,
2020-04-07,9,0,0,0,,,,1.8630000000000002,0.0,0.0,
2020-04-08,9,0,0,0,,,,1.8630000000000002,0.0,0.0,
2020-04-09,10,1,0,0,,,,2.07,0.0,0.0,
2020-04-10,11,1,0,0,,,,2.278,0.0,0.0,
2020-04-11,11,0,0,0,,,,2.278,0.0,0.0,
2020-04-12,11,0,0,0,,,,2.278,0.0,0.0,
2020-04-13,11,0,0,0,,,,2.278,0.0,0.0,
2020-04-14,11,0,0,0,,,,2.278,0.0,0.0,
2020-04-15,11,0,0,0,,,,2.278,0.0,0.0,
2020-04-16,11,0,0,0,,,,2.278,0.0,0.0,
2020-04-17,12,1,0,0,,,,2.485,0.0,0.0,
2020-04-18,12,0,0,0,,,,2.485,0.0,0.0,
2020-04-19,12,0,0,0,,,,2.485,0.0,0.0,
2020-04-20,12,0,0,0,,,,2.485,0.0,0.0,
2020-04-21,12,0,0,0,,,,2.485,0.0,0.0,
2020-04-22,14,2,0,0,,,,2.8989999999999996,0.0,0.0,
2020-04-23,16,2,0,0,,,,3.313,0.0,0.0,
2020-04-24,17,1,0,0,,,,3.52,0.0,0.0,
2020-04-25,19,2,0,0,,,,3.9339999999999997,0.0,0.0,
2020-04-26,19,0,0,0,,,,3.9339999999999997,0.0,0.0,
2020-04-27,19,0,0,0,,,,3.9339999999999997,0.0,0.0,
2020-04-28,50,31,0,0,,,,10.352,0.0,0.0,
2020-04-29,50,0,0,0,,,,10.352,0.0,0.0,
