Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-16,Central African Republic,1,1,0,0,,,,0.207,0.0,0.0,,
2020-03-17,Central African Republic,1,0,0,0,,,,0.207,0.0,0.0,,
2020-03-18,Central African Republic,1,0,0,0,,,,0.207,0.0,0.0,,
2020-03-19,Central African Republic,1,0,0,0,,,,0.207,0.0,0.0,,
2020-03-20,Central African Republic,1,0,0,0,,,,0.207,0.0,0.0,,
2020-03-21,Central African Republic,1,0,0,0,,,,0.207,0.0,0.0,,
2020-03-22,Central African Republic,3,2,0,0,,,,0.621,0.0,0.0,,
2020-03-23,Central African Republic,4,1,0,0,,,,0.828,0.0,0.0,,
2020-03-24,Central African Republic,4,0,0,0,,,,0.828,0.0,0.0,,
2020-03-25,Central African Republic,4,0,0,0,,,,0.828,0.0,0.0,,
2020-03-26,Central African Republic,4,0,0,0,,,,0.828,0.0,0.0,,
2020-03-27,Central African Republic,5,1,0,0,,,,1.035,0.0,0.0,,
2020-03-28,Central African Republic,5,0,0,0,,,,1.035,0.0,0.0,,
2020-03-29,Central African Republic,6,1,0,0,,,,1.242,0.0,0.0,,
2020-03-30,Central African Republic,6,0,0,0,,,,1.242,0.0,0.0,,
2020-03-31,Central African Republic,6,0,0,0,,,,1.242,0.0,0.0,,
2020-04-01,Central African Republic,6,0,0,0,,,,1.242,0.0,0.0,,
2020-04-02,Central African Republic,8,2,0,0,,,,1.656,0.0,0.0,,
2020-04-03,Central African Republic,8,0,0,0,,,,1.656,0.0,0.0,,
2020-04-04,Central African Republic,8,0,0,0,,,,1.656,0.0,0.0,,
2020-04-05,Central African Republic,9,1,0,0,,,,1.8630000000000002,0.0,0.0,,
2020-04-06,Central African Republic,9,0,0,0,,,,1.8630000000000002,0.0,0.0,,
2020-04-07,Central African Republic,9,0,0,0,,,,1.8630000000000002,0.0,0.0,,
2020-04-08,Central African Republic,9,0,0,0,,,,1.8630000000000002,0.0,0.0,,
2020-04-09,Central African Republic,10,1,0,0,,,,2.07,0.0,0.0,,
2020-04-10,Central African Republic,11,1,0,0,,,,2.278,0.0,0.0,,
2020-04-11,Central African Republic,11,0,0,0,,,,2.278,0.0,0.0,,
2020-04-12,Central African Republic,11,0,0,0,,,,2.278,0.0,0.0,,
2020-04-13,Central African Republic,11,0,0,0,,,,2.278,0.0,0.0,,
2020-04-14,Central African Republic,11,0,0,0,,,,2.278,0.0,0.0,,
2020-04-15,Central African Republic,11,0,0,0,,,,2.278,0.0,0.0,,
2020-04-16,Central African Republic,11,0,0,0,,,,2.278,0.0,0.0,,
2020-04-17,Central African Republic,12,1,0,0,,,,2.485,0.0,0.0,,
2020-04-18,Central African Republic,12,0,0,0,,,,2.485,0.0,0.0,,
2020-04-19,Central African Republic,12,0,0,0,,,,2.485,0.0,0.0,,
2020-04-20,Central African Republic,12,0,0,0,,,,2.485,0.0,0.0,,
2020-04-21,Central African Republic,12,0,0,0,,,,2.485,0.0,0.0,,
