Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2019-12-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-02,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-03,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-04,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-05,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-06,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-07,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-08,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-09,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-10,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-11,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-12,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-13,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-14,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-15,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-16,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-17,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-18,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-19,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-20,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-21,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-22,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-23,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-24,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-25,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-26,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-27,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-28,1,1,0,0,,,,0.06,0.0,0.0,
2020-01-29,1,0,0,0,,,,0.06,0.0,0.0,
2020-01-30,1,0,0,0,,,,0.06,0.0,0.0,
2020-01-31,1,0,0,0,,,,0.06,0.0,0.0,
2020-02-01,1,0,0,0,,,,0.06,0.0,0.0,
2020-02-02,1,0,0,0,,,,0.06,0.0,0.0,
2020-02-03,1,0,0,0,,,,0.06,0.0,0.0,
2020-02-04,1,0,0,0,,,,0.06,0.0,0.0,
2020-02-05,1,0,0,0,,,,0.06,0.0,0.0,
2020-02-06,1,0,0,0,,,,0.06,0.0,0.0,
2020-02-07,1,0,0,0,,,,0.06,0.0,0.0,
2020-02-08,1,0,0,0,,,,0.06,0.0,0.0,
2020-02-09,1,0,0,0,,,,0.06,0.0,0.0,
2020-02-10,1,0,0,0,,,,0.06,0.0,0.0,
2020-02-11,1,0,0,0,,,,0.06,0.0,0.0,
2020-02-12,1,0,0,0,,,,0.06,0.0,0.0,
2020-02-13,1,0,0,0,,,,0.06,0.0,0.0,
2020-02-14,1,0,0,0,,,,0.06,0.0,0.0,
2020-02-15,1,0,0,0,,,,0.06,0.0,0.0,
2020-02-16,1,0,0,0,,,,0.06,0.0,0.0,
2020-02-17,1,0,0,0,,,,0.06,0.0,0.0,
2020-02-18,1,0,0,0,,,,0.06,0.0,0.0,
2020-02-19,1,0,0,0,,,,0.06,0.0,0.0,
2020-02-20,1,0,0,0,,,,0.06,0.0,0.0,
2020-02-21,1,0,0,0,,,,0.06,0.0,0.0,
2020-02-22,1,0,0,0,,,,0.06,0.0,0.0,
2020-02-23,1,0,0,0,,,,0.06,0.0,0.0,
2020-02-24,1,0,0,0,,,,0.06,0.0,0.0,
2020-02-25,1,0,0,0,,,,0.06,0.0,0.0,
2020-02-26,1,0,0,0,,,,0.06,0.0,0.0,
2020-02-27,1,0,0,0,,,,0.06,0.0,0.0,
2020-02-28,1,0,0,0,,,,0.06,0.0,0.0,
2020-02-29,1,0,0,0,,,,0.06,0.0,0.0,
2020-03-01,1,0,0,0,,,,0.06,0.0,0.0,
2020-03-02,1,0,0,0,,,,0.06,0.0,0.0,
2020-03-08,2,1,0,0,,,,0.12,0.0,0.0,
2020-03-12,3,1,0,0,,,,0.179,0.0,0.0,
2020-03-13,5,2,0,0,,,,0.299,0.0,0.0,
2020-03-15,7,2,0,0,,,,0.419,0.0,0.0,
2020-03-16,12,5,0,0,,,,0.718,0.0,0.0,
2020-03-17,24,12,0,0,,,,1.435,0.0,0.0,
2020-03-18,24,0,0,0,,,,1.435,0.0,0.0,
2020-03-19,24,0,0,0,,,,1.435,0.0,0.0,
2020-03-20,24,0,0,0,,,,1.435,0.0,0.0,
2020-03-21,47,23,0,0,,,,2.8110000000000004,0.0,0.0,
2020-03-22,51,4,0,0,,,,3.05,0.0,0.0,
2020-03-23,86,35,0,0,,,,5.144,0.0,0.0,
2020-03-24,87,1,0,0,,,,5.204,0.0,0.0,
2020-03-25,91,4,0,0,,,,5.443,0.0,0.0,
2020-03-26,96,5,0,0,,,,5.742000000000001,0.0,0.0,
2020-03-27,98,2,0,0,,,,5.862,0.0,0.0,
2020-03-28,102,4,0,0,,,,6.101,0.0,0.0,
2020-03-29,103,1,0,0,,,,6.1610000000000005,0.0,0.0,
2020-03-30,107,4,0,0,,,,6.4,0.0,0.0,
2020-03-31,109,2,0,0,,,,6.52,0.0,0.0,
2020-04-01,109,0,0,0,,,,6.52,0.0,0.0,
2020-04-02,110,1,0,0,,,,6.579,0.0,0.0,
2020-04-03,114,4,0,0,,,,6.819,0.0,0.0,
2020-04-04,114,0,0,0,,,,6.819,0.0,0.0,
2020-04-05,114,0,0,0,,,,6.819,0.0,0.0,
2020-04-06,114,0,0,0,,,,6.819,0.0,0.0,
2020-04-07,115,1,0,0,,,,6.877999999999999,0.0,0.0,
2020-04-08,117,2,0,0,,,,6.997999999999999,0.0,0.0,
