Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2019-12-31,Cambodia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-01,Cambodia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-02,Cambodia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-03,Cambodia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-04,Cambodia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-05,Cambodia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-06,Cambodia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-07,Cambodia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-08,Cambodia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-09,Cambodia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-10,Cambodia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-11,Cambodia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-12,Cambodia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-13,Cambodia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-14,Cambodia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-15,Cambodia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-16,Cambodia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-17,Cambodia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-18,Cambodia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-19,Cambodia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-20,Cambodia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-21,Cambodia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-22,Cambodia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-23,Cambodia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-24,Cambodia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-25,Cambodia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-26,Cambodia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-27,Cambodia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-28,Cambodia,1,1,0,0,,,,0.06,0.0,0.0,,
2020-01-29,Cambodia,1,0,0,0,,,,0.06,0.0,0.0,,
2020-01-30,Cambodia,1,0,0,0,,,,0.06,0.0,0.0,,
2020-01-31,Cambodia,1,0,0,0,,,,0.06,0.0,0.0,,
2020-02-01,Cambodia,1,0,0,0,,,,0.06,0.0,0.0,,
2020-02-02,Cambodia,1,0,0,0,,,,0.06,0.0,0.0,,
2020-02-03,Cambodia,1,0,0,0,,,,0.06,0.0,0.0,,
2020-02-04,Cambodia,1,0,0,0,,,,0.06,0.0,0.0,,
2020-02-05,Cambodia,1,0,0,0,,,,0.06,0.0,0.0,,
2020-02-06,Cambodia,1,0,0,0,,,,0.06,0.0,0.0,,
2020-02-07,Cambodia,1,0,0,0,,,,0.06,0.0,0.0,,
2020-02-08,Cambodia,1,0,0,0,,,,0.06,0.0,0.0,,
2020-02-09,Cambodia,1,0,0,0,,,,0.06,0.0,0.0,,
2020-02-10,Cambodia,1,0,0,0,,,,0.06,0.0,0.0,,
2020-02-11,Cambodia,1,0,0,0,,,,0.06,0.0,0.0,,
2020-02-12,Cambodia,1,0,0,0,,,,0.06,0.0,0.0,,
2020-02-13,Cambodia,1,0,0,0,,,,0.06,0.0,0.0,,
2020-02-14,Cambodia,1,0,0,0,,,,0.06,0.0,0.0,,
2020-02-15,Cambodia,1,0,0,0,,,,0.06,0.0,0.0,,
2020-02-16,Cambodia,1,0,0,0,,,,0.06,0.0,0.0,,
2020-02-17,Cambodia,1,0,0,0,,,,0.06,0.0,0.0,,
2020-02-18,Cambodia,1,0,0,0,,,,0.06,0.0,0.0,,
2020-02-19,Cambodia,1,0,0,0,,,,0.06,0.0,0.0,,
2020-02-20,Cambodia,1,0,0,0,,,,0.06,0.0,0.0,,
2020-02-21,Cambodia,1,0,0,0,,,,0.06,0.0,0.0,,
2020-02-22,Cambodia,1,0,0,0,,,,0.06,0.0,0.0,,
2020-02-23,Cambodia,1,0,0,0,,,,0.06,0.0,0.0,,
2020-02-24,Cambodia,1,0,0,0,,,,0.06,0.0,0.0,,
2020-02-25,Cambodia,1,0,0,0,,,,0.06,0.0,0.0,,
2020-02-26,Cambodia,1,0,0,0,,,,0.06,0.0,0.0,,
2020-02-27,Cambodia,1,0,0,0,,,,0.06,0.0,0.0,,
2020-02-28,Cambodia,1,0,0,0,,,,0.06,0.0,0.0,,
2020-02-29,Cambodia,1,0,0,0,,,,0.06,0.0,0.0,,
2020-03-01,Cambodia,1,0,0,0,,,,0.06,0.0,0.0,,
2020-03-02,Cambodia,1,0,0,0,,,,0.06,0.0,0.0,,
2020-03-08,Cambodia,2,1,0,0,,,,0.12,0.0,0.0,,
2020-03-12,Cambodia,3,1,0,0,,,,0.179,0.0,0.0,,
2020-03-13,Cambodia,5,2,0,0,,,,0.299,0.0,0.0,,
2020-03-15,Cambodia,7,2,0,0,,,,0.419,0.0,0.0,,
2020-03-16,Cambodia,12,5,0,0,,,,0.718,0.0,0.0,,
