Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-07,1,1,0,0,,,,0.038,0.0,0.0,
2020-03-09,2,1,0,0,,,,0.075,0.0,0.0,
2020-03-15,3,1,0,0,,,,0.113,0.0,0.0,
2020-03-16,4,1,0,0,,,,0.151,0.0,0.0,
2020-03-17,4,0,0,0,,,,0.151,0.0,0.0,
2020-03-18,10,6,0,0,,,,0.377,0.0,0.0,
2020-03-19,10,0,0,0,,,,0.377,0.0,0.0,
2020-03-20,14,4,0,0,,,,0.527,0.0,0.0,
2020-03-21,27,13,0,0,,,,1.0170000000000001,0.0,0.0,
2020-03-22,27,0,0,0,,,,1.0170000000000001,0.0,0.0,
2020-03-23,27,0,0,0,,,,1.0170000000000001,0.0,0.0,
2020-03-24,56,29,0,0,,,,2.11,0.0,0.0,
2020-03-25,72,16,1,1,,,,2.7119999999999997,0.038,0.038,
2020-03-26,72,0,1,0,,,,2.7119999999999997,0.038,0.0,
2020-03-27,88,16,1,0,,,,3.315,0.038,0.0,
2020-03-28,88,0,1,0,,,,3.315,0.038,0.0,
2020-03-29,99,11,2,1,,,,3.7289999999999996,0.075,0.038,
2020-03-30,99,0,2,0,,,,3.7289999999999996,0.075,0.0,
2020-03-31,142,43,2,0,,,,5.349,0.075,0.0,
2020-04-01,193,51,6,4,,,,7.27,0.226,0.151,
2020-04-02,233,40,6,0,,,,8.777000000000001,0.226,0.0,
2020-04-03,271,38,7,1,,,,10.209,0.264,0.038,
2020-04-04,509,238,8,1,,,,19.174,0.301,0.038,
2020-04-05,555,46,9,1,,,,20.906999999999996,0.33899999999999997,0.038,
2020-04-06,650,95,9,0,,,,24.486,0.33899999999999997,0.0,
2020-04-07,658,8,9,0,,,,24.787,0.33899999999999997,0.0,
2020-04-08,685,27,9,0,,,,25.804000000000002,0.33899999999999997,0.0,
2020-04-09,730,45,10,1,,,,27.5,0.377,0.038,
2020-04-10,730,0,10,0,,,,27.5,0.377,0.0,
2020-04-11,803,73,10,0,,,,30.25,0.377,0.0,
2020-04-12,820,17,11,1,,,,30.89,0.414,0.038,
2020-04-13,820,0,12,1,,,,30.89,0.452,0.038,
2020-04-14,820,0,12,0,,,,30.89,0.452,0.0,
2020-04-15,855,35,17,5,,,,32.208,0.64,0.188,
2020-04-16,855,0,17,0,,,,32.208,0.64,0.0,
2020-04-17,855,0,21,4,,,,32.208,0.7909999999999999,0.151,
2020-04-18,1016,161,21,0,,,,38.273,0.7909999999999999,0.0,
2020-04-19,1016,0,21,0,,,,38.273,0.7909999999999999,0.0,
2020-04-20,1016,0,42,21,,,,38.273,1.5819999999999999,0.7909999999999999,
2020-04-21,1017,1,42,0,,,,38.311,1.5819999999999999,0.0,
2020-04-22,1163,146,42,0,,,,43.81100000000001,1.5819999999999999,0.0,
2020-04-23,1163,0,43,1,,,,43.81100000000001,1.62,0.038,
2020-04-24,1401,238,49,6,,,,52.777,1.8459999999999999,0.226,
2020-04-25,1403,2,49,0,,,,52.852,1.8459999999999999,0.0,
2020-04-26,1518,115,53,4,,,,57.184,1.9969999999999999,0.151,
2020-04-27,1621,103,56,3,,,,61.06399999999999,2.11,0.113,
2020-04-28,1621,0,58,2,,,,61.06399999999999,2.185,0.075,
2020-04-29,1806,185,59,1,,,,68.033,2.2230000000000003,0.038,
