Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-07,Cameroon,1,1,0,0,,,,0.038,0.0,0.0,,
2020-03-09,Cameroon,2,1,0,0,,,,0.075,0.0,0.0,,
2020-03-15,Cameroon,3,1,0,0,,,,0.113,0.0,0.0,,
2020-03-16,Cameroon,4,1,0,0,,,,0.151,0.0,0.0,,
2020-03-17,Cameroon,4,0,0,0,,,,0.151,0.0,0.0,,
2020-03-18,Cameroon,10,6,0,0,,,,0.377,0.0,0.0,,
2020-03-19,Cameroon,10,0,0,0,,,,0.377,0.0,0.0,,
2020-03-20,Cameroon,14,4,0,0,,,,0.527,0.0,0.0,,
2020-03-21,Cameroon,27,13,0,0,,,,1.0170000000000001,0.0,0.0,,
2020-03-22,Cameroon,27,0,0,0,,,,1.0170000000000001,0.0,0.0,,
2020-03-23,Cameroon,27,0,0,0,,,,1.0170000000000001,0.0,0.0,,
2020-03-24,Cameroon,56,29,0,0,,,,2.11,0.0,0.0,,
2020-03-25,Cameroon,72,16,1,1,,,,2.7119999999999997,0.038,0.038,,
2020-03-26,Cameroon,72,0,1,0,,,,2.7119999999999997,0.038,0.0,,
2020-03-27,Cameroon,88,16,1,0,,,,3.315,0.038,0.0,,
2020-03-28,Cameroon,88,0,1,0,,,,3.315,0.038,0.0,,
2020-03-29,Cameroon,99,11,2,1,,,,3.7289999999999996,0.075,0.038,,
2020-03-30,Cameroon,99,0,2,0,,,,3.7289999999999996,0.075,0.0,,
2020-03-31,Cameroon,142,43,2,0,,,,5.349,0.075,0.0,,
2020-04-01,Cameroon,193,51,6,4,,,,7.27,0.226,0.151,,
2020-04-02,Cameroon,233,40,6,0,,,,8.777000000000001,0.226,0.0,,
2020-04-03,Cameroon,271,38,7,1,,,,10.209,0.264,0.038,,
2020-04-04,Cameroon,509,238,8,1,,,,19.174,0.301,0.038,,
2020-04-05,Cameroon,555,46,9,1,,,,20.906999999999996,0.33899999999999997,0.038,,
2020-04-06,Cameroon,650,95,9,0,,,,24.486,0.33899999999999997,0.0,,
2020-04-07,Cameroon,658,8,9,0,,,,24.787,0.33899999999999997,0.0,,
2020-04-08,Cameroon,685,27,9,0,,,,25.804000000000002,0.33899999999999997,0.0,,
2020-04-09,Cameroon,730,45,10,1,,,,27.5,0.377,0.038,,
2020-04-10,Cameroon,730,0,10,0,,,,27.5,0.377,0.0,,
2020-04-11,Cameroon,803,73,10,0,,,,30.25,0.377,0.0,,
2020-04-12,Cameroon,820,17,11,1,,,,30.89,0.414,0.038,,
2020-04-13,Cameroon,820,0,12,1,,,,30.89,0.452,0.038,,
2020-04-14,Cameroon,820,0,12,0,,,,30.89,0.452,0.0,,
2020-04-15,Cameroon,855,35,17,5,,,,32.208,0.64,0.188,,
2020-04-16,Cameroon,855,0,17,0,,,,32.208,0.64,0.0,,
2020-04-17,Cameroon,855,0,21,4,,,,32.208,0.7909999999999999,0.151,,
2020-04-18,Cameroon,1016,161,21,0,,,,38.273,0.7909999999999999,0.0,,
2020-04-19,Cameroon,1016,0,21,0,,,,38.273,0.7909999999999999,0.0,,
2020-04-20,Cameroon,1016,0,42,21,,,,38.273,1.5819999999999999,0.7909999999999999,,
2020-04-21,Cameroon,1017,1,42,0,,,,38.311,1.5819999999999999,0.0,,
