Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2019-12-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-02,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-03,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-04,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-05,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-06,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-07,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-08,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-09,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-10,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-11,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-12,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-13,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-14,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-15,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-16,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-17,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-18,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-19,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-20,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-21,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-22,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-23,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-24,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-25,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-26,1,1,0,0,,,,0.026000000000000002,0.0,0.0,
2020-01-27,1,0,0,0,,,,0.026000000000000002,0.0,0.0,
2020-01-28,2,1,0,0,,,,0.053,0.0,0.0,
2020-01-29,3,1,0,0,,,,0.079,0.0,0.0,
2020-01-30,3,0,0,0,,,,0.079,0.0,0.0,
2020-01-31,3,0,0,0,,,,0.079,0.0,0.0,
2020-02-01,4,1,0,0,,,,0.106,0.0,0.0,
2020-02-02,4,0,0,0,,,,0.106,0.0,0.0,
2020-02-03,4,0,0,0,,,,0.106,0.0,0.0,
2020-02-04,4,0,0,0,,,,0.106,0.0,0.0,
2020-02-05,5,1,0,0,,,,0.132,0.0,0.0,
2020-02-06,5,0,0,0,,,,0.132,0.0,0.0,
2020-02-07,7,2,0,0,,,,0.185,0.0,0.0,
2020-02-08,7,0,0,0,,,,0.185,0.0,0.0,
2020-02-09,7,0,0,0,,,,0.185,0.0,0.0,
2020-02-10,7,0,0,0,,,,0.185,0.0,0.0,
2020-02-11,7,0,0,0,,,,0.185,0.0,0.0,
2020-02-12,7,0,0,0,,,,0.185,0.0,0.0,
2020-02-13,7,0,0,0,,,,0.185,0.0,0.0,
2020-02-14,7,0,0,0,,,,0.185,0.0,0.0,
2020-02-15,8,1,0,0,,,,0.212,0.0,0.0,
2020-02-16,8,0,0,0,,,,0.212,0.0,0.0,
2020-02-17,8,0,0,0,,,,0.212,0.0,0.0,
2020-02-18,8,0,0,0,,,,0.212,0.0,0.0,
2020-02-19,8,0,0,0,,,,0.212,0.0,0.0,
2020-02-20,8,0,0,0,,,,0.212,0.0,0.0,
2020-02-21,9,1,0,0,,,,0.23800000000000002,0.0,0.0,
2020-02-22,9,0,0,0,,,,0.23800000000000002,0.0,0.0,
2020-02-23,9,0,0,0,,,,0.23800000000000002,0.0,0.0,
2020-02-24,9,0,0,0,,,,0.23800000000000002,0.0,0.0,
2020-02-25,11,2,0,0,,,,0.29100000000000004,0.0,0.0,
2020-02-26,11,0,0,0,,,,0.29100000000000004,0.0,0.0,
2020-02-27,12,1,0,0,,,,0.318,0.0,0.0,
2020-02-28,14,2,0,0,,,,0.371,0.0,0.0,
2020-02-29,16,2,0,0,,,,0.424,0.0,0.0,
2020-03-01,20,4,0,0,,,,0.53,0.0,0.0,
2020-03-02,24,4,0,0,,,,0.636,0.0,0.0,
2020-03-03,27,3,0,0,,,,0.715,0.0,0.0,
2020-03-04,30,3,0,0,,,,0.795,0.0,0.0,
2020-03-05,33,3,0,0,,,,0.8740000000000001,0.0,0.0,
2020-03-06,45,12,0,0,,,,1.192,0.0,0.0,
2020-03-07,51,6,0,0,,,,1.351,0.0,0.0,
2020-03-08,57,6,0,0,,,,1.51,0.0,0.0,
2020-03-09,62,5,0,0,,,,1.643,0.0,0.0,
2020-03-10,77,15,1,1,,,,2.04,0.026000000000000002,0.026000000000000002,
2020-03-11,93,16,1,0,,,,2.464,0.026000000000000002,0.0,
2020-03-12,103,10,1,0,,,,2.7289999999999996,0.026000000000000002,0.0,
2020-03-13,138,35,1,0,,,,3.656,0.026000000000000002,0.0,
2020-03-14,176,38,1,0,,,,4.663,0.026000000000000002,0.0,
2020-03-15,244,68,1,0,,,,6.465,0.026000000000000002,0.0,
2020-03-16,304,60,1,0,,,,8.055,0.026000000000000002,0.0,
2020-03-17,424,120,4,3,,,,11.234000000000002,0.106,0.079,
2020-03-18,569,145,8,4,,,,15.075999999999999,0.212,0.106,53975.0
2020-03-19,690,121,9,1,,,,18.282,0.23800000000000002,0.026000000000000002,54956.0
2020-03-20,846,156,10,1,,,,22.415,0.265,0.026000000000000002,76814.0
2020-03-21,971,125,12,2,,,,25.726999999999997,0.318,0.053,88883.0
2020-03-22,1302,331,18,6,,,,34.497,0.47700000000000004,0.159,98824.0
2020-03-23,1430,128,20,2,,,,37.889,0.53,0.053,107147.0
2020-03-24,1646,216,24,4,,,,43.611999999999995,0.636,0.106,125062.0
2020-03-25,1959,313,27,3,,,,51.905,0.715,0.079,142154.0
2020-03-26,3385,1426,35,8,,,,89.68799999999999,0.927,0.212,161603.0
