Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-04-02,2,2,0,0,,,,76.275,0.0,0.0,
2020-04-03,2,0,0,0,,,,76.275,0.0,0.0,
2020-04-04,2,0,0,0,,,,76.275,0.0,0.0,
2020-04-05,2,0,0,0,,,,76.275,0.0,0.0,
2020-04-06,2,0,0,0,,,,76.275,0.0,0.0,
2020-04-07,2,0,0,0,,,,76.275,0.0,0.0,
2020-04-08,2,0,0,0,,,,76.275,0.0,0.0,
2020-04-09,2,0,0,0,,,,76.275,0.0,0.0,
2020-04-10,2,0,0,0,,,,76.275,0.0,0.0,
2020-04-11,2,0,0,0,,,,76.275,0.0,0.0,
2020-04-12,2,0,0,0,,,,76.275,0.0,0.0,
2020-04-13,3,1,0,0,,,,114.412,0.0,0.0,
2020-04-14,4,1,0,0,,,,152.549,0.0,0.0,
2020-04-15,4,0,0,0,,,,152.549,0.0,0.0,
2020-04-16,4,0,0,0,,,,152.549,0.0,0.0,
2020-04-17,4,0,0,0,,,,152.549,0.0,0.0,
2020-04-18,4,0,0,0,,,,152.549,0.0,0.0,
2020-04-19,4,0,0,0,,,,152.549,0.0,0.0,
2020-04-20,5,1,0,0,,,,190.687,0.0,0.0,
2020-04-21,5,0,0,0,,,,190.687,0.0,0.0,
2020-04-22,6,1,0,0,,,,228.824,0.0,0.0,
2020-04-23,6,0,0,0,,,,228.824,0.0,0.0,
2020-04-24,6,0,0,0,,,,228.824,0.0,0.0,
2020-04-25,6,0,0,0,,,,228.824,0.0,0.0,
2020-04-26,6,0,0,0,,,,228.824,0.0,0.0,
2020-04-27,6,0,0,0,,,,228.824,0.0,0.0,
2020-04-28,6,0,0,0,,,,228.824,0.0,0.0,
2020-04-29,6,0,0,0,,,,228.824,0.0,0.0,
