Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-20,1,1,0,0,,,,15.216,0.0,0.0,
2020-03-21,3,2,1,1,,,,45.648,15.216,15.216,
2020-03-22,3,0,1,0,,,,45.648,15.216,0.0,
2020-03-23,3,0,1,0,,,,45.648,15.216,0.0,
2020-03-24,3,0,1,0,,,,45.648,15.216,0.0,
2020-03-25,3,0,1,0,,,,45.648,15.216,0.0,
2020-03-26,3,0,1,0,,,,45.648,15.216,0.0,
2020-03-27,6,3,1,0,,,,91.296,15.216,0.0,
2020-03-28,8,2,1,0,,,,121.729,15.216,0.0,
2020-03-29,8,0,1,0,,,,121.729,15.216,0.0,
2020-03-30,8,0,1,0,,,,121.729,15.216,0.0,
2020-03-31,12,4,1,0,,,,182.593,15.216,0.0,
2020-04-01,14,2,1,0,,,,213.025,15.216,0.0,
2020-04-02,22,8,1,0,,,,334.75300000000004,15.216,0.0,
2020-04-03,28,6,1,0,,,,426.05,15.216,0.0,
2020-04-04,29,1,1,0,,,,441.26599999999996,15.216,0.0,
2020-04-05,35,6,1,0,,,,532.562,15.216,0.0,
2020-04-06,39,4,1,0,,,,593.427,15.216,0.0,
2020-04-07,39,0,1,0,,,,593.427,15.216,0.0,
2020-04-08,45,6,1,0,,,,684.7230000000001,15.216,0.0,
2020-04-09,45,0,1,0,,,,684.7230000000001,15.216,0.0,
2020-04-10,45,0,1,0,,,,684.7230000000001,15.216,0.0,
2020-04-11,45,0,1,0,,,,684.7230000000001,15.216,0.0,
2020-04-12,53,8,1,0,,,,806.452,15.216,0.0,
2020-04-13,53,0,1,0,,,,806.452,15.216,0.0,
2020-04-14,53,0,1,0,,,,806.452,15.216,0.0,
2020-04-15,54,1,1,0,,,,821.668,15.216,0.0,
2020-04-16,60,6,1,0,,,,912.9639999999999,15.216,0.0,
2020-04-17,61,1,1,0,,,,928.18,15.216,0.0,
2020-04-18,61,0,1,0,,,,928.18,15.216,0.0,
2020-04-19,61,0,1,0,,,,928.18,15.216,0.0,
2020-04-20,61,0,1,0,,,,928.18,15.216,0.0,
2020-04-21,66,5,1,0,,,,1004.26,15.216,0.0,
2020-04-22,66,0,1,0,,,,1004.26,15.216,0.0,
2020-04-23,66,0,1,0,,,,1004.26,15.216,0.0,
2020-04-24,66,0,1,0,,,,1004.26,15.216,0.0,
2020-04-25,66,0,1,0,,,,1004.26,15.216,0.0,
2020-04-26,70,4,1,0,,,,1065.125,15.216,0.0,
2020-04-27,70,0,1,0,,,,1065.125,15.216,0.0,
2020-04-28,70,0,1,0,,,,1065.125,15.216,0.0,
2020-04-29,70,0,1,0,,,,1065.125,15.216,0.0,
