Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-20,Cayman Islands,1,1,0,0,,,,15.216,0.0,0.0,,
2020-03-21,Cayman Islands,3,2,1,1,,,,45.648,15.216,15.216,,
2020-03-22,Cayman Islands,3,0,1,0,,,,45.648,15.216,0.0,,
2020-03-23,Cayman Islands,3,0,1,0,,,,45.648,15.216,0.0,,
2020-03-24,Cayman Islands,3,0,1,0,,,,45.648,15.216,0.0,,
2020-03-25,Cayman Islands,3,0,1,0,,,,45.648,15.216,0.0,,
2020-03-26,Cayman Islands,3,0,1,0,,,,45.648,15.216,0.0,,
2020-03-27,Cayman Islands,6,3,1,0,,,,91.296,15.216,0.0,,
2020-03-28,Cayman Islands,8,2,1,0,,,,121.729,15.216,0.0,,
2020-03-29,Cayman Islands,8,0,1,0,,,,121.729,15.216,0.0,,
2020-03-30,Cayman Islands,8,0,1,0,,,,121.729,15.216,0.0,,
2020-03-31,Cayman Islands,12,4,1,0,,,,182.593,15.216,0.0,,
2020-04-01,Cayman Islands,14,2,1,0,,,,213.025,15.216,0.0,,
2020-04-02,Cayman Islands,22,8,1,0,,,,334.75300000000004,15.216,0.0,,
2020-04-03,Cayman Islands,28,6,1,0,,,,426.05,15.216,0.0,,
2020-04-04,Cayman Islands,29,1,1,0,,,,441.26599999999996,15.216,0.0,,
2020-04-05,Cayman Islands,35,6,1,0,,,,532.562,15.216,0.0,,
2020-04-06,Cayman Islands,39,4,1,0,,,,593.427,15.216,0.0,,
2020-04-07,Cayman Islands,39,0,1,0,,,,593.427,15.216,0.0,,
2020-04-08,Cayman Islands,45,6,1,0,,,,684.7230000000001,15.216,0.0,,
2020-04-09,Cayman Islands,45,0,1,0,,,,684.7230000000001,15.216,0.0,,
2020-04-10,Cayman Islands,45,0,1,0,,,,684.7230000000001,15.216,0.0,,
2020-04-11,Cayman Islands,45,0,1,0,,,,684.7230000000001,15.216,0.0,,
2020-04-12,Cayman Islands,53,8,1,0,,,,806.452,15.216,0.0,,
2020-04-13,Cayman Islands,53,0,1,0,,,,806.452,15.216,0.0,,
2020-04-14,Cayman Islands,53,0,1,0,,,,806.452,15.216,0.0,,
2020-04-15,Cayman Islands,54,1,1,0,,,,821.668,15.216,0.0,,
2020-04-16,Cayman Islands,60,6,1,0,,,,912.9639999999999,15.216,0.0,,
2020-04-17,Cayman Islands,61,1,1,0,,,,928.18,15.216,0.0,,
2020-04-18,Cayman Islands,61,0,1,0,,,,928.18,15.216,0.0,,
2020-04-19,Cayman Islands,61,0,1,0,,,,928.18,15.216,0.0,,
2020-04-20,Cayman Islands,61,0,1,0,,,,928.18,15.216,0.0,,
2020-04-21,Cayman Islands,66,5,1,0,,,,1004.26,15.216,0.0,,
