Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-20,1,1,0,0,,,,0.061,0.0,0.0,
2020-03-21,1,0,0,0,,,,0.061,0.0,0.0,
2020-03-22,2,1,0,0,,,,0.122,0.0,0.0,
2020-03-23,2,0,0,0,,,,0.122,0.0,0.0,
2020-03-24,2,0,0,0,,,,0.122,0.0,0.0,
2020-03-25,3,1,0,0,,,,0.183,0.0,0.0,
2020-03-26,3,0,0,0,,,,0.183,0.0,0.0,
2020-03-27,5,2,0,0,,,,0.304,0.0,0.0,
2020-03-28,5,0,0,0,,,,0.304,0.0,0.0,
2020-03-29,5,0,0,0,,,,0.304,0.0,0.0,
2020-03-30,5,0,0,0,,,,0.304,0.0,0.0,
2020-03-31,7,2,0,0,,,,0.426,0.0,0.0,
2020-04-01,7,0,0,0,,,,0.426,0.0,0.0,
2020-04-02,7,0,0,0,,,,0.426,0.0,0.0,
2020-04-03,7,0,0,0,,,,0.426,0.0,0.0,
2020-04-04,7,0,0,0,,,,0.426,0.0,0.0,
2020-04-05,8,1,0,0,,,,0.48700000000000004,0.0,0.0,
2020-04-06,9,1,0,0,,,,0.5479999999999999,0.0,0.0,
2020-04-07,9,0,0,0,,,,0.5479999999999999,0.0,0.0,
2020-04-08,9,0,0,0,,,,0.5479999999999999,0.0,0.0,
2020-04-09,10,1,0,0,,,,0.609,0.0,0.0,
2020-04-10,11,1,0,0,,,,0.67,0.0,0.0,
2020-04-11,11,0,0,0,,,,0.67,0.0,0.0,
2020-04-12,11,0,0,0,,,,0.67,0.0,0.0,
2020-04-13,15,4,0,0,,,,0.9129999999999999,0.0,0.0,
2020-04-14,23,8,0,0,,,,1.4,0.0,0.0,
2020-04-15,23,0,0,0,,,,1.4,0.0,0.0,
2020-04-16,27,4,0,0,,,,1.6440000000000001,0.0,0.0,
2020-04-17,27,0,0,0,,,,1.6440000000000001,0.0,0.0,
2020-04-18,33,6,0,0,,,,2.009,0.0,0.0,
2020-04-19,33,0,0,0,,,,2.009,0.0,0.0,
2020-04-20,33,0,0,0,,,,2.009,0.0,0.0,
2020-04-21,33,0,0,0,,,,2.009,0.0,0.0,
2020-04-22,34,1,0,0,,,,2.07,0.0,0.0,
2020-04-23,34,0,0,0,,,,2.07,0.0,0.0,
2020-04-24,40,6,0,0,,,,2.435,0.0,0.0,
2020-04-25,40,0,0,0,,,,2.435,0.0,0.0,
2020-04-26,40,0,0,0,,,,2.435,0.0,0.0,
2020-04-27,46,6,0,0,,,,2.8,0.0,0.0,
2020-04-28,46,0,0,0,,,,2.8,0.0,0.0,
2020-04-29,52,6,2,2,,,,3.1660000000000004,0.122,0.122,
