Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-04,1,1,0,0,,,,0.052000000000000005,0.0,0.0,
2020-03-05,3,2,0,0,,,,0.157,0.0,0.0,
2020-03-06,4,1,0,0,,,,0.209,0.0,0.0,
2020-03-07,5,1,0,0,,,,0.262,0.0,0.0,
2020-03-09,10,5,0,0,,,,0.523,0.0,0.0,
2020-03-10,13,3,0,0,,,,0.68,0.0,0.0,
2020-03-11,17,4,0,0,,,,0.889,0.0,0.0,
2020-03-12,23,6,0,0,,,,1.203,0.0,0.0,
2020-03-13,33,10,0,0,,,,1.726,0.0,0.0,
2020-03-14,43,10,0,0,,,,2.249,0.0,0.0,
2020-03-15,61,18,0,0,,,,3.1910000000000003,0.0,0.0,
2020-03-16,75,14,0,0,,,,3.923,0.0,0.0,
2020-03-17,156,81,0,0,,,,8.161,0.0,0.0,
2020-03-18,201,45,0,0,,,,10.515,0.0,0.0,
2020-03-19,238,37,0,0,,,,12.45,0.0,0.0,
2020-03-20,342,104,0,0,,,,17.891,0.0,0.0,
2020-03-21,434,92,0,0,,,,22.703000000000003,0.0,0.0,
2020-03-22,537,103,0,0,,,,28.090999999999998,0.0,0.0,
2020-03-23,632,95,1,1,,,,33.061,0.052000000000000005,0.052000000000000005,
2020-03-24,746,114,2,1,,,,39.024,0.105,0.052000000000000005,
2020-03-25,922,176,2,0,,,,48.231,0.105,0.0,
2020-03-26,1142,220,3,1,,,,59.74,0.157,0.052000000000000005,
2020-03-27,1306,164,4,1,,,,68.319,0.209,0.052000000000000005,
2020-03-28,1610,304,5,1,,,,84.22200000000001,0.262,0.052000000000000005,
2020-03-29,1909,299,6,1,,,,99.863,0.314,0.052000000000000005,
2020-03-30,2139,230,7,1,,,,111.895,0.366,0.052000000000000005,
2020-03-31,2449,310,8,1,,,,128.111,0.418,0.052000000000000005,
2020-04-01,2738,289,12,4,,,,143.22899999999998,0.628,0.209,38040.0
2020-04-02,3031,293,16,4,,,,158.55700000000002,0.8370000000000001,0.209,40725.0
2020-04-03,3404,373,18,2,,,,178.06900000000002,0.9420000000000001,0.105,44130.0
2020-04-04,3737,333,22,4,,,,195.489,1.151,0.209,48613.0
2020-04-05,4161,424,27,5,,,,217.669,1.412,0.262,51956.0
2020-04-06,4471,310,34,7,,,,233.885,1.7790000000000001,0.366,54864.0
2020-04-07,4815,344,37,3,,,,251.88,1.936,0.157,57122.0
2020-04-08,5116,301,43,6,,,,267.626,2.249,0.314,60391.0
2020-04-09,5546,430,48,5,,,,290.12,2.511,0.262,68353.0
2020-04-10,5972,426,57,9,,,,312.405,2.9819999999999998,0.47100000000000003,72797.0
2020-04-11,6501,529,65,8,,,,340.07800000000003,3.4,0.418,76374.0
2020-04-12,6927,426,73,8,,,,362.36300000000006,3.819,0.418,82271.0
2020-04-13,7213,286,80,7,,,,377.324,4.185,0.366,85035.0
2020-04-14,7525,312,82,2,,,,393.645,4.29,0.105,87794.0
2020-04-15,7917,392,92,10,,,,414.151,4.813,0.523,91873.0
2020-04-16,8273,356,94,2,,,,432.774,4.917,0.105,98424.0
2020-04-17,8807,534,105,11,,,,460.709,5.492999999999999,0.575,103873.0
2020-04-18,9252,445,116,11,,,,483.98699999999997,6.068,0.575,108891.0
2020-04-19,9730,478,126,10,,,,508.99199999999996,6.591,0.523,113649.0
2020-04-20,10088,358,133,7,,,,527.72,6.957000000000001,0.366,118827.0
2020-04-21,10507,419,139,6,,,,549.638,7.271,0.314,122357.0
2020-04-22,10832,325,147,8,,,,566.64,7.69,0.418,128722.0
2020-04-23,11296,464,160,13,,,,590.9119999999999,8.37,0.68,135147.0
2020-04-24,11812,516,168,8,,,,617.905,8.788,0.418,142267.0
2020-04-25,12306,494,174,6,,,,643.747,9.102,0.314,149212.0
2020-04-26,12858,552,181,7,,,,672.623,9.468,0.366,155975.0
2020-04-27,13331,473,189,8,,,,697.3660000000001,9.887,0.418,161235.0
2020-04-28,13813,482,198,9,,,,722.581,10.357999999999999,0.47100000000000003,166165.0
2020-04-29,14365,552,207,9,,,,751.457,10.829,0.47100000000000003,
