Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2019-12-31,27,27,0,0,,,,0.019,0.0,0.0,
2020-01-01,27,0,0,0,,,,0.019,0.0,0.0,
2020-01-02,27,0,0,0,,,,0.019,0.0,0.0,
2020-01-03,44,17,0,0,,,,0.031,0.0,0.0,
2020-01-04,44,0,0,0,,,,0.031,0.0,0.0,
2020-01-05,59,15,0,0,,,,0.040999999999999995,0.0,0.0,
2020-01-06,59,0,0,0,,,,0.040999999999999995,0.0,0.0,
2020-01-07,59,0,0,0,,,,0.040999999999999995,0.0,0.0,
2020-01-08,59,0,0,0,,,,0.040999999999999995,0.0,0.0,
2020-01-09,59,0,0,0,,,,0.040999999999999995,0.0,0.0,
2020-01-10,59,0,0,0,,,,0.040999999999999995,0.0,0.0,
2020-01-11,59,0,1,1,,,,0.040999999999999995,0.001,0.001,
2020-01-12,59,0,1,0,,,,0.040999999999999995,0.001,0.0,
2020-01-13,59,0,1,0,,,,0.040999999999999995,0.001,0.0,
2020-01-14,59,0,1,0,,,,0.040999999999999995,0.001,0.0,
2020-01-15,59,0,2,1,,,,0.040999999999999995,0.001,0.001,
2020-01-16,59,0,2,0,,,,0.040999999999999995,0.001,0.0,
2020-01-17,63,4,2,0,,,,0.044000000000000004,0.001,0.0,
2020-01-18,80,17,2,0,,,,0.055999999999999994,0.001,0.0,
2020-01-19,216,136,3,1,,,,0.15,0.002,0.001,
2020-01-20,235,19,3,0,,,,0.163,0.002,0.0,
2020-01-21,386,151,6,3,,,,0.268,0.004,0.002,
2020-01-22,526,140,17,11,,,,0.365,0.012,0.008,
2020-01-23,623,97,17,0,,,,0.433,0.012,0.0,
2020-01-24,882,259,26,9,,,,0.613,0.018000000000000002,0.006,
2020-01-25,1323,441,41,15,,,,0.919,0.027999999999999997,0.01,
2020-01-26,1988,665,56,15,,,,1.381,0.039,0.01,
2020-01-27,2775,787,81,25,,,,1.9280000000000002,0.055999999999999994,0.017,
2020-01-28,4528,1753,106,25,,,,3.1460000000000004,0.07400000000000001,0.017,
2020-01-29,5994,1466,132,26,,,,4.164,0.092,0.018000000000000002,
2020-01-30,7734,1740,170,38,,,,5.372999999999999,0.11800000000000001,0.026000000000000002,
2020-01-31,9714,1980,213,43,,,,6.749,0.14800000000000002,0.03,
2020-02-01,11809,2095,259,46,,,,8.205,0.18,0.032,
2020-02-02,14399,2590,304,45,,,,10.004,0.21100000000000002,0.031,
2020-02-03,17211,2812,361,57,,,,11.958,0.251,0.04,
2020-02-04,20448,3237,426,65,,,,14.207,0.29600000000000004,0.045,
2020-02-05,24320,3872,492,66,,,,16.897000000000002,0.342,0.046,
2020-02-06,28047,3727,564,72,,,,19.486,0.392,0.05,
2020-02-07,31207,3160,637,73,,,,21.682,0.44299999999999995,0.051,
2020-02-08,34625,3418,723,86,,,,24.055999999999997,0.502,0.06,
2020-02-09,37232,2607,812,89,,,,25.868000000000002,0.564,0.062,
2020-02-10,40206,2974,909,97,,,,27.934,0.632,0.067,
2020-02-11,42696,2490,1017,108,,,,29.664,0.7070000000000001,0.075,
2020-02-12,44724,2028,1114,97,,,,31.073,0.774,0.067,
2020-02-13,59865,15141,1368,254,,,,41.592,0.95,0.17600000000000002,
2020-02-14,64021,4156,1381,13,,,,44.48,0.9590000000000001,0.009000000000000001,
2020-02-15,66559,2538,1524,143,,,,46.243,1.0590000000000002,0.099,
2020-02-16,68566,2007,1666,142,,,,47.638000000000005,1.157,0.099,
2020-02-17,70618,2052,1771,105,,,,49.063,1.23,0.073,
2020-02-18,72508,1890,1869,98,,,,50.376000000000005,1.2990000000000002,0.068,
2020-02-19,74258,1750,2008,139,,,,51.592,1.395,0.09699999999999999,
2020-02-20,74652,394,2120,112,,,,51.86600000000001,1.473,0.078,
2020-02-21,75543,891,2238,118,,,,52.485,1.555,0.08199999999999999,
2020-02-22,76369,826,2347,109,,,,53.059,1.631,0.076,
