Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-05,Colombia,0,0,0,0,,,,,,,26.0,
2020-03-06,Colombia,0,0,0,0,,,,,,,27.0,
2020-03-07,Colombia,1,1,0,0,,,,0.02,0.0,0.0,72.0,
2020-03-08,Colombia,0,0,0,0,,,,,,,140.0,
2020-03-09,Colombia,0,0,0,0,,,,,,,154.0,
2020-03-10,Colombia,3,2,0,0,,,,0.059000000000000004,0.0,0.0,176.0,
2020-03-11,Colombia,0,0,0,0,,,,,,,241.0,
2020-03-12,Colombia,9,6,0,0,,,,0.177,0.0,0.0,441.0,
2020-03-13,Colombia,0,0,0,0,,,,,,,657.0,
2020-03-14,Colombia,16,7,0,0,,,,0.314,0.0,0.0,996.0,
2020-03-15,Colombia,34,18,0,0,,,,0.6679999999999999,0.0,0.0,1133.0,
2020-03-16,Colombia,45,11,0,0,,,,0.884,0.0,0.0,1251.0,
2020-03-17,Colombia,57,12,0,0,,,,1.12,0.0,0.0,1568.0,
2020-03-18,Colombia,65,8,0,0,,,,1.2770000000000001,0.0,0.0,1659.0,
2020-03-19,Colombia,102,37,0,0,,,,2.005,0.0,0.0,2297.0,
2020-03-20,Colombia,128,26,0,0,,,,2.516,0.0,0.0,2442.0,
2020-03-21,Colombia,158,30,0,0,,,,3.105,0.0,0.0,3477.0,
2020-03-22,Colombia,210,52,1,1,,,,4.127,0.02,0.02,4038.0,
2020-03-23,Colombia,235,25,2,1,,,,4.618,0.039,0.02,4644.0,
2020-03-24,Colombia,306,71,3,1,,,,6.013999999999999,0.059000000000000004,0.02,5929.0,
2020-03-25,Colombia,378,72,3,0,,,,7.428999999999999,0.059000000000000004,0.0,9817.0,
2020-03-26,Colombia,470,92,4,1,,,,9.237,0.079,0.02,11139.0,
2020-03-27,Colombia,491,21,6,2,,,,9.65,0.11800000000000001,0.039,11581.0,
2020-03-28,Colombia,539,48,6,0,,,,10.593,0.11800000000000001,0.0,13129.0,
2020-03-29,Colombia,608,69,6,0,,,,11.949000000000002,0.11800000000000001,0.0,14168.0,
2020-03-30,Colombia,702,94,10,4,,,,13.796,0.19699999999999998,0.079,15089.0,
2020-03-31,Colombia,798,96,14,4,,,,15.683,0.275,0.079,16589.0,
2020-04-01,Colombia,906,108,16,2,,,,17.805999999999997,0.314,0.039,18441.0,
2020-04-02,Colombia,1065,159,17,1,,,,20.93,0.33399999999999996,0.02,19508.0,
2020-04-03,Colombia,1161,96,19,2,,,,22.816999999999997,0.373,0.039,21476.0,
2020-04-04,Colombia,1267,106,25,6,,,,24.9,0.491,0.11800000000000001,22559.0,
2020-04-05,Colombia,1406,139,32,7,,,,27.631999999999998,0.629,0.138,23204.0,
2020-04-06,Colombia,1485,79,35,3,,,,29.185,0.688,0.059000000000000004,25328.0,
2020-04-07,Colombia,1579,94,46,11,,,,31.031999999999996,0.904,0.21600000000000003,27059.0,
2020-04-08,Colombia,1780,201,50,4,,,,34.982,0.983,0.079,28543.0,
2020-04-09,Colombia,2054,274,55,5,,,,40.367,1.081,0.098,32183.0,
2020-04-10,Colombia,2223,169,69,14,,,,43.68899999999999,1.3559999999999999,0.275,34898.0,
2020-04-11,Colombia,2473,250,80,11,,,,48.602,1.5719999999999998,0.21600000000000003,38341.0,
2020-04-12,Colombia,2709,236,100,20,,,,53.24,1.965,0.39299999999999996,40832.0,
2020-04-13,Colombia,2776,67,109,9,,,,54.556999999999995,2.142,0.177,43922.0,
2020-04-14,Colombia,2852,76,112,3,,,,56.05,2.201,0.059000000000000004,46993.0,
2020-04-15,Colombia,2979,127,127,15,,,,58.54600000000001,2.496,0.295,48812.0,
2020-04-16,Colombia,3105,126,131,4,,,,61.022,2.575,0.079,52055.0,
2020-04-17,Colombia,3233,128,144,13,,,,63.538000000000004,2.83,0.255,53660.0,
2020-04-18,Colombia,3439,206,153,9,,,,67.587,3.0069999999999997,0.177,55996.0,
2020-04-19,Colombia,3621,182,166,13,,,,71.163,3.262,0.255,59930.0,
2020-04-20,Colombia,3792,171,179,13,,,,74.524,3.5180000000000002,0.255,61302.0,
2020-04-21,Colombia,3977,185,189,10,,,,78.16,3.714,0.19699999999999998,,
