Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-16,1,1,0,0,,,,0.18100000000000002,0.0,0.0,
2020-03-17,1,0,0,0,,,,0.18100000000000002,0.0,0.0,
2020-03-18,1,0,0,0,,,,0.18100000000000002,0.0,0.0,
2020-03-19,3,2,0,0,,,,0.544,0.0,0.0,
2020-03-20,3,0,0,0,,,,0.544,0.0,0.0,
2020-03-21,3,0,0,0,,,,0.544,0.0,0.0,
2020-03-22,4,1,0,0,,,,0.725,0.0,0.0,
2020-03-23,4,0,0,0,,,,0.725,0.0,0.0,
2020-03-24,4,0,0,0,,,,0.725,0.0,0.0,
2020-03-25,4,0,0,0,,,,0.725,0.0,0.0,
2020-03-26,4,0,0,0,,,,0.725,0.0,0.0,
2020-03-27,4,0,0,0,,,,0.725,0.0,0.0,
2020-03-28,4,0,0,0,,,,0.725,0.0,0.0,
2020-03-29,19,15,0,0,,,,3.443,0.0,0.0,
2020-03-30,19,0,0,0,,,,3.443,0.0,0.0,
2020-03-31,19,0,0,0,,,,3.443,0.0,0.0,
2020-04-01,22,3,2,2,,,,3.987,0.36200000000000004,0.36200000000000004,
2020-04-02,22,0,2,0,,,,3.987,0.36200000000000004,0.0,
2020-04-03,41,19,3,1,,,,7.43,0.544,0.18100000000000002,
2020-04-04,41,0,3,0,,,,7.43,0.544,0.0,
2020-04-05,45,4,5,2,,,,8.155,0.9059999999999999,0.36200000000000004,
2020-04-06,45,0,5,0,,,,8.155,0.9059999999999999,0.0,
2020-04-07,45,0,5,0,,,,8.155,0.9059999999999999,0.0,
2020-04-08,45,0,5,0,,,,8.155,0.9059999999999999,0.0,
2020-04-09,60,15,5,0,,,,10.873,0.9059999999999999,0.0,
2020-04-10,60,0,5,0,,,,10.873,0.9059999999999999,0.0,
2020-04-11,60,0,5,0,,,,10.873,0.9059999999999999,0.0,
2020-04-12,60,0,5,0,,,,10.873,0.9059999999999999,0.0,
2020-04-13,70,10,5,0,,,,12.686,0.9059999999999999,0.0,
2020-04-14,70,0,5,0,,,,12.686,0.9059999999999999,0.0,
2020-04-15,74,4,5,0,,,,13.41,0.9059999999999999,0.0,
2020-04-16,117,43,5,0,,,,21.203000000000003,0.9059999999999999,0.0,
2020-04-17,117,0,5,0,,,,21.203000000000003,0.9059999999999999,0.0,
2020-04-18,143,26,6,1,,,,25.915,1.087,0.18100000000000002,
2020-04-19,143,0,6,0,,,,25.915,1.087,0.0,
2020-04-20,160,17,6,0,,,,28.996,1.087,0.0,
2020-04-21,160,0,6,0,,,,28.996,1.087,0.0,
2020-04-22,165,5,6,0,,,,29.901999999999997,1.087,0.0,
2020-04-23,186,21,6,0,,,,33.707,1.087,0.0,
2020-04-24,186,0,6,0,,,,33.707,1.087,0.0,
2020-04-25,200,14,6,0,,,,36.244,1.087,0.0,
2020-04-26,200,0,8,2,,,,36.244,1.45,0.36200000000000004,
2020-04-27,200,0,8,0,,,,36.244,1.45,0.0,
2020-04-28,207,7,8,0,,,,37.513000000000005,1.45,0.0,
2020-04-29,207,0,8,0,,,,37.513000000000005,1.45,0.0,
