Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-16,Congo,1,1,0,0,,,,0.18100000000000002,0.0,0.0,,
2020-03-17,Congo,1,0,0,0,,,,0.18100000000000002,0.0,0.0,,
2020-03-18,Congo,1,0,0,0,,,,0.18100000000000002,0.0,0.0,,
2020-03-19,Congo,3,2,0,0,,,,0.544,0.0,0.0,,
2020-03-20,Congo,3,0,0,0,,,,0.544,0.0,0.0,,
2020-03-21,Congo,3,0,0,0,,,,0.544,0.0,0.0,,
2020-03-22,Congo,4,1,0,0,,,,0.725,0.0,0.0,,
2020-03-23,Congo,4,0,0,0,,,,0.725,0.0,0.0,,
2020-03-24,Congo,4,0,0,0,,,,0.725,0.0,0.0,,
2020-03-25,Congo,4,0,0,0,,,,0.725,0.0,0.0,,
2020-03-26,Congo,4,0,0,0,,,,0.725,0.0,0.0,,
2020-03-27,Congo,4,0,0,0,,,,0.725,0.0,0.0,,
2020-03-28,Congo,4,0,0,0,,,,0.725,0.0,0.0,,
2020-03-29,Congo,19,15,0,0,,,,3.443,0.0,0.0,,
2020-03-30,Congo,19,0,0,0,,,,3.443,0.0,0.0,,
2020-03-31,Congo,19,0,0,0,,,,3.443,0.0,0.0,,
2020-04-01,Congo,22,3,2,2,,,,3.987,0.36200000000000004,0.36200000000000004,,
2020-04-02,Congo,22,0,2,0,,,,3.987,0.36200000000000004,0.0,,
2020-04-03,Congo,41,19,3,1,,,,7.43,0.544,0.18100000000000002,,
2020-04-04,Congo,41,0,3,0,,,,7.43,0.544,0.0,,
2020-04-05,Congo,45,4,5,2,,,,8.155,0.9059999999999999,0.36200000000000004,,
2020-04-06,Congo,45,0,5,0,,,,8.155,0.9059999999999999,0.0,,
2020-04-07,Congo,45,0,5,0,,,,8.155,0.9059999999999999,0.0,,
2020-04-08,Congo,45,0,5,0,,,,8.155,0.9059999999999999,0.0,,
2020-04-09,Congo,60,15,5,0,,,,10.873,0.9059999999999999,0.0,,
2020-04-10,Congo,60,0,5,0,,,,10.873,0.9059999999999999,0.0,,
2020-04-11,Congo,60,0,5,0,,,,10.873,0.9059999999999999,0.0,,
2020-04-12,Congo,60,0,5,0,,,,10.873,0.9059999999999999,0.0,,
2020-04-13,Congo,70,10,5,0,,,,12.686,0.9059999999999999,0.0,,
2020-04-14,Congo,70,0,5,0,,,,12.686,0.9059999999999999,0.0,,
2020-04-15,Congo,74,4,5,0,,,,13.41,0.9059999999999999,0.0,,
2020-04-16,Congo,117,43,5,0,,,,21.203000000000003,0.9059999999999999,0.0,,
2020-04-17,Congo,117,0,5,0,,,,21.203000000000003,0.9059999999999999,0.0,,
2020-04-18,Congo,143,26,6,1,,,,25.915,1.087,0.18100000000000002,,
2020-04-19,Congo,143,0,6,0,,,,25.915,1.087,0.0,,
2020-04-20,Congo,160,17,6,0,,,,28.996,1.087,0.0,,
2020-04-21,Congo,160,0,6,0,,,,28.996,1.087,0.0,,
