Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-07,Costa Rica,1,1,0,0,,,,0.196,0.0,0.0,,
2020-03-09,Costa Rica,5,4,0,0,,,,0.982,0.0,0.0,,
2020-03-10,Costa Rica,9,4,0,0,,,,1.767,0.0,0.0,,
2020-03-11,Costa Rica,13,4,0,0,,,,2.552,0.0,0.0,68.0,
2020-03-12,Costa Rica,22,9,0,0,,,,4.319,0.0,0.0,157.0,
2020-03-13,Costa Rica,23,1,0,0,,,,4.515,0.0,0.0,243.0,
2020-03-14,Costa Rica,26,3,0,0,,,,5.104,0.0,0.0,370.0,
2020-03-15,Costa Rica,27,1,0,0,,,,5.3,0.0,0.0,413.0,
2020-03-16,Costa Rica,35,8,0,0,,,,6.871,0.0,0.0,584.0,
2020-03-17,Costa Rica,41,6,0,0,,,,8.049,0.0,0.0,698.0,
2020-03-18,Costa Rica,50,9,0,0,,,,9.815,0.0,0.0,852.0,
2020-03-19,Costa Rica,69,19,1,1,,,,13.545,0.196,0.196,968.0,
2020-03-20,Costa Rica,87,18,1,0,,,,17.079,0.196,0.0,1087.0,
2020-03-21,Costa Rica,113,26,2,1,,,,22.182,0.39299999999999996,0.196,1235.0,
2020-03-22,Costa Rica,117,4,2,0,,,,22.968000000000004,0.39299999999999996,0.0,1462.0,
2020-03-23,Costa Rica,134,17,2,0,,,,26.305,0.39299999999999996,0.0,1619.0,
2020-03-24,Costa Rica,158,24,2,0,,,,31.016,0.39299999999999996,0.0,1784.0,
2020-03-25,Costa Rica,177,19,2,0,,,,34.746,0.39299999999999996,0.0,1813.0,
2020-03-26,Costa Rica,201,24,2,0,,,,39.457,0.39299999999999996,0.0,2490.0,
2020-03-27,Costa Rica,231,30,2,0,,,,45.346000000000004,0.39299999999999996,0.0,2977.0,
2020-03-28,Costa Rica,263,32,2,0,,,,51.628,0.39299999999999996,0.0,3135.0,
2020-03-29,Costa Rica,295,32,2,0,,,,57.91,0.39299999999999996,0.0,3357.0,
2020-03-30,Costa Rica,314,19,2,0,,,,61.64,0.39299999999999996,0.0,3620.0,
2020-03-31,Costa Rica,330,16,2,0,,,,64.781,0.39299999999999996,0.0,3773.0,
2020-04-01,Costa Rica,347,17,2,0,,,,68.118,0.39299999999999996,0.0,4146.0,
2020-04-02,Costa Rica,375,28,2,0,,,,73.61399999999999,0.39299999999999996,0.0,4278.0,
2020-04-03,Costa Rica,396,21,2,0,,,,77.737,0.39299999999999996,0.0,4388.0,
2020-04-04,Costa Rica,416,20,2,0,,,,81.663,0.39299999999999996,0.0,4582.0,
2020-04-05,Costa Rica,435,19,2,0,,,,85.39299999999999,0.39299999999999996,0.0,5026.0,
2020-04-06,Costa Rica,454,19,2,0,,,,89.12200000000001,0.39299999999999996,0.0,5291.0,
2020-04-07,Costa Rica,467,13,2,0,,,,91.67399999999999,0.39299999999999996,0.0,5453.0,
2020-04-08,Costa Rica,483,16,2,0,,,,94.815,0.39299999999999996,0.0,5963.0,
2020-04-09,Costa Rica,502,19,2,0,,,,98.545,0.39299999999999996,0.0,6226.0,
2020-04-10,Costa Rica,539,37,3,1,,,,105.80799999999999,0.589,0.196,6380.0,
2020-04-11,Costa Rica,558,19,3,0,,,,109.538,0.589,0.0,6536.0,
2020-04-12,Costa Rica,577,19,3,0,,,,113.26799999999999,0.589,0.0,6690.0,
2020-04-13,Costa Rica,595,18,3,0,,,,116.801,0.589,0.0,6796.0,
2020-04-14,Costa Rica,612,17,3,0,,,,120.139,0.589,0.0,6872.0,
2020-04-15,Costa Rica,618,6,3,0,,,,121.316,0.589,0.0,7065.0,
2020-04-16,Costa Rica,626,8,4,1,,,,122.887,0.785,0.196,7279.0,
2020-04-17,Costa Rica,642,16,4,0,,,,126.02799999999999,0.785,0.0,7451.0,
2020-04-18,Costa Rica,649,7,4,0,,,,127.402,0.785,0.0,7678.0,
2020-04-19,Costa Rica,655,6,4,0,,,,128.58,0.785,0.0,7730.0,
2020-04-20,Costa Rica,660,5,4,0,,,,129.561,0.785,0.0,7826.0,
2020-04-21,Costa Rica,662,2,6,2,,,,129.954,1.178,0.39299999999999996,8092.0,
